col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,division
,Representative In Congress 2nd District - Democrat,,,,Representative In The General Assembly 192nd District - Democrat,,,,,All
,Chaka Fattah,Dwight Evans,Brian Anthony Gordon,Dan Muroff,Morgan Cephas,Steven Jones,Jess Johnson,Edwin Santana,Lynwood W Savage,All
Chaka Fattah,208,0,0,0,883,290,232,149,142,All
Dwight Evans,,99,0,0,430,124,84,148,105,All
Brian Anthony Gordon,,,30,0,116,144,33,17,17,All
Dan Muroff,,,,7,11,5,4,9,2,All
Morgan Cephas,,,,,74,0,0,0,0,All
Steven Jones,,,,,,15,0,0,0,All
Jess Johnson,,,,,,,26,0,0,All
Edwin Santana,,,,,,,,26,0,All
Lynwood W Savage,,,,,,,,,20,All
Total,"1,904",990,357,38,"1,514",578,379,349,286,All
,Representative In Congress 2nd District - Democrat,,,,Representative In The General Assembly 192nd District - Democrat,,,,,2
,Chaka Fattah,Dwight Evans,Brian Anthony Gordon,Dan Muroff,Morgan Cephas,Steven Jones,Edwin Santana,Jess Johnson,Lynwood W Savage,2
Chaka Fattah,21,0,0,0,63,27,12,13,12,2
Dwight Evans,,12,0,0,31,5,16,11,10,2
Brian Anthony Gordon,,,4,0,6,18,2,6,0,2
Dan Muroff,,,,3,2,0,1,0,0,2
Morgan Cephas,,,,,7,0,0,0,0,2
Steven Jones,,,,,,1,0,0,0,2
Edwin Santana,,,,,,,3,0,0,2
Jess Johnson,,,,,,,,2,0,2
Lynwood W Savage,,,,,,,,,3,2
Total,148,85,36,6,109,51,34,32,25,2
,Representative In Congress 2nd District - Democrat,,,,Representative In The General Assembly 192nd District - Democrat,,,,,3
,Chaka Fattah,Dwight Evans,Brian Anthony Gordon,Dan Muroff,Morgan Cephas,Steven Jones,Jess Johnson,Edwin Santana,Lynwood W Savage,3
Chaka Fattah,26,0,0,0,72,17,16,15,9,3
Dwight Evans,,6,0,0,19,9,8,7,6,3
Brian Anthony Gordon,,,0,0,8,13,1,3,2,3
Dan Muroff,,,,0,2,0,0,1,0,3
Morgan Cephas,,,,,3,0,0,0,0,3
Steven Jones,,,,,,1,0,0,0,3
Jess Johnson,,,,,,,6,0,0,3
Edwin Santana,,,,,,,,1,0,3
Lynwood W Savage,,,,,,,,,1,3
Total,155,55,27,3,104,40,31,27,18,3
,Representative In Congress 2nd District - Democrat,,,,Representative In The General Assembly 192nd District - Democrat,,,,,4
,Chaka Fattah,Dwight Evans,Brian Anthony Gordon,Dan Muroff,Morgan Cephas,Steven Jones,Jess Johnson,Lynwood W Savage,Edwin Santana,4
Chaka Fattah,11,0,0,0,37,22,16,6,4,4
Dwight Evans,,8,0,0,26,9,4,7,6,4
