col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,division
,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,,,,,,,,Representative In The General Assembly 190th District - Democrat,,,,,,All
,Cindy Bass,Malcolm Kenyatta,Jerry T Jordan,Katherine J Gilmore,Vincent Hughes,Ken Washington,Blondell Reynolds Brown,Lou Agre,Yasmeen Kaboud,Mary Jo Daley,Joe Foster,Heather A Steinmiller,Mark Aronchick,Michelle W Singer,Nicole Allen White,Carol Rose Fleischman,Ariana Flores Gordon,Sherrie Cohen,Gwen Snyder,Margaret Lenzi,Tonya Diane Bah,Hamdi Soysal,Waleed Shahid,William Leopold,Wanda Logan,Vanessa L Brown,Ray Bailey,Ted Smith,Movita Johnson Harrell,Darryl Thomas,All
Cindy Bass,4,89,87,89,70,72,71,23,22,76,69,70,72,69,68,13,13,12,10,11,9,7,8,8,45,29,12,11,10,9,All
Malcolm Kenyatta,,0,89,88,68,74,71,23,24,73,69,71,72,70,69,13,13,14,13,15,9,10,8,8,35,28,12,6,12,7,All
Jerry T Jordan,,,1,85,67,71,68,25,25,73,67,71,70,67,63,13,13,16,12,15,9,10,11,11,37,24,11,6,8,10,All
Katherine J Gilmore,,,,1,65,68,67,19,21,71,66,69,71,67,66,11,11,13,9,10,5,6,6,5,38,23,12,6,8,9,All
Vincent Hughes,,,,,1,73,72,13,13,66,68,70,65,65,66,8,9,10,9,10,8,5,5,10,26,24,4,8,11,9,All
Ken Washington,,,,,,0,71,16,16,71,71,71,69,69,66,12,12,14,13,13,9,9,8,12,28,24,5,7,11,7,All
Blondell Reynolds Brown,,,,,,,0,13,12,66,71,70,66,69,70,8,9,10,10,12,7,5,6,7,27,24,5,6,10,10,All
Lou Agre,,,,,,,,1,60,12,12,8,12,8,8,53,57,51,51,48,46,52,44,46,31,14,3,10,5,11,All
Yasmeen Kaboud,,,,,,,,,1,16,15,9,13,11,9,56,54,53,51,49,47,49,48,45,30,12,5,9,8,11,All
Mary Jo Daley,,,,,,,,,,0,68,69,70,68,65,9,8,12,7,10,6,6,8,7,27,25,5,5,9,8,All
Joe Foster,,,,,,,,,,,0,67,65,68,67,11,9,13,10,16,9,7,12,11,27,19,5,6,12,8,All
Heather A Steinmiller,,,,,,,,,,,,0,68,69,66,2,4,7,5,7,4,2,2,5,27,20,5,6,9,7,All
Mark Aronchick,,,,,,,,,,,,,0,66,63,8,8,10,8,7,3,5,4,5,27,22,4,5,9,7,All
Michelle W Singer,,,,,,,,,,,,,,0,66,7,5,9,8,8,4,2,5,6,26,21,4,6,10,6,All
Nicole Allen White,,,,,,,,,,,,,,,0,8,6,7,6,10,4,2,4,4,24,20,4,6,9,9,All
Carol Rose Fleischman,,,,,,,,,,,,,,,,0,59,54,55,51,51,51,53,48,17,11,3,11,6,13,All
Ariana Flores Gordon,,,,,,,,,,,,,,,,,0,56,56,50,50,52,48,46,18,11,0,11,6,11,All
Sherrie Cohen,,,,,,,,,,,,,,,,,,0,52,48,48,50,47,43,18,11,1,9,6,11,All
Gwen Snyder,,,,,,,,,,,,,,,,,,,0,51,51,50,47,47,14,10,2,11,6,9,All
Margaret Lenzi,,,,,,,,,,,,,,,,,,,,0,47,45,48,47,16,10,2,8,6,10,All
Tonya Diane Bah,,,,,,,,,,,,,,,,,,,,,0,46,46,46,14,8,1,10,6,9,All
Hamdi Soysal,,,,,,,,,,,,,,,,,,,,,,0,44,44,14,12,2,8,5,7,All
Waleed Shahid,,,,,,,,,,,,,,,,,,,,,,,0,45,14,9,2,10,4,9,All
William Leopold,,,,,,,,,,,,,,,,,,,,,,,,0,12,9,1,8,5,8,All
Wanda Logan,,,,,,,,,,,,,,,,,,,,,,,,,9,0,0,0,0,0,All
Vanessa L Brown,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,0,0,0,All
Ray Bailey,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,0,0,All
Ted Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,All
Movita Johnson Harrell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,All
Darryl Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,All
Total,128,106,103,103,88,87,86,86,85,84,80,78,78,77,76,69,65,64,61,60,58,56,56,53,90,51,28,24,23,21,All
,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,,,,,,,,Representative In The General Assembly 190th District - Democrat,,,,,,9
,Cindy Bass,Malcolm Kenyatta,Jerry T Jordan,Katherine J Gilmore,Vincent Hughes,Ken Washington,Blondell Reynolds Brown,Lou Agre,Yasmeen Kaboud,Mary Jo Daley,Joe Foster,Heather A Steinmiller,Mark Aronchick,Michelle W Singer,Nicole Allen White,Carol Rose Fleischman,Ariana Flores Gordon,Sherrie Cohen,Gwen Snyder,Margaret Lenzi,Tonya Diane Bah,Hamdi Soysal,Waleed Shahid,William Leopold,Wanda Logan,Vanessa L Brown,Ray Bailey,Ted Smith,Movita Johnson Harrell,Darryl Thomas,9
Cindy Bass,4,89,87,89,70,72,71,23,22,76,69,70,72,69,68,13,13,12,10,11,9,7,8,8,45,29,12,11,10,9,9
Malcolm Kenyatta,,0,89,88,68,74,71,23,24,73,69,71,72,70,69,13,13,14,13,15,9,10,8,8,35,28,12,6,12,7,9
Jerry T Jordan,,,1,85,67,71,68,25,25,73,67,71,70,67,63,13,13,16,12,15,9,10,11,11,37,24,11,6,8,10,9
Katherine J Gilmore,,,,1,65,68,67,19,21,71,66,69,71,67,66,11,11,13,9,10,5,6,6,5,38,23,12,6,8,9,9
Vincent Hughes,,,,,1,73,72,13,13,66,68,70,65,65,66,8,9,10,9,10,8,5,5,10,26,24,4,8,11,9,9
Ken Washington,,,,,,0,71,16,16,71,71,71,69,69,66,12,12,14,13,13,9,9,8,12,28,24,5,7,11,7,9
Blondell Reynolds Brown,,,,,,,0,13,12,66,71,70,66,69,70,8,9,10,10,12,7,5,6,7,27,24,5,6,10,10,9
Lou Agre,,,,,,,,1,60,12,12,8,12,8,8,53,57,51,51,48,46,52,44,46,31,14,3,10,5,11,9
Yasmeen Kaboud,,,,,,,,,1,16,15,9,13,11,9,56,54,53,51,49,47,49,48,45,30,12,5,9,8,11,9
Mary Jo Daley,,,,,,,,,,0,68,69,70,68,65,9,8,12,7,10,6,6,8,7,27,25,5,5,9,8,9
Joe Foster,,,,,,,,,,,0,67,65,68,67,11,9,13,10,16,9,7,12,11,27,19,5,6,12,8,9
Heather A Steinmiller,,,,,,,,,,,,0,68,69,66,2,4,7,5,7,4,2,2,5,27,20,5,6,9,7,9
Mark Aronchick,,,,,,,,,,,,,0,66,63,8,8,10,8,7,3,5,4,5,27,22,4,5,9,7,9
Michelle W Singer,,,,,,,,,,,,,,0,66,7,5,9,8,8,4,2,5,6,26,21,4,6,10,6,9
