col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,division
,Senator In The General Assembly 7th District - Democrat,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,,,,,,,,All
,Vincent Hughes,Cindy Bass,Yasmeen Kaboud,Lou Agre,Malcolm Kenyatta,Katherine J Gilmore,Sherrie Cohen,Ariana Flores Gordon,Carol Rose Fleischman,Gwen Snyder,Jerry T Jordan,Hamdi Soysal,William Leopold,Margaret Lenzi,Tonya Diane Bah,Waleed Shahid,Vincent Hughes,Ken Washington,Mary Jo Daley,Mark Aronchick,Blondell Reynolds Brown,Nicole Allen White,Michelle W Singer,Joe Foster,Heather A Steinmiller,All
Vincent Hughes,243,"1,190","1,131","1,001",974,938,895,893,864,857,862,834,831,818,811,808,732,713,695,672,673,645,639,607,595,All
Cindy Bass,,32,232,222,874,891,164,153,137,138,839,129,134,124,111,111,669,703,699,651,652,641,631,592,615,All
Yasmeen Kaboud,,,30,"1,004",254,220,917,930,910,898,208,883,868,860,855,845,144,149,119,129,111,108,112,114,79,All
Lou Agre,,,,12,228,191,893,888,882,863,197,865,847,826,824,813,121,123,100,111,92,89,85,102,58,All
Malcolm Kenyatta,,,,,11,841,176,168,148,152,836,147,153,143,131,138,675,686,673,648,632,619,622,591,606,All
Katherine J Gilmore,,,,,,16,154,139,129,123,802,114,126,116,104,104,635,654,666,630,601,612,604,576,594,All
Sherrie Cohen,,,,,,,1,915,892,883,146,886,870,850,842,831,133,130,114,138,106,100,95,111,65,All
Ariana Flores Gordon,,,,,,,,3,889,891,126,880,861,844,844,832,116,129,101,125,91,87,87,97,58,All
Carol Rose Fleischman,,,,,,,,,1,870,109,865,848,831,836,812,103,102,87,106,71,73,83,85,53,All
Gwen Snyder,,,,,,,,,,0,119,853,853,850,839,834,105,107,78,98,87,88,84,95,54,All
Jerry T Jordan,,,,,,,,,,,7,117,115,110,92,100,627,644,642,635,595,590,583,566,580,All
Hamdi Soysal,,,,,,,,,,,,0,840,812,818,811,90,101,85,106,75,75,77,83,51,All
William Leopold,,,,,,,,,,,,,1,840,833,829,109,107,75,94,90,89,84,107,63,All
Margaret Lenzi,,,,,,,,,,,,,,0,825,822,114,102,74,87,86,98,92,99,64,All
Tonya Diane Bah,,,,,,,,,,,,,,,1,816,105,88,63,82,72,76,67,86,51,All
Waleed Shahid,,,,,,,,,,,,,,,,1,104,86,63,79,76,77,73,90,50,All
Vincent Hughes,,,,,,,,,,,,,,,,,4,658,619,593,668,630,612,599,593,All
Ken Washington,,,,,,,,,,,,,,,,,,2,651,628,623,623,611,584,602,All
Mary Jo Daley,,,,,,,,,,,,,,,,,,,4,646,594,599,597,560,586,All
Mark Aronchick,,,,,,,,,,,,,,,,,,,,1,565,567,577,555,572,All
Blondell Reynolds Brown,,,,,,,,,,,,,,,,,,,,,0,611,598,571,576,All
Nicole Allen White,,,,,,,,,,,,,,,,,,,,,,2,591,586,585,All
Michelle W Singer,,,,,,,,,,,,,,,,,,,,,,,1,558,595,All
Joe Foster,,,,,,,,,,,,,,,,,,,,,,,,0,548,All
Heather A Steinmiller,,,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,"2,680","1,334","1,304","1,149","1,087","1,058","1,027","1,026",988,977,963,960,944,936,924,917,818,803,790,758,755,723,718,683,666,All
,Senator In The General Assembly 7th District - Democrat,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,,,,,,,,1
,Vincent Hughes,Yasmeen Kaboud,Katherine J Gilmore,Malcolm Kenyatta,Cindy Bass,Jerry T Jordan,Margaret Lenzi,Tonya Diane Bah,Lou Agre,Sherrie Cohen,Gwen Snyder,Ariana Flores Gordon,Carol Rose Fleischman,Waleed Shahid,Mark Aronchick,Ken Washington,Michelle W Singer,William Leopold,Blondell Reynolds Brown,Hamdi Soysal,Nicole Allen White,Vincent Hughes,Joe Foster,Mary Jo Daley,Heather A Steinmiller,1
Vincent Hughes,5,73,71,70,69,67,70,68,67,67,65,65,65,65,60,59,59,62,58,60,59,58,58,55,55,1
Yasmeen Kaboud,,1,15,17,13,15,66,65,65,64,66,65,64,63,10,6,9,62,8,59,8,9,10,6,4,1
Katherine J Gilmore,,,1,66,69,66,19,17,15,17,13,15,15,15,61,61,61,14,61,12,63,59,56,62,60,1
Malcolm Kenyatta,,,,0,64,71,19,17,15,17,16,16,14,18,63,63,60,15,60,13,59,61,61,59,60,1
Cindy Bass,,,,,0,66,16,15,11,13,13,12,11,13,61,62,62,11,60,11,61,60,58,61,60,1
Jerry T Jordan,,,,,,0,18,15,14,16,15,14,12,15,62,63,60,13,59,12,59,61,61,59,60,1
Margaret Lenzi,,,,,,,0,68,63,68,69,68,66,66,12,10,12,65,11,63,12,11,13,8,7,1
Tonya Diane Bah,,,,,,,,0,62,69,68,67,68,65,14,9,13,63,9,62,9,11,9,8,6,1
Lou Agre,,,,,,,,,1,64,62,63,61,60,9,6,6,61,7,59,6,9,9,3,2,1
Sherrie Cohen,,,,,,,,,,0,67,66,67,63,14,9,10,64,9,63,10,11,11,7,5,1
Gwen Snyder,,,,,,,,,,,0,67,66,64,11,8,9,63,8,61,8,9,11,5,4,1
Ariana Flores Gordon,,,,,,,,,,,,0,65,63,11,7,9,64,9,60,7,9,10,4,3,1
Carol Rose Fleischman,,,,,,,,,,,,,0,62,11,7,9,62,7,60,6,9,8,6,4,1
