col_1,col_2,col_3,division
,Auditor General - Republican,State Treasurer - Republican,All
,John Brown,Otto Voit,All
John Brown,57,886,All
Otto Voit,,30,All
Total,943,916,All
,Auditor General - Republican,State Treasurer - Republican,1
,John Brown,Otto Voit,1
John Brown,2,45,1
Otto Voit,,2,1
Total,47,47,1
,Auditor General - Republican,State Treasurer - Republican,2
,John Brown,Otto Voit,2
John Brown,4,89,2
Otto Voit,,2,2
Total,93,91,2
,Auditor General - Republican,State Treasurer - Republican,3
,John Brown,Otto Voit,3
John Brown,1,37,3
Otto Voit,,1,3
Total,38,38,3
,State Treasurer - Republican,Auditor General - Republican,4
,Otto Voit,John Brown,4
Otto Voit,3,51,4
John Brown,,2,4
Total,54,53,4
,Auditor General - Republican,State Treasurer - Republican,5
,John Brown,Otto Voit,5
John Brown,5,62,5
Otto Voit,,2,5
Total,67,64,5
,Auditor General - Republican,State Treasurer - Republican,6
,John Brown,Otto Voit,6
John Brown,3,58,6
Otto Voit,,1,6
Total,61,59,6
,Auditor General - Republican,State Treasurer - Republican,7
,John Brown,Otto Voit,7
John Brown,5,38,7
Otto Voit,,0,7
Total,43,38,7
,Auditor General - Republican,State Treasurer - Republican,8
,John Brown,Otto Voit,8
John Brown,3,60,8
Otto Voit,,0,8
Total,63,60,8
,Auditor General - Republican,State Treasurer - Republican,9
,John Brown,Otto Voit,9
John Brown,2,24,9
Otto Voit,,2,9
Total,26,26,9
,Auditor General - Republican,State Treasurer - Republican,10
,John Brown,Otto Voit,10
John Brown,2,38,10
Otto Voit,,1,10
Total,40,39,10
,Auditor General - Republican,State Treasurer - Republican,11
,John Brown,Otto Voit,11
John Brown,1,63,11
Otto Voit,,1,11
Total,64,64,11
,Auditor General - Republican,State Treasurer - Republican,12
,John Brown,Otto Voit,12
John Brown,5,24,12
Otto Voit,,3,12
Total,29,27,12
,Auditor General - Republican,State Treasurer - Republican,13
,John Brown,Otto Voit,13
John Brown,6,57,13
Otto Voit,,2,13
Total,63,59,13
,Auditor General - Republican,State Treasurer - Republican,14
,John Brown,Otto Voit,14
John Brown,6,49,14
Otto Voit,,3,14
Total,55,52,14
,Auditor General - Republican,State Treasurer - Republican,15
,John Brown,Otto Voit,15
John Brown,5,33,15
Otto Voit,,3,15
Total,38,36,15
,Auditor General - Republican,State Treasurer - Republican,16
,John Brown,Otto Voit,16
John Brown,2,40,16
Otto Voit,,1,16
Total,42,41,16
,Auditor General - Republican,State Treasurer - Republican,17
,John Brown,Otto Voit,17
John Brown,0,49,17
Otto Voit,,0,17
Total,49,49,17
,Auditor General - Republican,State Treasurer - Republican,18
,John Brown,Otto Voit,18
John Brown,3,69,18
Otto Voit,,3,18
Total,72,72,18
