col_1,col_2,division
,Representative In The General Assembly 203rd District - Democrat,All
,Isabella Fitzgerald,All
Isabella Fitzgerald,"4,081",All
Total,"4,081",All
,Representative In The General Assembly 203rd District - Democrat,4
,Isabella Fitzgerald,4
Isabella Fitzgerald,136,4
Total,136,4
,Representative In The General Assembly 203rd District - Democrat,5
,Isabella Fitzgerald,5
Isabella Fitzgerald,126,5
Total,126,5
,Representative In The General Assembly 203rd District - Democrat,6
,Isabella Fitzgerald,6
Isabella Fitzgerald,304,6
Total,304,6
,Representative In The General Assembly 203rd District - Democrat,8
,Isabella Fitzgerald,8
Isabella Fitzgerald,140,8
Total,140,8
,Representative In The General Assembly 203rd District - Democrat,9
,Isabella Fitzgerald,9
Isabella Fitzgerald,144,9
Total,144,9
,Representative In The General Assembly 203rd District - Democrat,10
,Isabella Fitzgerald,10
Isabella Fitzgerald,166,10
Total,166,10
,Representative In The General Assembly 203rd District - Democrat,11
,Isabella Fitzgerald,11
Isabella Fitzgerald,149,11
Total,149,11
,Representative In The General Assembly 203rd District - Democrat,12
,Isabella Fitzgerald,12
Isabella Fitzgerald,141,12
Total,141,12
,Representative In The General Assembly 203rd District - Democrat,13
,Isabella Fitzgerald,13
Isabella Fitzgerald,155,13
Total,155,13
,Representative In The General Assembly 203rd District - Democrat,14
,Isabella Fitzgerald,14
Isabella Fitzgerald,170,14
Total,170,14
,Representative In The General Assembly 203rd District - Democrat,15
,Isabella Fitzgerald,15
Isabella Fitzgerald,123,15
Total,123,15
,Representative In The General Assembly 203rd District - Democrat,16
,Isabella Fitzgerald,16
Isabella Fitzgerald,133,16
Total,133,16
,Representative In The General Assembly 203rd District - Democrat,17
,Isabella Fitzgerald,17
Isabella Fitzgerald,164,17
Total,164,17
,Representative In The General Assembly 203rd District - Democrat,18
,Isabella Fitzgerald,18
Isabella Fitzgerald,167,18
Total,167,18
,Representative In The General Assembly 203rd District - Democrat,19
,Isabella Fitzgerald,19
Isabella Fitzgerald,164,19
Total,164,19
,Representative In The General Assembly 203rd District - Democrat,20
,Isabella Fitzgerald,20
Isabella Fitzgerald,190,20
Total,190,20
,Representative In The General Assembly 203rd District - Democrat,21
,Isabella Fitzgerald,21
Isabella Fitzgerald,265,21
Total,265,21
,Representative In The General Assembly 203rd District - Democrat,22
,Isabella Fitzgerald,22
Isabella Fitzgerald,161,22
Total,161,22
,Representative In The General Assembly 203rd District - Democrat,23
,Isabella Fitzgerald,23
Isabella Fitzgerald,183,23
Total,183,23
,Representative In The General Assembly 203rd District - Democrat,24
,Isabella Fitzgerald,24
Isabella Fitzgerald,127,24
Total,127,24
,Representative In The General Assembly 203rd District - Democrat,25
,Isabella Fitzgerald,25
Isabella Fitzgerald,200,25
Total,200,25
,Representative In The General Assembly 203rd District - Democrat,26
,Isabella Fitzgerald,26
Isabella Fitzgerald,155,26
Total,155,26
,Representative In The General Assembly 203rd District - Democrat,27
,Isabella Fitzgerald,27
Isabella Fitzgerald,198,27
Total,198,27
,Representative In The General Assembly 203rd District - Democrat,28
,Isabella Fitzgerald,28
Isabella Fitzgerald,220,28
Total,220,28
