col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,division
,Representative In The General Assembly 201st District - Democrat,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,,,,,,,,All
,Stephen Kinsey,Cindy Bass,Malcolm Kenyatta,Katherine J Gilmore,Jerry T Jordan,Ken Washington,Mary Jo Daley,Vincent Hughes,Blondell Reynolds Brown,Nicole Allen White,Mark Aronchick,Michelle W Singer,Joe Foster,Heather A Steinmiller,Yasmeen Kaboud,Lou Agre,Sherrie Cohen,Ariana Flores Gordon,Carol Rose Fleischman,Gwen Snyder,Hamdi Soysal,Waleed Shahid,William Leopold,Tonya Diane Bah,Margaret Lenzi,All
Stephen Kinsey,248,"2,627","2,004","1,905","1,810","1,564","1,512","1,520","1,492","1,450","1,431","1,403","1,358","1,314",993,843,712,664,626,596,563,560,555,556,547,All
Cindy Bass,,144,"2,005","1,934","1,865","1,613","1,585","1,541","1,538","1,484","1,498","1,468","1,390","1,374",457,423,368,287,277,257,237,220,246,213,227,All
Malcolm Kenyatta,,,15,"1,840","1,818","1,537","1,513","1,463","1,437","1,412","1,445","1,410","1,354","1,343",419,366,329,247,234,224,222,197,216,180,200,All
Katherine J Gilmore,,,,24,"1,755","1,458","1,466","1,373","1,364","1,369","1,404","1,376","1,300","1,311",376,311,275,210,202,175,177,148,167,135,162,All
Jerry T Jordan,,,,,8,"1,437","1,425","1,350","1,331","1,327","1,396","1,336","1,278","1,277",350,322,258,186,180,171,166,141,164,132,152,All
Ken Washington,,,,,,3,"1,451","1,467","1,428","1,440","1,401","1,433","1,373","1,380",231,192,252,180,162,175,145,148,174,141,163,All
Mary Jo Daley,,,,,,,7,"1,345","1,327","1,358","1,458","1,367","1,295","1,311",211,165,228,161,161,147,134,99,131,99,123,All
Vincent Hughes,,,,,,,,4,"1,473","1,417","1,311","1,369","1,371","1,313",197,162,221,146,142,145,115,151,166,129,163,All
Blondell Reynolds Brown,,,,,,,,,5,"1,379","1,290","1,345","1,331","1,297",175,139,211,127,128,120,101,125,136,110,130,All
Nicole Allen White,,,,,,,,,,6,"1,317","1,393","1,350","1,330",166,131,184,126,113,114,95,121,130,110,152,All
Mark Aronchick,,,,,,,,,,,0,"1,336","1,272","1,278",193,168,223,158,145,136,134,92,125,85,117,All
Michelle W Singer,,,,,,,,,,,,0,"1,321","1,354",153,116,178,101,103,116,82,96,129,95,130,All
Joe Foster,,,,,,,,,,,,,1,"1,281",160,123,170,112,103,116,93,123,126,88,130,All
Heather A Steinmiller,,,,,,,,,,,,,,0,138,94,149,87,82,88,70,72,94,74,106,All
Yasmeen Kaboud,,,,,,,,,,,,,,,20,729,563,599,557,529,539,501,479,489,464,All
Lou Agre,,,,,,,,,,,,,,,,11,538,565,545,504,519,468,486,477,457,All
Sherrie Cohen,,,,,,,,,,,,,,,,,2,573,566,507,538,465,495,488,464,All
Ariana Flores Gordon,,,,,,,,,,,,,,,,,,6,557,528,541,483,484,483,447,All
Carol Rose Fleischman,,,,,,,,,,,,,,,,,,,2,512,526,461,469,484,459,All
Gwen Snyder,,,,,,,,,,,,,,,,,,,,2,492,462,464,479,456,All
Hamdi Soysal,,,,,,,,,,,,,,,,,,,,,2,447,453,452,433,All
Waleed Shahid,,,,,,,,,,,,,,,,,,,,,,0,465,452,458,All
William Leopold,,,,,,,,,,,,,,,,,,,,,,,1,463,468,All
Tonya Diane Bah,,,,,,,,,,,,,,,,,,,,,,,,1,451,All
Margaret Lenzi,,,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,"3,881","3,060","2,260","2,149","2,021","1,761","1,704","1,691","1,677","1,611","1,605","1,572","1,498","1,470","1,108",949,802,751,699,657,635,618,618,612,606,All
,Representative In The General Assembly 201st District - Democrat,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,,,,,,,,1
