col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,division
,Delegate To The Democratic National Convention 1st District,,,,,,,,,,,,,,,,Representative In The General Assembly 182nd District - Democrat,,,,All
,H Douglass Brown,Thaddeus Kirkland,Peter Cutty,Amanda Mcillmurray,Anne Wakabayashi,Blake Rutherford,Maria Quinones Sanchez,Jennifer Lentz,Kat Richter,Katherine Hunter Snyder,Leanne Krueger Braneky,Jacob Adeniran,Cathy Brady,Angel Cruz,Ryan N Boyer,Ted Kirsch,Brian Sims,Ben Waxman,Lou Lanni,Marni Snyder,All
H Douglass Brown,33,369,"1,864","1,823",369,281,328,365,"1,716","1,687",285,"1,638",244,254,238,226,627,658,388,299,All
Thaddeus Kirkland,,20,380,364,"1,716","1,731","1,593","1,570",307,288,"1,574",262,"1,519","1,507","1,519","1,460",861,587,346,243,All
Peter Cutty,,,8,"1,743",376,289,327,384,"1,664","1,635",299,"1,598",249,268,256,244,620,586,342,290,All
Amanda Mcillmurray,,,,5,414,274,374,417,"1,755","1,712",334,"1,647",294,287,256,269,655,547,296,311,All
Anne Wakabayashi,,,,,4,"1,591","1,645","1,629",358,336,"1,626",292,"1,557","1,501","1,514","1,452",892,473,219,260,All
Blake Rutherford,,,,,,12,"1,484","1,512",221,208,"1,478",192,"1,476","1,438","1,484","1,411",809,488,231,215,All
Maria Quinones Sanchez,,,,,,,0,"1,523",328,343,"1,576",302,"1,513","1,530","1,430","1,455",863,455,191,246,All
Jennifer Lentz,,,,,,,,1,364,351,"1,532",313,"1,511","1,479","1,453","1,441",872,451,184,229,All
Kat Richter,,,,,,,,,0,"1,675",291,"1,609",243,266,226,241,594,507,280,300,All
Katherine Hunter Snyder,,,,,,,,,,1,282,"1,590",231,264,211,235,607,490,252,288,All
Leanne Krueger Braneky,,,,,,,,,,,0,251,"1,499","1,452","1,423","1,434",817,441,179,237,All
Jacob Adeniran,,,,,,,,,,,,0,201,237,187,209,559,477,244,277,All
Cathy Brady,,,,,,,,,,,,,1,"1,436","1,412","1,401",797,411,172,224,All
Angel Cruz,,,,,,,,,,,,,,0,"1,400","1,437",793,410,175,211,All
Ryan N Boyer,,,,,,,,,,,,,,,0,"1,363",773,400,177,199,All
Ted Kirsch,,,,,,,,,,,,,,,,1,767,387,162,217,All
Brian Sims,,,,,,,,,,,,,,,,,85,0,0,0,All
Ben Waxman,,,,,,,,,,,,,,,,,,106,0,0,All
Lou Lanni,,,,,,,,,,,,,,,,,,,109,0,All
Marni Snyder,,,,,,,,,,,,,,,,,,,,51,All
Total,"2,229","2,208","2,061","2,016","1,984","1,902","1,895","1,873","1,873","1,834","1,804","1,740","1,736","1,719","1,673","1,651","1,599","1,321",846,612,All
,Delegate To The Democratic National Convention 1st District,,,,,,,,,,,,,,,,Representative In The General Assembly 182nd District - Democrat,,,,2
,H Douglass Brown,Peter Cutty,Amanda Mcillmurray,Kat Richter,Jacob Adeniran,Thaddeus Kirkland,Katherine Hunter Snyder,Anne Wakabayashi,Blake Rutherford,Leanne Krueger Braneky,Maria Quinones Sanchez,Angel Cruz,Cathy Brady,Jennifer Lentz,Ryan N Boyer,Ted Kirsch,Ben Waxman,Brian Sims,Lou Lanni,Marni Snyder,2
H Douglass Brown,2,81,77,69,67,17,60,19,13,16,13,11,13,17,14,9,25,24,20,6,2
Peter Cutty,,0,74,67,65,21,59,20,16,18,15,13,14,18,16,11,27,24,16,4,2
Amanda Mcillmurray,,,0,71,67,20,61,21,16,19,16,14,16,19,16,13,18,25,18,7,2
Kat Richter,,,,0,63,14,55,13,10,11,10,12,9,12,10,9,19,21,14,5,2
Jacob Adeniran,,,,,0,7,54,10,5,10,9,9,9,11,8,6,15,20,15,3,2
Thaddeus Kirkland,,,,,,0,9,47,48,40,41,42,42,39,40,40,24,20,11,7,2
Katherine Hunter Snyder,,,,,,,0,10,6,12,7,9,7,11,8,7,14,17,14,3,2
Anne Wakabayashi,,,,,,,,0,43,45,46,42,44,43,42,38,17,21,9,7,2
Blake Rutherford,,,,,,,,,1,37,42,36,37,37,42,35,18,15,10,7,2
Leanne Krueger Braneky,,,,,,,,,,0,37,35,37,39,38,35,13,22,5,6,2
Maria Quinones Sanchez,,,,,,,,,,,0,39,39,36,38,35,15,14,8,8,2
Angel Cruz,,,,,,,,,,,,0,38,37,35,36,17,17,5,6,2
Cathy Brady,,,,,,,,,,,,,0,39,35,34,15,20,5,6,2
Jennifer Lentz,,,,,,,,,,,,,,0,37,34,14,20,6,6,2
Ryan N Boyer,,,,,,,,,,,,,,,0,33,12,19,8,5,2
Ted Kirsch,,,,,,,,,,,,,,,,0,16,16,6,5,2
Ben Waxman,,,,,,,,,,,,,,,,,9,0,0,0,2
Brian Sims,,,,,,,,,,,,,,,,,,2,0,0,2
Lou Lanni,,,,,,,,,,,,,,,,,,,5,0,2
Marni Snyder,,,,,,,,,,,,,,,,,,,,3,2
Total,93,86,83,74,68,68,61,59,56,51,51,50,50,50,48,46,54,46,35,14,2
,Delegate To The Democratic National Convention 1st District,,,,,,,,,,,,,,,,Representative In The General Assembly 182nd District - Democrat,,,,3
