col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,division
,Representative In The General Assembly 185th District - Democrat,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,,,,,,,,All
,Maria P Donatucci,Cindy Bass,Malcolm Kenyatta,Katherine J Gilmore,Yasmeen Kaboud,Jerry T Jordan,Lou Agre,Mary Jo Daley,Mark Aronchick,Ken Washington,Nicole Allen White,Vincent Hughes,Blondell Reynolds Brown,Carol Rose Fleischman,Ariana Flores Gordon,Sherrie Cohen,Michelle W Singer,Joe Foster,Tonya Diane Bah,Heather A Steinmiller,Waleed Shahid,Hamdi Soysal,Margaret Lenzi,Gwen Snyder,William Leopold,All
Maria P Donatucci,59,381,317,287,280,265,247,196,193,189,187,184,183,180,181,178,175,175,167,171,168,162,162,157,160,All
Cindy Bass,,11,274,263,80,249,73,192,188,189,178,172,175,31,30,33,174,161,23,173,25,21,23,19,23,All
Malcolm Kenyatta,,,8,266,89,259,84,184,188,180,173,175,169,40,34,44,167,167,35,167,37,33,35,32,34,All
Katherine J Gilmore,,,,5,81,249,74,183,178,172,170,163,161,36,30,35,168,157,28,166,31,23,28,26,28,All
Yasmeen Kaboud,,,,,8,74,224,37,39,33,38,27,26,178,173,171,28,36,163,25,160,163,151,160,153,All
Jerry T Jordan,,,,,,0,67,171,167,169,158,157,158,30,25,31,158,155,22,157,30,27,28,24,26,All
Lou Agre,,,,,,,1,25,32,26,29,22,19,176,168,175,21,27,164,19,156,165,154,161,156,All
Mary Jo Daley,,,,,,,,1,190,181,168,165,163,26,22,29,171,163,20,168,18,20,19,17,19,All
Mark Aronchick,,,,,,,,,0,179,165,161,159,29,27,32,164,159,22,164,24,21,22,19,24,All
Ken Washington,,,,,,,,,,1,176,170,167,26,26,26,172,169,22,174,24,19,24,16,21,All
Nicole Allen White,,,,,,,,,,,0,171,165,31,29,31,165,164,30,162,34,24,29,28,29,All
Vincent Hughes,,,,,,,,,,,,1,176,23,14,24,158,163,21,158,24,17,23,16,20,All
Blondell Reynolds Brown,,,,,,,,,,,,,0,18,17,23,162,158,13,158,19,15,21,14,20,All
Carol Rose Fleischman,,,,,,,,,,,,,,0,169,176,21,29,170,20,158,167,154,162,161,All
Ariana Flores Gordon,,,,,,,,,,,,,,,0,168,20,22,161,15,152,160,151,157,155,All
Sherrie Cohen,,,,,,,,,,,,,,,,0,22,30,162,18,155,169,157,164,158,All
Michelle W Singer,,,,,,,,,,,,,,,,,0,156,18,168,19,17,20,16,25,All
Joe Foster,,,,,,,,,,,,,,,,,,0,24,158,33,24,29,21,27,All
Tonya Diane Bah,,,,,,,,,,,,,,,,,,,0,17,155,158,154,159,161,All
