col_1,col_2,col_3,col_4,col_5,division
,Representative In Congress 2nd District - Democrat,,,,All
,Dwight Evans,Chaka Fattah,Brian Anthony Gordon,Dan Muroff,All
Dwight Evans,"3,372",0,0,0,All
Chaka Fattah,,"2,111",0,0,All
Brian Anthony Gordon,,,572,0,All
Dan Muroff,,,,50,All
Total,"3,372","2,111",572,50,All
,Representative In Congress 2nd District - Democrat,,,,1
,Dwight Evans,Chaka Fattah,Brian Anthony Gordon,Dan Muroff,1
Dwight Evans,120,0,0,0,1
Chaka Fattah,,73,0,0,1
Brian Anthony Gordon,,,10,0,1
Dan Muroff,,,,3,1
Total,120,73,10,3,1
,Representative In Congress 2nd District - Democrat,,,,2
,Dwight Evans,Chaka Fattah,Brian Anthony Gordon,Dan Muroff,2
Dwight Evans,95,0,0,0,2
Chaka Fattah,,62,0,0,2
Brian Anthony Gordon,,,24,0,2
Dan Muroff,,,,1,2
Total,95,62,24,1,2
,Representative In Congress 2nd District - Democrat,,,,3
,Dwight Evans,Chaka Fattah,Brian Anthony Gordon,Dan Muroff,3
Dwight Evans,152,0,0,0,3
Chaka Fattah,,72,0,0,3
Brian Anthony Gordon,,,20,0,3
Dan Muroff,,,,1,3
Total,152,72,20,1,3
,Representative In Congress 2nd District - Democrat,,,,4
,Dwight Evans,Chaka Fattah,Brian Anthony Gordon,Dan Muroff,4
Dwight Evans,181,0,0,0,4
Chaka Fattah,,52,0,0,4
Brian Anthony Gordon,,,36,0,4
Dan Muroff,,,,2,4
Total,181,52,36,2,4
,Representative In Congress 2nd District - Democrat,,,,5
,Dwight Evans,Chaka Fattah,Brian Anthony Gordon,Dan Muroff,5
Dwight Evans,105,0,0,0,5
Chaka Fattah,,83,0,0,5
Brian Anthony Gordon,,,22,0,5
Dan Muroff,,,,4,5
Total,105,83,22,4,5
,Representative In Congress 2nd District - Democrat,,,,6
,Dwight Evans,Chaka Fattah,Brian Anthony Gordon,Dan Muroff,6
Dwight Evans,135,0,0,0,6
Chaka Fattah,,92,0,0,6
Brian Anthony Gordon,,,23,0,6
Dan Muroff,,,,3,6
Total,135,92,23,3,6
,Representative In Congress 2nd District - Democrat,,,,7
,Dwight Evans,Chaka Fattah,Brian Anthony Gordon,Dan Muroff,7
Dwight Evans,131,0,0,0,7
Chaka Fattah,,108,0,0,7
Brian Anthony Gordon,,,29,0,7
Dan Muroff,,,,2,7
Total,131,108,29,2,7
,Representative In Congress 2nd District - Democrat,,,,8
,Dwight Evans,Chaka Fattah,Brian Anthony Gordon,Dan Muroff,8
Dwight Evans,145,0,0,0,8
Chaka Fattah,,53,0,0,8
Brian Anthony Gordon,,,17,0,8
Dan Muroff,,,,2,8
Total,145,53,17,2,8
,Representative In Congress 2nd District - Democrat,,,,9
,Dwight Evans,Chaka Fattah,Brian Anthony Gordon,Dan Muroff,9
Dwight Evans,104,0,0,0,9
Chaka Fattah,,82,0,0,9
Brian Anthony Gordon,,,21,0,9
Dan Muroff,,,,1,9
Total,104,82,21,1,9
,Representative In Congress 2nd District - Democrat,,,,10
,Dwight Evans,Chaka Fattah,Brian Anthony Gordon,Dan Muroff,10
Dwight Evans,147,0,0,0,10
Chaka Fattah,,77,0,0,10
Brian Anthony Gordon,,,14,0,10
Dan Muroff,,,,1,10
Total,147,77,14,1,10
,Representative In Congress 2nd District - Democrat,,,,11
,Dwight Evans,Chaka Fattah,Brian Anthony Gordon,Dan Muroff,11
Dwight Evans,136,0,0,0,11
Chaka Fattah,,64,0,0,11
Brian Anthony Gordon,,,13,0,11
Dan Muroff,,,,0,11
Total,136,64,13,0,11
,Representative In Congress 2nd District - Democrat,,,,12
,Dwight Evans,Chaka Fattah,Brian Anthony Gordon,Dan Muroff,12
Dwight Evans,153,0,0,0,12
Chaka Fattah,,73,0,0,12
Brian Anthony Gordon,,,11,0,12
Dan Muroff,,,,4,12
Total,153,73,11,4,12
,Representative In Congress 2nd District - Democrat,,,,13
,Dwight Evans,Chaka Fattah,Brian Anthony Gordon,Dan Muroff,13
Dwight Evans,94,0,0,0,13
Chaka Fattah,,90,0,0,13
Brian Anthony Gordon,,,35,0,13
Dan Muroff,,,,2,13
Total,94,90,35,2,13
,Representative In Congress 2nd District - Democrat,,,,14
,Dwight Evans,Chaka Fattah,Brian Anthony Gordon,Dan Muroff,14
Dwight Evans,130,0,0,0,14
Chaka Fattah,,120,0,0,14
Brian Anthony Gordon,,,12,0,14
Dan Muroff,,,,0,14
Total,130,120,12,0,14
,Representative In Congress 2nd District - Democrat,,,,15
,Dwight Evans,Chaka Fattah,Brian Anthony Gordon,Dan Muroff,15
Dwight Evans,152,0,0,0,15
Chaka Fattah,,45,0,0,15
Brian Anthony Gordon,,,16,0,15
Dan Muroff,,,,0,15
Total,152,45,16,0,15
,Representative In Congress 2nd District - Democrat,,,,16
,Chaka Fattah,Dwight Evans,Brian Anthony Gordon,Dan Muroff,16
Chaka Fattah,67,0,0,0,16
Dwight Evans,,60,0,0,16
Brian Anthony Gordon,,,21,0,16
Dan Muroff,,,,1,16
Total,67,60,21,1,16
,Representative In Congress 2nd District - Democrat,,,,17
,Dwight Evans,Chaka Fattah,Brian Anthony Gordon,Dan Muroff,17
Dwight Evans,89,0,0,0,17
Chaka Fattah,,65,0,0,17
Brian Anthony Gordon,,,15,0,17
Dan Muroff,,,,2,17
Total,89,65,15,2,17
,Representative In Congress 2nd District - Democrat,,,,18
