col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,division
,Representative In The General Assembly 181st District - Democrat,,Delegate To The Democratic National Convention 1st District,,,,,,,,,,,,,,,,All
,W Curtis Thomas,Kenneth T Walker Jr,H Douglass Brown,Peter Cutty,Amanda Mcillmurray,Thaddeus Kirkland,Kat Richter,Katherine Hunter Snyder,Jacob Adeniran,Blake Rutherford,Maria Quinones Sanchez,Anne Wakabayashi,Jennifer Lentz,Angel Cruz,Leanne Krueger Braneky,Ryan N Boyer,Cathy Brady,Ted Kirsch,All
W Curtis Thomas,78,0,340,294,284,384,268,256,248,304,298,291,276,265,272,249,253,239,All
Kenneth T Walker Jr,,24,286,253,233,135,220,210,208,106,101,110,104,99,86,91,84,81,All
H Douglass Brown,,,12,605,584,123,562,542,538,98,100,103,113,98,86,91,78,68,All
Peter Cutty,,,,8,557,119,536,520,514,99,98,104,116,95,85,86,79,69,All
Amanda Mcillmurray,,,,,5,102,573,545,538,81,97,104,124,100,88,85,84,66,All
Thaddeus Kirkland,,,,,,11,88,86,77,428,344,378,332,323,334,328,317,299,All
Kat Richter,,,,,,,3,535,528,68,93,94,105,91,81,81,69,66,All
Katherine Hunter Snyder,,,,,,,,0,517,62,98,89,101,89,76,74,70,63,All
Jacob Adeniran,,,,,,,,,0,60,84,77,85,81,71,66,56,59,All
Blake Rutherford,,,,,,,,,,7,305,335,316,304,308,317,304,288,All
Maria Quinones Sanchez,,,,,,,,,,,12,352,316,335,329,290,308,298,All
Anne Wakabayashi,,,,,,,,,,,,0,349,325,338,327,324,303,All
Jennifer Lentz,,,,,,,,,,,,,0,321,308,316,310,298,All
Angel Cruz,,,,,,,,,,,,,,4,303,296,304,305,All
Leanne Krueger Braneky,,,,,,,,,,,,,,,0,289,302,286,All
Ryan N Boyer,,,,,,,,,,,,,,,,0,297,281,All
Cathy Brady,,,,,,,,,,,,,,,,,0,281,All
Ted Kirsch,,,,,,,,,,,,,,,,,,0,All
Total,813,450,759,672,639,618,606,583,561,500,450,447,419,404,395,376,374,351,All
,Delegate To The Democratic National Convention 1st District,,,,,,,,,,,,,,,,Representative In The General Assembly 181st District - Democrat,,1
,H Douglass Brown,Peter Cutty,Amanda Mcillmurray,Kat Richter,Katherine Hunter Snyder,Jacob Adeniran,Anne Wakabayashi,Thaddeus Kirkland,Jennifer Lentz,Maria Quinones Sanchez,Blake Rutherford,Angel Cruz,Leanne Krueger Braneky,Ted Kirsch,Cathy Brady,Ryan N Boyer,W Curtis Thomas,Kenneth T Walker Jr,1
H Douglass Brown,6,202,199,196,187,183,38,33,38,34,19,30,26,29,20,23,113,82,1
Peter Cutty,,3,194,191,182,174,36,29,36,29,17,26,23,29,17,19,98,73,1
Amanda Mcillmurray,,,1,203,191,182,43,32,42,35,19,30,27,30,23,22,99,71,1
Kat Richter,,,,0,187,179,42,32,41,35,20,32,29,33,23,25,99,70,1
Katherine Hunter Snyder,,,,,0,176,37,29,35,35,16,31,25,27,21,22,97,63,1
Jacob Adeniran,,,,,,0,30,24,28,29,13,26,24,26,17,17,89,60,1
Anne Wakabayashi,,,,,,,0,91,96,92,81,81,82,79,83,82,75,35,1
Thaddeus Kirkland,,,,,,,,2,82,80,83,73,77,75,75,76,73,34,1
Jennifer Lentz,,,,,,,,,0,79,73,76,76,78,76,77,68,34,1
Maria Quinones Sanchez,,,,,,,,,,1,74,82,80,76,75,69,68,31,1
Blake Rutherford,,,,,,,,,,,1,68,70,69,70,72,61,28,1
Angel Cruz,,,,,,,,,,,,0,71,75,71,68,61,28,1
Leanne Krueger Braneky,,,,,,,,,,,,,0,69,70,69,64,23,1
Ted Kirsch,,,,,,,,,,,,,,0,67,70,56,31,1
Cathy Brady,,,,,,,,,,,,,,,0,71,59,22,1
Ryan N Boyer,,,,,,,,,,,,,,,,0,53,28,1
W Curtis Thomas,,,,,,,,,,,,,,,,,20,0,1
Kenneth T Walker Jr,,,,,,,,,,,,,,,,,,3,1
Total,250,221,216,212,202,188,123,122,114,113,102,100,98,97,93,93,215,123,1
,Representative In The General Assembly 181st District - Democrat,,Delegate To The Democratic National Convention 1st District,,,,,,,,,,,,,,,,3
,W Curtis Thomas,Kenneth T Walker Jr,Thaddeus Kirkland,Maria Quinones Sanchez,Anne Wakabayashi,Angel Cruz,Blake Rutherford,Jennifer Lentz,Cathy Brady,Leanne Krueger Braneky,Ryan N Boyer,Ted Kirsch,H Douglass Brown,Amanda Mcillmurray,Peter Cutty,Kat Richter,Katherine Hunter Snyder,Jacob Adeniran,3
W Curtis Thomas,3,0,65,63,60,61,61,61,59,59,57,57,14,12,10,11,11,11,3
Kenneth T Walker Jr,,2,6,5,6,4,4,3,4,4,3,4,4,4,4,3,3,2,3
Thaddeus Kirkland,,,0,64,64,62,65,63,62,62,61,59,4,3,6,3,3,3,3
Maria Quinones Sanchez,,,,0,63,63,62,62,62,63,59,59,3,2,5,1,1,1,3
Anne Wakabayashi,,,,,0,62,61,63,63,62,60,60,2,3,4,1,1,1,3
Angel Cruz,,,,,,0,62,63,61,60,59,60,4,4,6,3,3,3,3
Blake Rutherford,,,,,,,0,62,61,61,61,59,4,3,6,3,3,3,3
Jennifer Lentz,,,,,,,,0,62,60,60,59,4,4,6,3,3,3,3
Cathy Brady,,,,,,,,,0,61,60,59,2,3,3,0,1,0,3
Leanne Krueger Braneky,,,,,,,,,,0,59,59,2,2,4,0,0,0,3
Ryan N Boyer,,,,,,,,,,,0,57,1,1,3,1,1,1,3
Ted Kirsch,,,,,,,,,,,,0,3,4,3,2,2,2,3
H Douglass Brown,,,,,,,,,,,,,0,17,14,16,16,16,3
Amanda Mcillmurray,,,,,,,,,,,,,,0,14,17,17,15,3
Peter Cutty,,,,,,,,,,,,,,,1,14,13,12,3
Kat Richter,,,,,,,,,,,,,,,,0,17,16,3
Katherine Hunter Snyder,,,,,,,,,,,,,,,,,0,15,3
Jacob Adeniran,,,,,,,,,,,,,,,,,,0,3
Total,80,16,72,68,67,66,66,65,64,63,61,61,21,20,19,18,18,16,3
,Representative In The General Assembly 181st District - Democrat,,Delegate To The Democratic National Convention 1st District,,,,,,,,,,,,,,,,8
,W Curtis Thomas,Kenneth T Walker Jr,Thaddeus Kirkland,Blake Rutherford,Anne Wakabayashi,Maria Quinones Sanchez,Peter Cutty,Ted Kirsch,Angel Cruz,H Douglass Brown,Cathy Brady,Jennifer Lentz,Leanne Krueger Braneky,Ryan N Boyer,Kat Richter,Amanda Mcillmurray,Jacob Adeniran,Katherine Hunter Snyder,8
W Curtis Thomas,8,0,23,13,9,8,8,9,8,7,7,6,7,7,5,6,5,5,8
Kenneth T Walker Jr,,1,5,5,3,2,3,3,2,2,3,4,3,2,1,1,1,1,8
Thaddeus Kirkland,,,4,14,11,9,2,10,9,2,8,8,9,9,1,1,1,2,8
Blake Rutherford,,,,0,10,8,1,10,9,1,8,8,8,8,1,2,1,1,8
Anne Wakabayashi,,,,,0,9,0,9,8,0,9,8,8,9,0,0,0,1,8
Maria Quinones Sanchez,,,,,,2,0,9,8,0,8,7,8,8,0,0,0,1,8
Peter Cutty,,,,,,,0,1,0,9,1,1,1,0,5,5,5,4,8
Ted Kirsch,,,,,,,,0,10,0,8,9,10,8,1,2,1,2,8
Angel Cruz,,,,,,,,,1,0,7,8,9,8,1,2,1,2,8
H Douglass Brown,,,,,,,,,,1,1,0,0,0,5,5,5,4,8
Cathy Brady,,,,,,,,,,,0,8,7,7,1,1,1,2,8
Jennifer Lentz,,,,,,,,,,,,0,9,7,1,1,1,2,8
Leanne Krueger Braneky,,,,,,,,,,,,,0,8,1,1,1,2,8
Ryan N Boyer,,,,,,,,,,,,,,0,0,0,0,1,8
Kat Richter,,,,,,,,,,,,,,,2,6,6,5,8
Amanda Mcillmurray,,,,,,,,,,,,,,,,0,6,5,8
Jacob Adeniran,,,,,,,,,,,,,,,,,0,5,8
Katherine Hunter Snyder,,,,,,,,,,,,,,,,,,0,8
Total,40,12,32,18,12,12,12,12,11,11,10,10,10,9,8,7,6,6,8
,Delegate To The Democratic National Convention 1st District,,,,,,,,,,,,,,,,Representative In The General Assembly 181st District - Democrat,,9
