col_1,col_2,col_3,col_4,col_5,division
,Representative In The General Assembly 173rd District - Democrat,Attorney General - Democrat,,,All
,Mike Driscoll,Josh Shapiro,Stephen A Zappala Jr,John Morganelli,All
Mike Driscoll,314,"2,875","2,648",868,All
Josh Shapiro,,670,0,0,All
Stephen A Zappala Jr,,,663,0,All
John Morganelli,,,,209,All
Total,"6,705","3,545","3,311","1,077",All
