col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,division
,Representative In The General Assembly 197th District - Democrat,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,,,,,,,,All
,Leslie Acosta,Cindy Bass,Malcolm Kenyatta,Katherine J Gilmore,Jerry T Jordan,Blondell Reynolds Brown,Ken Washington,Vincent Hughes,Mary Jo Daley,Michelle W Singer,Nicole Allen White,Joe Foster,Mark Aronchick,Heather A Steinmiller,Yasmeen Kaboud,Lou Agre,Ariana Flores Gordon,Sherrie Cohen,Carol Rose Fleischman,Hamdi Soysal,Tonya Diane Bah,Margaret Lenzi,Gwen Snyder,Waleed Shahid,William Leopold,All
Leslie Acosta,155,914,692,682,644,532,528,518,501,507,500,498,494,489,322,291,173,169,158,157,144,145,141,134,133,All
Cindy Bass,,47,727,717,685,574,567,554,555,545,535,535,539,527,184,184,89,89,79,77,65,69,68,54,59,All
Malcolm Kenyatta,,,4,685,656,543,538,528,532,526,512,520,530,511,163,166,77,80,67,70,60,58,58,45,52,All
Katherine J Gilmore,,,,4,657,526,532,516,533,519,498,507,527,507,149,144,58,59,51,51,41,43,40,30,37,All
Jerry T Jordan,,,,,3,508,505,495,505,505,481,493,506,494,149,142,57,64,51,55,38,47,46,34,36,All
Blondell Reynolds Brown,,,,,,3,510,537,489,511,503,509,488,501,42,41,35,39,27,27,31,42,30,23,30,All
Ken Washington,,,,,,,1,501,514,498,492,488,508,491,51,60,50,51,42,45,39,42,34,31,33,All
Vincent Hughes,,,,,,,,1,487,503,498,505,483,489,44,42,29,39,26,29,32,41,28,21,29,All
Mary Jo Daley,,,,,,,,,1,489,473,480,517,479,47,45,38,43,33,42,27,30,24,18,25,All
Michelle W Singer,,,,,,,,,,0,492,505,489,502,37,37,27,32,22,25,24,33,25,20,21,All
Nicole Allen White,,,,,,,,,,,1,497,473,483,41,45,42,41,32,34,39,49,26,33,37,All
Joe Foster,,,,,,,,,,,,1,480,495,37,34,32,34,26,23,29,41,25,26,26,All
Mark Aronchick,,,,,,,,,,,,,0,484,45,46,39,47,33,41,27,29,27,18,24,All
Heather A Steinmiller,,,,,,,,,,,,,,1,38,36,29,34,23,27,28,31,16,20,25,All
Yasmeen Kaboud,,,,,,,,,,,,,,,9,250,147,155,145,147,135,126,143,126,131,All
Lou Agre,,,,,,,,,,,,,,,,10,151,151,153,151,139,134,141,125,134,All
Ariana Flores Gordon,,,,,,,,,,,,,,,,,1,150,147,143,124,119,129,121,124,All
Sherrie Cohen,,,,,,,,,,,,,,,,,,0,151,152,133,126,138,118,132,All
Carol Rose Fleischman,,,,,,,,,,,,,,,,,,,3,146,125,121,132,116,124,All
Hamdi Soysal,,,,,,,,,,,,,,,,,,,,0,126,122,130,114,127,All
Tonya Diane Bah,,,,,,,,,,,,,,,,,,,,,0,129,122,121,129,All
Margaret Lenzi,,,,,,,,,,,,,,,,,,,,,,0,119,119,128,All
Gwen Snyder,,,,,,,,,,,,,,,,,,,,,,,0,116,118,All
Waleed Shahid,,,,,,,,,,,,,,,,,,,,,,,,1,123,All
William Leopold,,,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,"1,355","1,071",794,779,729,603,595,587,572,567,564,562,562,552,367,339,201,196,185,178,171,169,166,158,158,All
,Representative In The General Assembly 197th District - Democrat,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,,,,,,,,1
