col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,division
,Delegate To The Democratic National Convention 1st District,,,,,,,,,,,,,,,,All
,Thaddeus Kirkland,Blake Rutherford,H Douglass Brown,Anne Wakabayashi,Maria Quinones Sanchez,Peter Cutty,Jennifer Lentz,Leanne Krueger Braneky,Angel Cruz,Ryan N Boyer,Cathy Brady,Amanda Mcillmurray,Ted Kirsch,Kat Richter,Katherine Hunter Snyder,Jacob Adeniran,All
Thaddeus Kirkland,"8,256","32,089","7,934","28,194","26,201","7,762","26,087","25,983","24,654","25,858","25,192","6,345","23,557","4,856","4,772","4,071",All
Blake Rutherford,,"2,149","6,628","26,048","23,935","6,472","25,083","23,970","23,476","25,129","24,206","5,093","22,640","3,892","3,739","3,135",All
H Douglass Brown,,,"5,364","5,596","4,861","26,936","5,961","4,523","4,497","4,824","4,372","24,978","3,343","22,932","22,354","21,443",All
Anne Wakabayashi,,,,349,"25,533","5,385","25,940","25,759","23,899","25,233","24,684","5,752","22,921","4,504","4,395","3,675",All
Maria Quinones Sanchez,,,,,985,"4,697","23,966","24,807","24,532","23,065","23,933","5,100","23,285","4,405","4,658","3,992",All
Peter Cutty,,,,,,"1,522","5,958","4,437","4,497","4,716","4,084","23,488","3,432","21,752","21,242","20,749",All
Jennifer Lentz,,,,,,,196,"24,126","24,002","24,455","24,176","6,436","22,820","4,979","4,821","4,238",All
Leanne Krueger Braneky,,,,,,,,121,"23,261","23,291","23,867","4,756","22,531","3,842","3,773","3,233",All
Angel Cruz,,,,,,,,,738,"22,979","23,351","4,695","23,024","4,017","4,179","3,601",All
Ryan N Boyer,,,,,,,,,,301,"23,548","4,722","22,222","3,848","3,638","3,178",All
Cathy Brady,,,,,,,,,,,258,"4,574","22,567","3,289","3,616","2,707",All
Amanda Mcillmurray,,,,,,,,,,,,489,"3,554","23,305","22,613","21,533",All
Ted Kirsch,,,,,,,,,,,,,130,"3,148","3,332","2,879",All
Kat Richter,,,,,,,,,,,,,,103,"21,758","21,107",All
Katherine Hunter Snyder,,,,,,,,,,,,,,,165,"20,597",All
Jacob Adeniran,,,,,,,,,,,,,,,,51,All
Total,"46,467","36,662","36,377","31,815","31,304","30,861","30,278","29,087","29,028","28,948","28,675","28,299","26,531","25,348","24,887","23,240",All
