col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,division
,Representative In Congress 2nd District - Democrat,,,,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,,,,,,,,All
,Chaka Fattah,Dwight Evans,Brian Anthony Gordon,Dan Muroff,Cindy Bass,Malcolm Kenyatta,Katherine J Gilmore,Jerry T Jordan,Vincent Hughes,Ken Washington,Mary Jo Daley,Blondell Reynolds Brown,Mark Aronchick,Yasmeen Kaboud,Nicole Allen White,Michelle W Singer,Lou Agre,Joe Foster,Heather A Steinmiller,Ariana Flores Gordon,Sherrie Cohen,Carol Rose Fleischman,Hamdi Soysal,Gwen Snyder,William Leopold,Tonya Diane Bah,Margaret Lenzi,Waleed Shahid,All
Chaka Fattah,286,0,0,0,859,722,655,617,525,483,476,464,461,432,436,433,356,406,394,268,257,246,231,232,223,212,215,207,All
Dwight Evans,,180,0,0,506,433,401,363,407,362,338,354,344,301,313,315,262,279,276,276,263,252,233,224,227,213,213,216,All
Brian Anthony Gordon,,,30,0,185,102,106,100,38,44,44,37,45,105,46,36,104,30,30,52,46,44,38,41,41,38,33,29,All
Dan Muroff,,,,1,11,8,10,5,8,6,9,7,10,11,7,9,9,8,8,9,6,8,8,9,8,7,6,7,All
Cindy Bass,,,,,19,"1,057","1,024",970,787,800,801,746,763,285,733,707,287,653,665,192,182,153,138,150,135,119,119,114,All
Malcolm Kenyatta,,,,,,2,993,961,775,754,745,729,747,292,693,685,290,646,648,200,189,167,154,164,153,133,144,128,All
Katherine J Gilmore,,,,,,,6,908,716,721,742,692,733,257,673,687,233,628,636,162,149,135,123,121,113,102,103,89,All
Jerry T Jordan,,,,,,,,2,688,695,689,659,694,238,627,625,252,593,600,147,136,118,111,118,104,93,93,85,All
Vincent Hughes,,,,,,,,,3,724,680,788,676,142,705,684,128,659,645,132,144,110,96,111,129,98,126,104,All
Ken Washington,,,,,,,,,,2,714,692,715,136,710,693,137,644,646,146,133,110,104,112,107,94,95,81,All
Mary Jo Daley,,,,,,,,,,,2,652,741,117,654,662,107,602,624,116,110,91,93,89,71,60,66,51,All
Blondell Reynolds Brown,,,,,,,,,,,,0,651,106,679,666,90,627,634,89,106,77,69,82,98,66,99,76,All
Mark Aronchick,,,,,,,,,,,,,0,124,636,655,125,604,624,141,139,103,100,98,87,75,76,65,All
Yasmeen Kaboud,,,,,,,,,,,,,,7,113,107,567,94,73,475,458,455,434,436,410,400,388,384,All
Nicole Allen White,,,,,,,,,,,,,,,1,663,107,646,631,120,112,92,81,92,106,82,104,87,All
Michelle W Singer,,,,,,,,,,,,,,,,0,89,616,639,99,101,84,68,89,99,69,81,67,All
Lou Agre,,,,,,,,,,,,,,,,,5,103,63,451,449,439,429,426,406,397,382,378,All
Joe Foster,,,,,,,,,,,,,,,,,,0,594,95,94,78,76,78,105,74,95,84,All
Heather A Steinmiller,,,,,,,,,,,,,,,,,,,1,71,73,52,48,62,73,47,67,54,All
