col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,division
,Representative In The General Assembly 173rd District - Democrat,Delegate To The Democratic National Convention 13th District,,,,,,,,,,,,,,All
,Mike Driscoll,Allyson Y Schwartz,Michael J Rahming,Mike Stack,Betsy May Kilkenny,Mark B Cohen,Val Arkoosh,Linda A Fields,Henry Albert,Melissa Robbins,Elaine Tomlin,Charles Quann,Louis Farinella,Bev Hahn,W Gerard Oleksiak,All
Mike Driscoll,195,735,534,479,458,452,410,374,375,372,370,341,332,304,261,All
Allyson Y Schwartz,,66,201,429,436,200,405,144,138,139,361,339,325,93,252,All
Michael J Rahming,,,24,138,163,384,146,327,360,324,109,96,99,286,54,All
Mike Stack,,,,9,346,164,312,132,112,129,333,299,297,93,255,All
Betsy May Kilkenny,,,,,11,132,380,100,94,102,350,321,304,68,262,All
Mark B Cohen,,,,,,9,119,341,374,338,122,105,107,290,56,All
Val Arkoosh,,,,,,,4,72,79,75,307,299,295,48,246,All
Linda A Fields,,,,,,,,2,343,343,78,66,64,308,43,All
Henry Albert,,,,,,,,,0,329,81,72,70,291,39,All
Melissa Robbins,,,,,,,,,,0,84,59,68,307,39,All
Elaine Tomlin,,,,,,,,,,,2,306,294,52,241,All
Charles Quann,,,,,,,,,,,,0,293,40,246,All
Louis Farinella,,,,,,,,,,,,,3,39,234,All
Bev Hahn,,,,,,,,,,,,,,0,23,All
W Gerard Oleksiak,,,,,,,,,,,,,,,2,All
Total,"1,437",871,623,537,522,519,456,426,424,416,408,372,369,341,287,All
,Representative In The General Assembly 173rd District - Democrat,Delegate To The Democratic National Convention 13th District,,,,,,,,,,,,,,2
,Mike Driscoll,Allyson Y Schwartz,Mark B Cohen,Michael J Rahming,Mike Stack,Betsy May Kilkenny,Louis Farinella,Val Arkoosh,Elaine Tomlin,Henry Albert,Charles Quann,Melissa Robbins,W Gerard Oleksiak,Bev Hahn,Linda A Fields,2
Mike Driscoll,4,29,23,24,23,23,17,19,17,18,15,16,15,14,14,2
Allyson Y Schwartz,,2,10,11,18,17,15,17,15,7,16,5,11,4,4,2
Mark B Cohen,,,2,17,13,8,9,7,9,17,7,15,5,14,14,2
Michael J Rahming,,,,2,10,10,8,10,7,17,7,15,5,12,12,2
Mike Stack,,,,,1,18,15,13,16,9,14,6,13,6,6,2
Betsy May Kilkenny,,,,,,0,16,17,18,7,15,3,13,4,3,2
Louis Farinella,,,,,,,0,16,15,5,15,4,14,2,3,2
Val Arkoosh,,,,,,,,0,14,4,13,3,13,3,1,2
Elaine Tomlin,,,,,,,,,0,6,16,3,11,3,3,2
Henry Albert,,,,,,,,,,0,5,15,4,13,14,2
Charles Quann,,,,,,,,,,,0,4,10,3,3,2
Melissa Robbins,,,,,,,,,,,,0,2,13,13,2
W Gerard Oleksiak,,,,,,,,,,,,,0,1,1,2
Bev Hahn,,,,,,,,,,,,,,0,12,2
Linda A Fields,,,,,,,,,,,,,,,0,2
Total,56,33,29,28,27,25,21,21,20,19,18,17,16,15,15,2
,Representative In The General Assembly 173rd District - Democrat,Delegate To The Democratic National Convention 13th District,,,,,,,,,,,,,,7
,Mike Driscoll,Allyson Y Schwartz,Michael J Rahming,Mike Stack,Melissa Robbins,Betsy May Kilkenny,Val Arkoosh,Bev Hahn,Linda A Fields,Henry Albert,Mark B Cohen,Louis Farinella,Charles Quann,Elaine Tomlin,W Gerard Oleksiak,7
Mike Driscoll,9,38,21,23,18,20,21,17,15,15,15,15,15,15,11,7
Allyson Y Schwartz,,2,10,19,9,19,17,7,7,8,7,14,15,14,10,7
Michael J Rahming,,,2,7,15,6,5,15,15,16,15,6,5,5,3,7
Mike Stack,,,,0,7,14,14,6,5,6,6,13,13,13,10,7
Melissa Robbins,,,,,0,5,3,17,19,17,15,5,3,3,0,7
Betsy May Kilkenny,,,,,,1,14,5,3,3,4,12,14,13,11,7
