col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,division
,Representative In Congress 2nd District - Democrat,,,,Representative In The General Assembly 190th District - Democrat,,,,,,All
,Chaka Fattah,Dwight Evans,Brian Anthony Gordon,Dan Muroff,Wanda Logan,Vanessa L Brown,Ray Bailey,Ted Smith,Movita Johnson Harrell,Darryl Thomas,All
Chaka Fattah,14,0,0,0,45,18,18,5,4,3,All
Dwight Evans,,11,0,0,16,29,3,15,12,12,All
Brian Anthony Gordon,,,0,0,17,1,3,1,3,3,All
Dan Muroff,,,,3,3,2,2,3,4,2,All
Wanda Logan,,,,,9,0,0,0,0,0,All
Vanessa L Brown,,,,,,1,0,0,0,0,All
Ray Bailey,,,,,,,2,0,0,0,All
Ted Smith,,,,,,,,0,0,0,All
Movita Johnson Harrell,,,,,,,,,0,0,All
Darryl Thomas,,,,,,,,,,1,All
Total,107,98,28,19,90,51,28,24,23,21,All
,Representative In Congress 2nd District - Democrat,,,,Representative In The General Assembly 190th District - Democrat,,,,,,9
,Chaka Fattah,Dwight Evans,Brian Anthony Gordon,Dan Muroff,Wanda Logan,Vanessa L Brown,Ray Bailey,Ted Smith,Movita Johnson Harrell,Darryl Thomas,9
Chaka Fattah,14,0,0,0,45,18,18,5,4,3,9
Dwight Evans,,11,0,0,16,29,3,15,12,12,9
Brian Anthony Gordon,,,0,0,17,1,3,1,3,3,9
Dan Muroff,,,,3,3,2,2,3,4,2,9
Wanda Logan,,,,,9,0,0,0,0,0,9
Vanessa L Brown,,,,,,1,0,0,0,0,9
Ray Bailey,,,,,,,2,0,0,0,9
Ted Smith,,,,,,,,0,0,0,9
Movita Johnson Harrell,,,,,,,,,0,0,9
Darryl Thomas,,,,,,,,,,1,9
Total,107,98,28,19,90,51,28,24,23,21,9
