col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,division
,Representative In Congress 2nd District - Democrat,,,,United States Senator - Democrat,,,,All
,Chaka Fattah,Dwight Evans,Brian Anthony Gordon,Dan Muroff,Katie Mcginty,Joe Sestak,Joseph J Vodvarka,John Fetterman,All
Chaka Fattah,306,0,0,0,626,354,234,267,All
Dwight Evans,,144,0,0,529,346,51,63,All
Brian Anthony Gordon,,,22,0,47,33,134,82,All
Dan Muroff,,,,0,7,12,2,4,All
Katie Mcginty,,,,,53,0,0,0,All
Joe Sestak,,,,,,30,0,0,All
Joseph J Vodvarka,,,,,,,19,0,All
John Fetterman,,,,,,,,22,All
Total,"1,787","1,133",318,25,"1,262",775,440,438,All
,Representative In Congress 2nd District - Democrat,,,,United States Senator - Democrat,,,,1
,Chaka Fattah,Dwight Evans,Brian Anthony Gordon,Dan Muroff,Katie Mcginty,Joseph J Vodvarka,Joe Sestak,John Fetterman,1
Chaka Fattah,11,0,0,0,38,15,13,18,1
Dwight Evans,,10,0,0,26,3,14,1,1
Brian Anthony Gordon,,,2,0,3,11,0,5,1
Dan Muroff,,,,0,0,0,0,0,1
Katie Mcginty,,,,,2,0,0,0,1
Joseph J Vodvarka,,,,,,0,0,0,1
Joe Sestak,,,,,,,0,0,1
John Fetterman,,,,,,,,0,1
Total,95,54,21,0,69,29,27,24,1
,Representative In Congress 2nd District - Democrat,,,,United States Senator - Democrat,,,,2
,Chaka Fattah,Dwight Evans,Brian Anthony Gordon,Dan Muroff,Katie Mcginty,Joe Sestak,John Fetterman,Joseph J Vodvarka,2
Chaka Fattah,26,0,0,0,43,20,18,11,2
Dwight Evans,,5,0,0,29,15,4,3,2
Brian Anthony Gordon,,,1,0,1,4,7,12,2
Dan Muroff,,,,0,0,0,0,0,2
Katie Mcginty,,,,,4,0,0,0,2
Joe Sestak,,,,,,2,0,0,2
John Fetterman,,,,,,,1,0,2
Joseph J Vodvarka,,,,,,,,1,2
Total,118,56,25,0,77,41,30,27,2
,Representative In Congress 2nd District - Democrat,,,,United States Senator - Democrat,,,,3
,Chaka Fattah,Dwight Evans,Brian Anthony Gordon,Dan Muroff,Katie Mcginty,Joe Sestak,John Fetterman,Joseph J Vodvarka,3
Chaka Fattah,8,0,0,0,40,11,13,10,3
Dwight Evans,,6,0,0,20,21,4,4,3
Brian Anthony Gordon,,,1,0,2,2,2,3,3
Dan Muroff,,,,0,0,1,0,0,3
Katie Mcginty,,,,,2,0,0,0,3
Joe Sestak,,,,,,1,0,0,3
John Fetterman,,,,,,,0,0,3
Joseph J Vodvarka,,,,,,,,2,3
Total,82,55,10,1,64,36,19,19,3
,Representative In Congress 2nd District - Democrat,,,,United States Senator - Democrat,,,,4
,Chaka Fattah,Dwight Evans,Brian Anthony Gordon,Dan Muroff,Katie Mcginty,Joe Sestak,John Fetterman,Joseph J Vodvarka,4
Chaka Fattah,25,0,0,0,42,18,19,13,4
Dwight Evans,,3,0,0,16,18,2,4,4
Brian Anthony Gordon,,,2,0,1,1,6,5,4
Dan Muroff,,,,0,0,0,1,0,4
Katie Mcginty,,,,,2,0,0,0,4
Joe Sestak,,,,,,0,0,0,4
John Fetterman,,,,,,,1,0,4
Joseph J Vodvarka,,,,,,,,0,4
Total,117,43,15,1,61,37,29,22,4
,Representative In Congress 2nd District - Democrat,,,,United States Senator - Democrat,,,,5
,Chaka Fattah,Dwight Evans,Brian Anthony Gordon,Dan Muroff,Katie Mcginty,Joe Sestak,John Fetterman,Joseph J Vodvarka,5
Chaka Fattah,18,0,0,0,24,13,13,4,5
Dwight Evans,,5,0,0,23,17,1,1,5
Brian Anthony Gordon,,,2,0,1,5,5,3,5
Dan Muroff,,,,0,1,2,0,0,5
Katie Mcginty,,,,,3,0,0,0,5
Joe Sestak,,,,,,1,0,0,5
John Fetterman,,,,,,,2,0,5
Joseph J Vodvarka,,,,,,,,1,5
Total,72,47,16,3,52,38,21,9,5
,Representative In Congress 2nd District - Democrat,,,,United States Senator - Democrat,,,,6
,Chaka Fattah,Dwight Evans,Brian Anthony Gordon,Dan Muroff,Katie Mcginty,Joe Sestak,John Fetterman,Joseph J Vodvarka,6
Chaka Fattah,23,0,0,0,36,29,21,22,6
Dwight Evans,,5,0,0,41,29,4,2,6
Brian Anthony Gordon,,,3,0,3,2,5,9,6
Dan Muroff,,,,0,0,1,0,1,6
Katie Mcginty,,,,,3,0,0,0,6
Joe Sestak,,,,,,2,0,0,6
John Fetterman,,,,,,,4,0,6
Joseph J Vodvarka,,,,,,,,0,6
Total,131,81,22,2,83,63,34,34,6
,Representative In Congress 2nd District - Democrat,,,,United States Senator - Democrat,,,,7
,Chaka Fattah,Dwight Evans,Brian Anthony Gordon,Dan Muroff,Katie Mcginty,Joe Sestak,Joseph J Vodvarka,John Fetterman,7
Chaka Fattah,20,0,0,0,44,22,13,15,7
Dwight Evans,,7,0,0,37,28,1,5,7
Brian Anthony Gordon,,,2,0,1,3,10,4,7
Dan Muroff,,,,0,1,2,0,0,7
Katie Mcginty,,,,,2,0,0,0,7
