col_1,col_2,col_3,division
,United States Senator - Republican,State Treasurer - Republican,All
,Pat Toomey,Otto Voit,All
Pat Toomey,18,111,All
Otto Voit,,10,All
Total,129,121,All
,State Treasurer - Republican,United States Senator - Republican,1
,Otto Voit,Pat Toomey,1
Otto Voit,4,8,1
Pat Toomey,,1,1
Total,12,9,1
,United States Senator - Republican,State Treasurer - Republican,2
,Pat Toomey,Otto Voit,2
Pat Toomey,1,10,2
Otto Voit,,0,2
Total,11,10,2
,United States Senator - Republican,State Treasurer - Republican,3
,Pat Toomey,Otto Voit,3
Pat Toomey,3,3,3
Otto Voit,,0,3
Total,6,3,3
,State Treasurer - Republican,United States Senator - Republican,4
,Otto Voit,Pat Toomey,4
Otto Voit,0,1,4
Pat Toomey,,0,4
Total,1,1,4
,State Treasurer - Republican,United States Senator - Republican,5
,Otto Voit,Pat Toomey,5
Otto Voit,0,1,5
Pat Toomey,,0,5
Total,1,1,5
,State Treasurer - Republican,United States Senator - Republican,7
,Otto Voit,Pat Toomey,7
Otto Voit,0,4,7
Pat Toomey,,0,7
Total,4,4,7
,United States Senator - Republican,State Treasurer - Republican,8
,Pat Toomey,Otto Voit,8
Pat Toomey,2,6,8
Otto Voit,,0,8
Total,8,6,8
,United States Senator - Republican,State Treasurer - Republican,9
,Pat Toomey,Otto Voit,9
Pat Toomey,1,3,9
Otto Voit,,0,9
Total,4,3,9
,United States Senator - Republican,State Treasurer - Republican,10
,Pat Toomey,Otto Voit,10
Pat Toomey,1,2,10
Otto Voit,,0,10
Total,3,2,10
,State Treasurer - Republican,United States Senator - Republican,11
,Otto Voit,Pat Toomey,11
Otto Voit,0,3,11
Pat Toomey,,0,11
Total,3,3,11
,State Treasurer - Republican,United States Senator - Republican,12
,Otto Voit,Pat Toomey,12
Otto Voit,0,1,12
Pat Toomey,,0,12
Total,1,1,12
,State Treasurer - Republican,United States Senator - Republican,13
,Otto Voit,Pat Toomey,13
Otto Voit,1,1,13
Pat Toomey,,0,13
Total,2,1,13
,State Treasurer - Republican,United States Senator - Republican,16
,Otto Voit,Pat Toomey,16
Otto Voit,2,10,16
Pat Toomey,,1,16
Total,12,11,16
,United States Senator - Republican,State Treasurer - Republican,17
,Pat Toomey,Otto Voit,17
Pat Toomey,3,17,17
Otto Voit,,0,17
Total,20,17,17
,State Treasurer - Republican,United States Senator - Republican,18
,Otto Voit,Pat Toomey,18
Otto Voit,1,8,18
Pat Toomey,,1,18
Total,9,9,18
,State Treasurer - Republican,United States Senator - Republican,19
,Otto Voit,Pat Toomey,19
Otto Voit,1,17,19
Pat Toomey,,1,19
Total,18,18,19
,State Treasurer - Republican,United States Senator - Republican,20
,Otto Voit,Pat Toomey,20
Otto Voit,0,1,20
Pat Toomey,,0,20
Total,1,1,20
,State Treasurer - Republican,United States Senator - Republican,22
,Otto Voit,Pat Toomey,22
Otto Voit,1,9,22
Pat Toomey,,0,22
Total,10,9,22
,United States Senator - Republican,State Treasurer - Republican,23
,Pat Toomey,Otto Voit,23
Pat Toomey,3,6,23
Otto Voit,,0,23
Total,9,6,23
