col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,division
,President Of The United States - Democrat,,,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,,,,,,,,All
,Hillary Clinton,Bernie Sanders,Roque Rocky De La Fuente,Cindy Bass,Yasmeen Kaboud,Katherine J Gilmore,Lou Agre,Malcolm Kenyatta,Mary Jo Daley,Ariana Flores Gordon,Gwen Snyder,Mark Aronchick,Jerry T Jordan,Sherrie Cohen,Carol Rose Fleischman,Margaret Lenzi,Michelle W Singer,William Leopold,Tonya Diane Bah,Blondell Reynolds Brown,Joe Foster,Nicole Allen White,Waleed Shahid,Hamdi Soysal,Vincent Hughes,Heather A Steinmiller,Ken Washington,All
Hillary Clinton,17,0,0,95,20,81,14,80,75,11,11,70,75,9,8,9,64,8,6,63,62,62,8,7,62,62,62,All
Bernie Sanders,,8,0,14,80,14,76,9,14,76,71,11,6,71,71,68,11,67,67,9,10,10,64,63,8,7,7,All
Roque Rocky De La Fuente,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All
Cindy Bass,,,,0,24,86,21,81,79,16,16,71,78,16,13,12,66,14,10,62,62,63,11,11,63,62,64,All
Yasmeen Kaboud,,,,,0,25,81,22,24,78,73,20,18,71,71,67,15,65,69,14,17,17,69,65,13,14,17,All
Katherine J Gilmore,,,,,,0,19,79,78,16,19,69,78,15,14,14,68,12,11,63,61,64,12,12,62,63,66,All
Lou Agre,,,,,,,0,18,18,78,71,14,15,71,71,66,12,67,67,8,12,10,66,64,9,8,10,All
Malcolm Kenyatta,,,,,,,,0,69,13,16,64,77,11,12,8,60,11,7,62,60,58,9,9,62,58,64,All
Mary Jo Daley,,,,,,,,,0,19,19,73,70,17,15,16,67,13,12,61,63,65,12,14,60,65,65,All
Ariana Flores Gordon,,,,,,,,,,0,72,16,9,71,72,70,13,67,67,9,13,11,66,66,9,7,11,All
Gwen Snyder,,,,,,,,,,,0,13,11,67,71,69,13,66,67,10,15,11,66,64,11,8,10,All
Mark Aronchick,,,,,,,,,,,,0,64,15,13,11,60,11,8,57,61,59,9,9,60,59,62,All
Jerry T Jordan,,,,,,,,,,,,,0,10,9,6,59,9,6,57,58,56,7,6,58,59,62,All
Sherrie Cohen,,,,,,,,,,,,,,0,73,67,11,66,66,9,12,10,65,66,8,7,9,All
Carol Rose Fleischman,,,,,,,,,,,,,,,0,67,11,67,67,7,11,6,65,66,8,6,7,All
Margaret Lenzi,,,,,,,,,,,,,,,,0,11,64,66,8,11,11,64,60,7,8,8,All
Michelle W Singer,,,,,,,,,,,,,,,,,0,12,7,60,60,61,8,7,59,57,57,All
William Leopold,,,,,,,,,,,,,,,,,,0,63,8,12,8,64,60,9,7,6,All
Tonya Diane Bah,,,,,,,,,,,,,,,,,,,0,5,10,8,66,59,6,8,6,All
Blondell Reynolds Brown,,,,,,,,,,,,,,,,,,,,0,57,62,6,7,62,59,60,All
Joe Foster,,,,,,,,,,,,,,,,,,,,,0,59,11,10,63,58,60,All
Nicole Allen White,,,,,,,,,,,,,,,,,,,,,,0,6,6,60,62,59,All
Waleed Shahid,,,,,,,,,,,,,,,,,,,,,,,0,60,6,6,6,All
Hamdi Soysal,,,,,,,,,,,,,,,,,,,,,,,,0,7,3,7,All
Vincent Hughes,,,,,,,,,,,,,,,,,,,,,,,,,0,56,59,All
Heather A Steinmiller,,,,,,,,,,,,,,,,,,,,,,,,,,0,57,All
Ken Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,126,102,0,109,100,95,90,89,89,88,82,82,81,81,80,77,75,75,73,72,72,72,72,70,70,69,69,All
,President Of The United States - Democrat,,,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,,,,,,,,15
,Hillary Clinton,Bernie Sanders,Roque Rocky De La Fuente,Cindy Bass,Yasmeen Kaboud,Katherine J Gilmore,Lou Agre,Malcolm Kenyatta,Mary Jo Daley,Ariana Flores Gordon,Gwen Snyder,Mark Aronchick,Jerry T Jordan,Sherrie Cohen,Carol Rose Fleischman,Margaret Lenzi,Michelle W Singer,William Leopold,Tonya Diane Bah,Blondell Reynolds Brown,Joe Foster,Nicole Allen White,Waleed Shahid,Hamdi Soysal,Vincent Hughes,Heather A Steinmiller,Ken Washington,15
Hillary Clinton,17,0,0,95,20,81,14,80,75,11,11,70,75,9,8,9,64,8,6,63,62,62,8,7,62,62,62,15
Bernie Sanders,,8,0,14,80,14,76,9,14,76,71,11,6,71,71,68,11,67,67,9,10,10,64,63,8,7,7,15
Roque Rocky De La Fuente,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
Cindy Bass,,,,0,24,86,21,81,79,16,16,71,78,16,13,12,66,14,10,62,62,63,11,11,63,62,64,15
Yasmeen Kaboud,,,,,0,25,81,22,24,78,73,20,18,71,71,67,15,65,69,14,17,17,69,65,13,14,17,15
Katherine J Gilmore,,,,,,0,19,79,78,16,19,69,78,15,14,14,68,12,11,63,61,64,12,12,62,63,66,15
Lou Agre,,,,,,,0,18,18,78,71,14,15,71,71,66,12,67,67,8,12,10,66,64,9,8,10,15
Malcolm Kenyatta,,,,,,,,0,69,13,16,64,77,11,12,8,60,11,7,62,60,58,9,9,62,58,64,15
Mary Jo Daley,,,,,,,,,0,19,19,73,70,17,15,16,67,13,12,61,63,65,12,14,60,65,65,15
Ariana Flores Gordon,,,,,,,,,,0,72,16,9,71,72,70,13,67,67,9,13,11,66,66,9,7,11,15
Gwen Snyder,,,,,,,,,,,0,13,11,67,71,69,13,66,67,10,15,11,66,64,11,8,10,15
Mark Aronchick,,,,,,,,,,,,0,64,15,13,11,60,11,8,57,61,59,9,9,60,59,62,15
Jerry T Jordan,,,,,,,,,,,,,0,10,9,6,59,9,6,57,58,56,7,6,58,59,62,15
Sherrie Cohen,,,,,,,,,,,,,,0,73,67,11,66,66,9,12,10,65,66,8,7,9,15
Carol Rose Fleischman,,,,,,,,,,,,,,,0,67,11,67,67,7,11,6,65,66,8,6,7,15
Margaret Lenzi,,,,,,,,,,,,,,,,0,11,64,66,8,11,11,64,60,7,8,8,15
Michelle W Singer,,,,,,,,,,,,,,,,,0,12,7,60,60,61,8,7,59,57,57,15
William Leopold,,,,,,,,,,,,,,,,,,0,63,8,12,8,64,60,9,7,6,15
Tonya Diane Bah,,,,,,,,,,,,,,,,,,,0,5,10,8,66,59,6,8,6,15
Blondell Reynolds Brown,,,,,,,,,,,,,,,,,,,,0,57,62,6,7,62,59,60,15
Joe Foster,,,,,,,,,,,,,,,,,,,,,0,59,11,10,63,58,60,15
Nicole Allen White,,,,,,,,,,,,,,,,,,,,,,0,6,6,60,62,59,15
Waleed Shahid,,,,,,,,,,,,,,,,,,,,,,,0,60,6,6,6,15
Hamdi Soysal,,,,,,,,,,,,,,,,,,,,,,,,0,7,3,7,15
Vincent Hughes,,,,,,,,,,,,,,,,,,,,,,,,,0,56,59,15
Heather A Steinmiller,,,,,,,,,,,,,,,,,,,,,,,,,,0,57,15
Ken Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,0,15
Total,126,102,0,109,100,95,90,89,89,88,82,82,81,81,80,77,75,75,73,72,72,72,72,70,70,69,69,15
