col_1,col_2,col_3,division
,Representative In Congress 1st District - Republican,State Treasurer - Republican,All
,Deborah Williams,Otto Voit,All
Deborah Williams,49,430,All
Otto Voit,,34,All
Total,479,464,All
,Representative In Congress 1st District - Republican,State Treasurer - Republican,1
,Deborah Williams,Otto Voit,1
Deborah Williams,3,24,1
Otto Voit,,1,1
Total,27,25,1
,Representative In Congress 1st District - Republican,State Treasurer - Republican,2
,Deborah Williams,Otto Voit,2
Deborah Williams,2,14,2
Otto Voit,,0,2
Total,16,14,2
,State Treasurer - Republican,Representative In Congress 1st District - Republican,3
,Otto Voit,Deborah Williams,3
Otto Voit,3,38,3
Deborah Williams,,2,3
Total,41,40,3
,Representative In Congress 1st District - Republican,State Treasurer - Republican,4
,Deborah Williams,Otto Voit,4
Deborah Williams,2,34,4
Otto Voit,,1,4
Total,36,35,4
,Representative In Congress 1st District - Republican,State Treasurer - Republican,5
,Deborah Williams,Otto Voit,5
Deborah Williams,6,29,5
Otto Voit,,2,5
Total,35,31,5
,Representative In Congress 1st District - Republican,State Treasurer - Republican,6
,Deborah Williams,Otto Voit,6
Deborah Williams,2,34,6
Otto Voit,,2,6
Total,36,36,6
,Representative In Congress 1st District - Republican,State Treasurer - Republican,7
,Deborah Williams,Otto Voit,7
Deborah Williams,4,33,7
Otto Voit,,4,7
Total,37,37,7
,Representative In Congress 1st District - Republican,State Treasurer - Republican,8
,Deborah Williams,Otto Voit,8
Deborah Williams,2,30,8
Otto Voit,,2,8
Total,32,32,8
,Representative In Congress 1st District - Republican,State Treasurer - Republican,9
,Deborah Williams,Otto Voit,9
Deborah Williams,3,10,9
Otto Voit,,0,9
Total,13,10,9
,State Treasurer - Republican,Representative In Congress 1st District - Republican,10
,Otto Voit,Deborah Williams,10
Otto Voit,4,31,10
Deborah Williams,,2,10
Total,35,33,10
,Representative In Congress 1st District - Republican,State Treasurer - Republican,11
,Deborah Williams,Otto Voit,11
Deborah Williams,2,21,11
Otto Voit,,0,11
Total,23,21,11
,Representative In Congress 1st District - Republican,State Treasurer - Republican,12
,Deborah Williams,Otto Voit,12
Deborah Williams,9,29,12
Otto Voit,,7,12
Total,38,36,12
,Representative In Congress 1st District - Republican,State Treasurer - Republican,13
,Deborah Williams,Otto Voit,13
Deborah Williams,0,4,13
Otto Voit,,0,13
Total,4,4,13
,Representative In Congress 1st District - Republican,State Treasurer - Republican,14
,Deborah Williams,Otto Voit,14
Deborah Williams,1,1,14
Otto Voit,,0,14
Total,2,1,14
,Representative In Congress 1st District - Republican,State Treasurer - Republican,15
,Deborah Williams,Otto Voit,15
Deborah Williams,1,2,15
Otto Voit,,0,15
Total,3,2,15
,Representative In Congress 1st District - Republican,State Treasurer - Republican,16
,Deborah Williams,Otto Voit,16
Deborah Williams,0,3,16
Otto Voit,,0,16
Total,3,3,16
,Representative In Congress 1st District - Republican,State Treasurer - Republican,17
,Deborah Williams,Otto Voit,17
Deborah Williams,0,3,17
Otto Voit,,0,17
Total,3,3,17
,Representative In Congress 1st District - Republican,State Treasurer - Republican,18
,Deborah Williams,Otto Voit,18
Deborah Williams,2,10,18
Otto Voit,,1,18
Total,12,11,18
,State Treasurer - Republican,Representative In Congress 1st District - Republican,19
,Otto Voit,Deborah Williams,19
Otto Voit,1,6,19
Deborah Williams,,0,19
Total,7,6,19
,Representative In Congress 1st District - Republican,State Treasurer - Republican,20
,Deborah Williams,Otto Voit,20
Deborah Williams,1,5,20
Otto Voit,,0,20
Total,6,5,20
,Representative In Congress 1st District - Republican,State Treasurer - Republican,21
,Deborah Williams,Otto Voit,21
Deborah Williams,1,4,21
Otto Voit,,0,21
Total,5,4,21
,Representative In Congress 1st District - Republican,State Treasurer - Republican,22
,Deborah Williams,Otto Voit,22
Deborah Williams,4,25,22
Otto Voit,,1,22
Total,29,26,22
,State Treasurer - Republican,Representative In Congress 1st District - Republican,23
,Otto Voit,Deborah Williams,23
Otto Voit,3,23,23
Deborah Williams,,0,23
Total,26,23,23
,State Treasurer - Republican,Representative In Congress 1st District - Republican,24
,Otto Voit,Deborah Williams,24
Otto Voit,2,17,24
Deborah Williams,,0,24
Total,19,17,24
