col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,division
,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,,,,,,,,Representative In The General Assembly 192nd District - Democrat,,,,,All
,Cindy Bass,Malcolm Kenyatta,Katherine J Gilmore,Jerry T Jordan,Vincent Hughes,Ken Washington,Mary Jo Daley,Mark Aronchick,Blondell Reynolds Brown,Nicole Allen White,Michelle W Singer,Yasmeen Kaboud,Lou Agre,Heather A Steinmiller,Joe Foster,Ariana Flores Gordon,Sherrie Cohen,Carol Rose Fleischman,Gwen Snyder,Hamdi Soysal,William Leopold,Waleed Shahid,Tonya Diane Bah,Margaret Lenzi,Morgan Cephas,Steven Jones,Jess Johnson,Edwin Santana,Lynwood W Savage,All
Cindy Bass,40,"1,039","1,032",963,819,868,829,798,754,767,765,252,280,712,684,177,168,163,148,132,131,113,114,117,729,338,156,158,176,All
Malcolm Kenyatta,,6,996,942,791,788,772,763,724,715,723,258,242,681,657,171,178,141,135,149,143,119,121,134,599,222,109,132,146,All
Katherine J Gilmore,,,16,913,752,780,763,752,689,696,719,236,211,678,649,142,143,124,117,118,106,90,92,102,582,224,105,122,144,All
Jerry T Jordan,,,,4,711,735,721,718,664,662,678,224,242,647,624,130,138,121,110,115,119,93,98,101,514,185,93,115,135,All
Vincent Hughes,,,,,6,765,707,698,782,736,721,147,148,668,674,132,140,117,116,112,131,101,109,117,472,135,70,127,133,All
Ken Washington,,,,,,2,763,755,715,762,747,141,155,690,676,139,127,123,117,92,104,105,96,99,452,126,87,116,136,All
Mary Jo Daley,,,,,,,0,761,661,698,703,133,129,662,638,111,130,89,92,88,84,71,76,80,424,133,67,111,131,All
Mark Aronchick,,,,,,,,1,671,676,706,127,138,657,633,121,115,100,100,87,83,77,74,81,404,122,67,107,142,All
Blondell Reynolds Brown,,,,,,,,,1,691,672,108,112,637,634,92,115,78,85,81,92,71,69,83,414,114,66,106,119,All
Nicole Allen White,,,,,,,,,,0,710,110,126,653,665,119,111,92,97,76,99,91,87,102,408,121,67,96,126,All
Michelle W Singer,,,,,,,,,,,0,104,107,686,640,100,96,76,89,59,81,80,70,77,405,115,65,92,133,All
Yasmeen Kaboud,,,,,,,,,,,,8,519,84,93,409,377,381,361,379,336,334,345,302,335,157,108,117,66,All
Lou Agre,,,,,,,,,,,,,12,83,91,415,383,408,369,383,345,341,350,310,381,147,89,100,65,All
Heather A Steinmiller,,,,,,,,,,,,,,0,606,65,73,56,61,52,63,55,56,63,373,108,55,84,109,All
Joe Foster,,,,,,,,,,,,,,,1,76,80,61,71,57,76,70,61,75,361,106,56,86,107,All
Ariana Flores Gordon,,,,,,,,,,,,,,,,3,392,401,374,385,344,337,339,318,222,84,60,93,64,All
Sherrie Cohen,,,,,,,,,,,,,,,,,2,374,345,371,344,316,338,318,216,79,48,94,52,All
Carol Rose Fleischman,,,,,,,,,,,,,,,,,,0,363,371,328,315,335,308,205,74,51,86,57,All
Gwen Snyder,,,,,,,,,,,,,,,,,,,0,339,328,328,336,309,188,73,52,82,50,All
Hamdi Soysal,,,,,,,,,,,,,,,,,,,,0,326,315,325,300,185,72,50,87,45,All
William Leopold,,,,,,,,,,,,,,,,,,,,,0,313,329,317,194,70,44,73,36,All
Waleed Shahid,,,,,,,,,,,,,,,,,,,,,,0,312,296,177,71,45,82,40,All
Tonya Diane Bah,,,,,,,,,,,,,,,,,,,,,,,1,300,176,69,46,78,38,All
Margaret Lenzi,,,,,,,,,,,,,,,,,,,,,,,,0,183,64,44,71,30,All
Morgan Cephas,,,,,,,,,,,,,,,,,,,,,,,,,226,0,0,0,0,All
Steven Jones,,,,,,,,,,,,,,,,,,,,,,,,,,31,0,0,0,All
Jess Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,56,0,0,All
Edwin Santana,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,0,All
Lynwood W Savage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,All
Total,"1,680","1,293","1,271","1,111",990,967,909,888,861,861,849,816,815,763,758,547,508,494,458,457,427,426,422,402,"1,514",578,379,349,286,All
,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,,,,,,,,Representative In The General Assembly 192nd District - Democrat,,,,,2
,Cindy Bass,Malcolm Kenyatta,Katherine J Gilmore,Jerry T Jordan,Vincent Hughes,Mark Aronchick,Ken Washington,Mary Jo Daley,Blondell Reynolds Brown,Nicole Allen White,Heather A Steinmiller,Michelle W Singer,Joe Foster,Yasmeen Kaboud,Lou Agre,Carol Rose Fleischman,Ariana Flores Gordon,Gwen Snyder,Sherrie Cohen,Hamdi Soysal,Margaret Lenzi,William Leopold,Tonya Diane Bah,Waleed Shahid,Morgan Cephas,Steven Jones,Edwin Santana,Jess Johnson,Lynwood W Savage,2
Cindy Bass,6,94,89,80,66,68,66,65,60,64,63,61,57,25,26,16,13,12,13,11,12,14,13,11,55,28,14,13,14,2
Malcolm Kenyatta,,0,87,84,66,67,64,60,61,59,60,56,53,27,23,16,15,13,16,10,13,14,11,11,51,26,15,11,10,2
Katherine J Gilmore,,,5,78,57,62,62,60,53,55,58,55,55,26,21,13,11,11,11,9,10,11,9,8,45,22,12,8,8,2
Jerry T Jordan,,,,0,59,63,58,58,53,54,55,54,51,24,23,13,11,8,9,9,10,11,9,7,37,17,11,8,11,2
Vincent Hughes,,,,,1,59,59,55,61,57,56,55,53,12,11,11,10,8,11,6,13,12,9,10,32,12,11,8,10,2
Mark Aronchick,,,,,,1,59,60,54,55,55,55,50,14,12,9,8,8,9,6,8,9,7,6,27,13,11,7,10,2
Ken Washington,,,,,,,0,55,55,58,56,54,55,11,7,7,7,6,7,2,6,9,4,4,31,10,9,8,8,2
Mary Jo Daley,,,,,,,,0,51,56,55,55,50,12,11,7,6,6,8,7,6,5,6,7,25,11,12,6,11,2
Blondell Reynolds Brown,,,,,,,,,0,52,54,50,48,11,9,9,9,9,11,5,7,12,8,8,29,9,10,5,10,2
Nicole Allen White,,,,,,,,,,0,55,56,53,9,8,4,4,4,7,3,7,8,5,6,28,10,8,5,11,2
Heather A Steinmiller,,,,,,,,,,,0,54,50,12,10,9,6,8,10,4,8,11,7,5,29,10,11,5,9,2
Michelle W Singer,,,,,,,,,,,,0,50,9,9,7,4,5,4,3,7,7,6,4,25,10,10,5,11,2
Joe Foster,,,,,,,,,,,,,0,8,5,5,5,4,6,2,7,7,3,5,28,8,8,3,10,2
Yasmeen Kaboud,,,,,,,,,,,,,,2,36,27,27,26,20,24,19,20,22,20,17,16,13,7,5,2
Lou Agre,,,,,,,,,,,,,,,0,27,26,22,21,25,20,22,24,21,24,14,9,7,4,2
Carol Rose Fleischman,,,,,,,,,,,,,,,,0,26,24,22,24,21,20,24,18,14,5,10,3,4,2
Ariana Flores Gordon,,,,,,,,,,,,,,,,,0,22,21,22,21,20,21,20,12,6,8,4,3,2
Gwen Snyder,,,,,,,,,,,,,,,,,,0,22,19,19,21,22,20,12,3,10,3,2,2
Sherrie Cohen,,,,,,,,,,,,,,,,,,,0,19,19,20,21,19,14,4,8,2,2,2
Hamdi Soysal,,,,,,,,,,,,,,,,,,,,0,18,17,20,18,10,5,9,2,3,2
Margaret Lenzi,,,,,,,,,,,,,,,,,,,,,0,20,19,18,13,3,7,3,1,2
William Leopold,,,,,,,,,,,,,,,,,,,,,,0,19,20,14,2,8,3,1,2
Tonya Diane Bah,,,,,,,,,,,,,,,,,,,,,,,0,18,11,3,7,3,3,2
Waleed Shahid,,,,,,,,,,,,,,,,,,,,,,,,0,9,3,7,3,3,2
Morgan Cephas,,,,,,,,,,,,,,,,,,,,,,,,,17,0,0,0,0,2
Steven Jones,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,2
Edwin Santana,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,0,2
Jess Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,2
Lynwood W Savage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2
Total,142,123,110,93,80,73,72,70,69,67,66,64,62,62,58,36,33,30,30,29,29,28,27,26,109,51,34,32,25,2
,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,,,,,,,,Representative In The General Assembly 192nd District - Democrat,,,,,3
,Cindy Bass,Malcolm Kenyatta,Katherine J Gilmore,Vincent Hughes,Jerry T Jordan,Ken Washington,Mark Aronchick,Mary Jo Daley,Blondell Reynolds Brown,Joe Foster,Michelle W Singer,Lou Agre,Nicole Allen White,Yasmeen Kaboud,Heather A Steinmiller,Ariana Flores Gordon,Sherrie Cohen,Carol Rose Fleischman,Gwen Snyder,Hamdi Soysal,William Leopold,Tonya Diane Bah,Waleed Shahid,Margaret Lenzi,Morgan Cephas,Steven Jones,Jess Johnson,Edwin Santana,Lynwood W Savage,3
Cindy Bass,5,68,71,59,63,58,55,57,53,50,53,15,51,14,45,13,9,8,8,4,8,7,5,5,45,22,11,13,10,3
Malcolm Kenyatta,,1,64,57,60,51,50,51,51,46,50,14,46,16,44,17,13,8,8,9,12,9,9,7,36,13,8,10,10,3
Katherine J Gilmore,,,2,56,58,52,53,55,49,51,49,13,48,11,43,11,9,7,8,4,8,7,4,4,35,13,7,8,10,3
Vincent Hughes,,,,0,49,56,51,52,56,54,53,12,54,10,44,14,12,10,11,7,10,10,9,7,31,8,6,11,10,3
Jerry T Jordan,,,,,1,46,45,48,43,41,46,10,45,6,41,10,9,5,5,3,7,4,5,5,29,11,5,9,10,3
Ken Washington,,,,,,0,51,52,50,49,47,11,52,9,43,15,10,7,8,5,9,9,8,6,29,3,6,12,7,3
Mark Aronchick,,,,,,,0,51,48,47,48,8,47,8,43,11,9,7,6,4,7,7,5,4,29,2,6,10,8,3
Mary Jo Daley,,,,,,,,0,47,47,49,8,47,7,42,11,8,5,6,3,7,4,2,1,30,5,4,9,7,3
Blondell Reynolds Brown,,,,,,,,,0,47,47,6,48,6,42,8,9,4,5,4,5,4,5,4,30,2,6,9,7,3
Joe Foster,,,,,,,,,,1,44,9,48,8,38,11,9,6,8,4,7,8,6,4,26,3,6,8,8,3
Michelle W Singer,,,,,,,,,,,0,8,44,6,46,11,11,7,6,5,9,6,5,3,29,4,5,7,8,3
Lou Agre,,,,,,,,,,,,0,8,35,2,34,30,33,30,31,31,28,29,25,31,11,3,9,3,3
Nicole Allen White,,,,,,,,,,,,,0,5,40,10,8,5,6,3,5,7,5,4,28,3,3,10,8,3
Yasmeen Kaboud,,,,,,,,,,,,,,0,3,34,30,32,29,32,29,29,26,25,26,12,4,9,4,3
Heather A Steinmiller,,,,,,,,,,,,,,,0,5,7,3,1,2,3,2,2,2,25,2,2,7,7,3
Ariana Flores Gordon,,,,,,,,,,,,,,,,0,30,31,28,32,31,29,27,25,20,6,4,9,4,3
Sherrie Cohen,,,,,,,,,,,,,,,,,0,30,26,31,31,27,25,24,18,6,1,8,4,3
Carol Rose Fleischman,,,,,,,,,,,,,,,,,,0,31,31,28,27,26,25,16,5,3,7,4,3
Gwen Snyder,,,,,,,,,,,,,,,,,,,0,27,25,27,26,25,15,5,3,8,2,3
Hamdi Soysal,,,,,,,,,,,,,,,,,,,,0,29,26,26,24,16,5,2,7,3,3
William Leopold,,,,,,,,,,,,,,,,,,,,,0,26,26,24,15,6,2,7,3,3
Tonya Diane Bah,,,,,,,,,,,,,,,,,,,,,,0,25,25,13,6,2,9,2,3
Waleed Shahid,,,,,,,,,,,,,,,,,,,,,,,0,25,13,5,3,8,1,3
Margaret Lenzi,,,,,,,,,,,,,,,,,,,,,,,,0,13,5,0,7,2,3
Morgan Cephas,,,,,,,,,,,,,,,,,,,,,,,,,13,0,0,0,0,3
Steven Jones,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,3
Jess Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0,0,3
Edwin Santana,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,3
Lynwood W Savage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3
Total,115,86,85,72,71,64,62,62,61,59,59,58,57,56,48,44,39,36,34,34,34,33,31,28,104,40,31,27,18,3
,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,,,,,,,,Representative In The General Assembly 192nd District - Democrat,,,,,4
,Cindy Bass,Katherine J Gilmore,Malcolm Kenyatta,Yasmeen Kaboud,Jerry T Jordan,Ken Washington,Lou Agre,Vincent Hughes,Mary Jo Daley,Nicole Allen White,Blondell Reynolds Brown,Mark Aronchick,Michelle W Singer,Gwen Snyder,Hamdi Soysal,Ariana Flores Gordon,Carol Rose Fleischman,Joe Foster,Heather A Steinmiller,William Leopold,Tonya Diane Bah,Waleed Shahid,Sherrie Cohen,Margaret Lenzi,Morgan Cephas,Steven Jones,Jess Johnson,Lynwood W Savage,Edwin Santana,4
Cindy Bass,2,58,56,20,50,43,18,40,42,41,40,39,37,15,17,11,16,33,32,12,12,9,9,6,46,25,8,9,4,4
Katherine J Gilmore,,3,53,20,49,42,20,36,39,38,34,38,35,17,17,12,16,32,32,13,14,12,11,8,27,20,5,8,4,4
Malcolm Kenyatta,,,0,14,44,44,14,38,41,40,35,41,36,12,12,9,10,33,34,9,9,10,5,5,31,16,3,9,4,4
Yasmeen Kaboud,,,,2,20,14,40,10,7,7,9,7,9,34,33,32,34,6,4,30,31,28,26,22,20,13,9,8,8,4
Jerry T Jordan,,,,,0,38,20,32,34,33,32,34,32,17,16,12,16,31,29,13,14,11,13,8,25,16,6,6,4,4
Ken Washington,,,,,,0,13,37,38,42,35,36,36,12,13,9,13,34,33,11,11,12,8,6,20,10,6,9,5,4
Lou Agre,,,,,,,1,9,8,7,9,6,6,31,31,29,34,6,4,29,28,24,27,23,18,11,8,6,5,4
Vincent Hughes,,,,,,,,0,33,34,39,30,32,9,10,6,10,31,28,9,7,7,6,4,19,10,3,8,6,4
Mary Jo Daley,,,,,,,,,0,36,32,37,32,8,9,5,7,30,30,5,6,5,4,2,18,10,2,7,4,4
Nicole Allen White,,,,,,,,,,0,35,34,35,8,8,4,6,33,31,8,7,7,3,3,18,9,5,8,2,4
Blondell Reynolds Brown,,,,,,,,,,,0,30,32,8,8,4,9,30,27,9,7,5,6,2,16,10,3,7,5,4
Mark Aronchick,,,,,,,,,,,,0,35,8,7,5,6,29,32,2,4,7,4,0,18,8,1,8,3,4
Michelle W Singer,,,,,,,,,,,,,0,9,7,4,7,29,32,4,5,7,3,0,18,7,3,8,3,4
Gwen Snyder,,,,,,,,,,,,,,0,30,31,31,6,6,28,31,26,25,22,11,8,7,8,5,4
Hamdi Soysal,,,,,,,,,,,,,,,0,32,33,7,4,28,28,25,27,22,13,10,4,7,3,4
Ariana Flores Gordon,,,,,,,,,,,,,,,,0,30,3,1,28,26,25,28,24,13,9,5,7,3,4
Carol Rose Fleischman,,,,,,,,,,,,,,,,,0,6,3,27,28,25,29,23,12,10,5,5,5,4
Joe Foster,,,,,,,,,,,,,,,,,,0,29,8,5,4,3,2,14,10,1,6,3,4
Heather A Steinmiller,,,,,,,,,,,,,,,,,,,0,3,3,4,1,0,16,7,2,6,2,4
William Leopold,,,,,,,,,,,,,,,,,,,,0,27,23,23,24,11,10,5,4,5,4
Tonya Diane Bah,,,,,,,,,,,,,,,,,,,,,0,22,23,21,8,8,6,7,4,4
Waleed Shahid,,,,,,,,,,,,,,,,,,,,,,0,20,19,9,8,6,6,4,4
