col_1,col_2,col_3,col_4,division
,State Treasurer - Republican,Attorney General - Republican,,All
,Otto Voit,John Rafferty,Joe Peters,All
Otto Voit,46,815,278,All
John Rafferty,,108,0,All
Joe Peters,,,26,All
Total,"1,139",923,304,All
,State Treasurer - Republican,Attorney General - Republican,,1
,Otto Voit,John Rafferty,Joe Peters,1
Otto Voit,0,56,20,1
John Rafferty,,5,0,1
Joe Peters,,,1,1
Total,76,61,21,1
,State Treasurer - Republican,Attorney General - Republican,,2
,Otto Voit,John Rafferty,Joe Peters,2
Otto Voit,2,32,11,2
John Rafferty,,6,0,2
Joe Peters,,,4,2
Total,45,38,15,2
,State Treasurer - Republican,Attorney General - Republican,,3
,Otto Voit,John Rafferty,Joe Peters,3
Otto Voit,1,41,9,3
John Rafferty,,6,0,3
Joe Peters,,,1,3
Total,51,47,10,3
,State Treasurer - Republican,Attorney General - Republican,,4
,Otto Voit,John Rafferty,Joe Peters,4
Otto Voit,2,29,10,4
John Rafferty,,8,0,4
Joe Peters,,,1,4
Total,41,37,11,4
,State Treasurer - Republican,Attorney General - Republican,,5
,Otto Voit,John Rafferty,Joe Peters,5
Otto Voit,2,25,9,5
John Rafferty,,6,0,5
Joe Peters,,,0,5
Total,36,31,9,5
,State Treasurer - Republican,Attorney General - Republican,,6
,Otto Voit,John Rafferty,Joe Peters,6
Otto Voit,0,30,8,6
John Rafferty,,3,0,6
Joe Peters,,,1,6
Total,38,33,9,6
,State Treasurer - Republican,Attorney General - Republican,,7
,Otto Voit,John Rafferty,Joe Peters,7
Otto Voit,3,17,4,7
John Rafferty,,3,0,7
Joe Peters,,,0,7
Total,24,20,4,7
,State Treasurer - Republican,Attorney General - Republican,,8
,Otto Voit,John Rafferty,Joe Peters,8
Otto Voit,2,27,9,8
John Rafferty,,5,0,8
Joe Peters,,,1,8
Total,38,32,10,8
,State Treasurer - Republican,Attorney General - Republican,,9
,Otto Voit,John Rafferty,Joe Peters,9
Otto Voit,2,20,10,9
John Rafferty,,2,0,9
Joe Peters,,,2,9
Total,32,22,12,9
,State Treasurer - Republican,Attorney General - Republican,,10
,Otto Voit,John Rafferty,Joe Peters,10
Otto Voit,1,24,7,10
John Rafferty,,2,0,10
Joe Peters,,,1,10
Total,32,26,8,10
,State Treasurer - Republican,Attorney General - Republican,,11
,Otto Voit,John Rafferty,Joe Peters,11
Otto Voit,3,21,8,11
John Rafferty,,7,0,11
Joe Peters,,,0,11
Total,32,28,8,11
,State Treasurer - Republican,Attorney General - Republican,,12
,Otto Voit,John Rafferty,Joe Peters,12
Otto Voit,2,39,16,12
John Rafferty,,6,0,12
Joe Peters,,,1,12
Total,57,45,17,12
,State Treasurer - Republican,Attorney General - Republican,,13
,Otto Voit,John Rafferty,Joe Peters,13
Otto Voit,0,7,3,13
John Rafferty,,1,0,13
Joe Peters,,,0,13
Total,10,8,3,13
,State Treasurer - Republican,Attorney General - Republican,,14
,Otto Voit,John Rafferty,Joe Peters,14
Otto Voit,0,12,5,14
John Rafferty,,1,0,14
Joe Peters,,,0,14
Total,17,13,5,14
,State Treasurer - Republican,Attorney General - Republican,,15
,Otto Voit,John Rafferty,Joe Peters,15
Otto Voit,0,14,6,15
John Rafferty,,2,0,15
Joe Peters,,,0,15
Total,20,16,6,15
,State Treasurer - Republican,Attorney General - Republican,,16
,Otto Voit,John Rafferty,Joe Peters,16
Otto Voit,2,28,6,16
John Rafferty,,0,0,16
Joe Peters,,,1,16
Total,36,28,7,16
,State Treasurer - Republican,Attorney General - Republican,,17
,Otto Voit,John Rafferty,Joe Peters,17
Otto Voit,4,37,9,17
John Rafferty,,2,0,17
Joe Peters,,,0,17
Total,50,39,9,17
,State Treasurer - Republican,Attorney General - Republican,,18
,Otto Voit,John Rafferty,Joe Peters,18
Otto Voit,4,73,32,18
John Rafferty,,10,0,18
Joe Peters,,,4,18
Total,109,83,36,18
,State Treasurer - Republican,Attorney General - Republican,,19
,Otto Voit,John Rafferty,Joe Peters,19
Otto Voit,1,33,12,19
John Rafferty,,10,0,19
Joe Peters,,,0,19
Total,46,43,12,19
,State Treasurer - Republican,Attorney General - Republican,,20
,Otto Voit,John Rafferty,Joe Peters,20
Otto Voit,0,10,5,20
John Rafferty,,0,0,20
Joe Peters,,,0,20
Total,15,10,5,20
,State Treasurer - Republican,Attorney General - Republican,,21
,Otto Voit,John Rafferty,Joe Peters,21
Otto Voit,3,62,11,21
