col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,division
,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,,,,,,,,Representative In The General Assembly 190th District - Democrat,,,,,,All
,Cindy Bass,Malcolm Kenyatta,Katherine J Gilmore,Jerry T Jordan,Yasmeen Kaboud,Vincent Hughes,Lou Agre,Mary Jo Daley,Ken Washington,Blondell Reynolds Brown,Mark Aronchick,Nicole Allen White,Michelle W Singer,Heather A Steinmiller,Joe Foster,Ariana Flores Gordon,Sherrie Cohen,Carol Rose Fleischman,Gwen Snyder,Tonya Diane Bah,Hamdi Soysal,Waleed Shahid,William Leopold,Margaret Lenzi,Vanessa L Brown,Darryl Thomas,Wanda Logan,Ray Bailey,Movita Johnson Harrell,Ted Smith,All
Cindy Bass,35,951,909,870,273,730,261,734,733,689,683,668,659,638,616,179,177,156,132,136,126,118,133,128,500,250,355,163,98,26,All
Malcolm Kenyatta,,6,892,870,289,710,276,689,707,666,667,639,640,622,601,171,178,162,132,145,149,139,147,134,445,224,220,136,83,22,All
Katherine J Gilmore,,,9,806,236,656,209,673,660,624,640,613,616,602,576,123,134,123,100,103,104,97,101,99,410,179,219,121,72,18,All
Jerry T Jordan,,,,2,236,632,245,638,653,590,631,598,584,583,565,130,148,131,104,104,118,102,114,104,390,165,193,113,74,17,All
Yasmeen Kaboud,,,,,14,148,659,127,142,114,125,121,107,85,106,557,526,530,505,492,517,487,477,463,227,152,264,121,93,31,All
Vincent Hughes,,,,,,5,134,638,658,692,614,634,627,598,605,129,133,117,109,108,102,113,127,114,437,190,104,70,69,18,All
Lou Agre,,,,,,,8,98,127,99,111,102,92,68,90,533,520,521,485,488,501,473,474,457,182,145,221,98,85,30,All
Mary Jo Daley,,,,,,,,0,667,610,658,630,609,602,577,104,115,89,79,77,84,81,72,82,376,152,110,72,79,14,All
Ken Washington,,,,,,,,,0,632,643,647,628,608,601,126,121,107,97,97,98,100,104,94,379,151,110,70,71,17,All
Blondell Reynolds Brown,,,,,,,,,,2,585,611,605,593,583,104,113,93,82,92,82,92,99,106,378,168,87,57,66,17,All
Mark Aronchick,,,,,,,,,,,2,593,588,587,560,105,119,96,80,79,88,79,84,81,357,148,92,68,60,17,All
Nicole Allen White,,,,,,,,,,,,0,613,598,590,105,107,90,81,86,72,94,96,108,345,145,100,68,67,11,All
Michelle W Singer,,,,,,,,,,,,,0,593,571,84,101,80,72,82,70,76,88,87,346,131,93,59,68,16,All
Heather A Steinmiller,,,,,,,,,,,,,,0,567,59,82,65,59,75,56,59,60,76,338,132,74,59,62,14,All
Joe Foster,,,,,,,,,,,,,,,0,82,86,77,77,74,72,97,86,89,328,126,81,64,58,14,All
Ariana Flores Gordon,,,,,,,,,,,,,,,,0,535,541,514,489,520,493,486,474,207,135,122,57,83,32,All
Sherrie Cohen,,,,,,,,,,,,,,,,,0,524,488,487,507,464,480,469,189,122,124,55,71,30,All
Carol Rose Fleischman,,,,,,,,,,,,,,,,,,2,489,493,510,468,477,455,179,121,118,56,73,29,All
Gwen Snyder,,,,,,,,,,,,,,,,,,,1,474,466,471,460,454,158,118,111,50,68,29,All
Tonya Diane Bah,,,,,,,,,,,,,,,,,,,,0,468,461,471,454,155,114,111,49,74,32,All
Hamdi Soysal,,,,,,,,,,,,,,,,,,,,,0,456,465,432,171,112,109,45,70,27,All
Waleed Shahid,,,,,,,,,,,,,,,,,,,,,,1,462,466,161,113,105,48,75,30,All
William Leopold,,,,,,,,,,,,,,,,,,,,,,,0,463,162,111,99,49,70,27,All
Margaret Lenzi,,,,,,,,,,,,,,,,,,,,,,,,0,155,108,103,44,69,26,All
Vanessa L Brown,,,,,,,,,,,,,,,,,,,,,,,,,225,0,0,0,0,0,All
Darryl Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,254,0,0,0,0,All
Wanda Logan,,,,,,,,,,,,,,,,,,,,,,,,,,,57,0,0,0,All
Ray Bailey,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,0,0,All
Movita Johnson Harrell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,0,All
Ted Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,All
Total,"1,486","1,193","1,087","1,007",964,920,828,828,823,802,766,759,741,701,698,687,645,627,588,588,584,584,567,555,"1,062",727,706,346,266,76,All
,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,,,,,,,,Representative In The General Assembly 190th District - Democrat,,,,,,1
,Yasmeen Kaboud,Lou Agre,Ariana Flores Gordon,Sherrie Cohen,Carol Rose Fleischman,Hamdi Soysal,Margaret Lenzi,Tonya Diane Bah,Gwen Snyder,Waleed Shahid,William Leopold,Cindy Bass,Malcolm Kenyatta,Jerry T Jordan,Katherine J Gilmore,Vincent Hughes,Mary Jo Daley,Mark Aronchick,Blondell Reynolds Brown,Michelle W Singer,Nicole Allen White,Joe Foster,Ken Washington,Heather A Steinmiller,Vanessa L Brown,Wanda Logan,Darryl Thomas,Movita Johnson Harrell,Ray Bailey,Ted Smith,1
Yasmeen Kaboud,2,95,92,87,87,87,84,89,88,82,86,24,21,23,21,13,14,12,14,12,11,9,9,9,30,21,16,17,10,6,1
Lou Agre,,1,87,88,84,86,83,86,82,79,86,22,18,20,16,13,11,11,13,12,10,7,8,7,28,20,12,15,10,5,1
Ariana Flores Gordon,,,0,91,89,89,85,86,89,82,86,22,14,18,16,12,12,10,13,11,10,9,6,6,31,13,12,15,10,5,1
Sherrie Cohen,,,,0,88,88,85,87,86,80,85,21,14,18,17,11,11,10,13,13,9,7,7,8,27,16,12,16,8,4,1
