col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,division
,Representative In The General Assembly 172nd District - Democrat,Delegate To The Democratic National Convention 13th District,,,,,,,,,,,,,,All
,Kevin J Boyle,Allyson Y Schwartz,Michael J Rahming,Betsy May Kilkenny,Mike Stack,Mark B Cohen,Val Arkoosh,Henry Albert,Elaine Tomlin,Louis Farinella,Linda A Fields,Melissa Robbins,Charles Quann,Bev Hahn,W Gerard Oleksiak,All
Kevin J Boyle,123,476,316,305,291,274,275,230,232,227,217,213,210,198,175,All
Allyson Y Schwartz,,39,131,323,304,125,305,89,262,250,81,82,241,67,207,All
Michael J Rahming,,,12,97,86,264,99,249,63,67,219,229,53,218,35,All
Betsy May Kilkenny,,,,0,243,80,287,58,243,233,58,56,228,44,196,All
Mike Stack,,,,,11,97,228,77,228,222,73,72,206,57,187,All
Mark B Cohen,,,,,,0,72,259,69,68,231,234,58,222,42,All
Val Arkoosh,,,,,,,6,52,227,226,46,47,221,40,187,All
Henry Albert,,,,,,,,0,48,48,236,236,38,227,34,All
Elaine Tomlin,,,,,,,,,0,230,41,42,222,34,187,All
Louis Farinella,,,,,,,,,,0,34,36,227,34,182,All
Linda A Fields,,,,,,,,,,,0,235,34,226,33,All
Melissa Robbins,,,,,,,,,,,,1,31,234,28,All
Charles Quann,,,,,,,,,,,,,0,27,184,All
Bev Hahn,,,,,,,,,,,,,,0,22,All
W Gerard Oleksiak,,,,,,,,,,,,,,,0,All
Total,875,596,396,369,363,345,337,293,288,278,276,274,258,255,216,All
,Representative In The General Assembly 172nd District - Democrat,Delegate To The Democratic National Convention 13th District,,,,,,,,,,,,,,9
,Kevin J Boyle,Allyson Y Schwartz,Michael J Rahming,Val Arkoosh,Betsy May Kilkenny,Mark B Cohen,Mike Stack,Elaine Tomlin,Henry Albert,Linda A Fields,Louis Farinella,Melissa Robbins,Bev Hahn,Charles Quann,W Gerard Oleksiak,9
Kevin J Boyle,20,64,36,37,35,28,25,25,23,21,22,21,21,22,19,9
Allyson Y Schwartz,,8,20,38,36,16,28,29,10,9,22,9,9,24,22,9
Michael J Rahming,,,4,19,13,27,10,10,24,23,12,21,23,8,4,9
Val Arkoosh,,,,1,31,13,23,24,10,8,24,7,9,23,19,9
Betsy May Kilkenny,,,,,0,11,20,24,6,5,22,5,4,22,19,9
Mark B Cohen,,,,,,0,7,10,23,21,11,21,21,9,6,9
Mike Stack,,,,,,,1,20,6,7,16,7,6,15,15,9
Elaine Tomlin,,,,,,,,0,5,4,20,5,5,20,16,9
Henry Albert,,,,,,,,,0,23,7,20,22,5,5,9
Linda A Fields,,,,,,,,,,0,5,22,22,4,4,9
Louis Farinella,,,,,,,,,,,0,5,7,19,16,9
Melissa Robbins,,,,,,,,,,,,1,21,3,2,9
Bev Hahn,,,,,,,,,,,,,0,4,4,9
Charles Quann,,,,,,,,,,,,,,0,17,9
W Gerard Oleksiak,,,,,,,,,,,,,,,0,9
Total,110,80,48,42,41,34,32,30,28,26,26,26,25,25,23,9
,Representative In The General Assembly 172nd District - Democrat,Delegate To The Democratic National Convention 13th District,,,,,,,,,,,,,,10
,Kevin J Boyle,Allyson Y Schwartz,Betsy May Kilkenny,Michael J Rahming,Mike Stack,Elaine Tomlin,Val Arkoosh,Mark B Cohen,Louis Farinella,Charles Quann,Melissa Robbins,Henry Albert,Linda A Fields,W Gerard Oleksiak,Bev Hahn,10
Kevin J Boyle,15,62,47,39,39,37,36,35,35,29,28,25,25,26,24,10
Allyson Y Schwartz,,6,48,12,41,38,38,13,38,33,9,9,7,30,7,10
Betsy May Kilkenny,,,0,10,38,37,37,9,36,32,10,8,9,29,7,10
Michael J Rahming,,,,2,6,7,9,29,6,4,25,26,23,3,24,10
Mike Stack,,,,,1,35,32,11,34,28,11,9,9,28,8,10
Elaine Tomlin,,,,,,0,33,12,37,33,9,9,7,28,6,10
Val Arkoosh,,,,,,,1,8,34,30,3,4,2,29,1,10
Mark B Cohen,,,,,,,,0,9,8,27,29,27,6,26,10
Louis Farinella,,,,,,,,,0,35,6,8,4,29,4,10
Charles Quann,,,,,,,,,,0,5,5,5,27,4,10
Melissa Robbins,,,,,,,,,,,0,27,29,4,29,10
Henry Albert,,,,,,,,,,,,0,26,3,26,10
Linda A Fields,,,,,,,,,,,,,0,3,28,10
W Gerard Oleksiak,,,,,,,,,,,,,,0,1,10
Bev Hahn,,,,,,,,,,,,,,,0,10
Total,121,78,56,50,47,45,44,43,42,37,34,32,32,32,30,10
,Representative In The General Assembly 172nd District - Democrat,Delegate To The Democratic National Convention 13th District,,,,,,,,,,,,,,13
,Kevin J Boyle,Allyson Y Schwartz,Betsy May Kilkenny,Val Arkoosh,Mike Stack,Michael J Rahming,Charles Quann,Elaine Tomlin,Louis Farinella,Mark B Cohen,Henry Albert,Linda A Fields,Melissa Robbins,W Gerard Oleksiak,Bev Hahn,13
Kevin J Boyle,12,72,47,47,44,41,35,34,35,32,32,33,30,30,24,13
Allyson Y Schwartz,,5,53,51,44,20,42,40,38,17,17,18,20,34,13,13
Betsy May Kilkenny,,,0,50,41,14,39,38,37,14,12,12,12,33,7,13
Val Arkoosh,,,,0,41,14,40,40,39,11,11,11,12,31,8,13
Mike Stack,,,,,0,13,32,33,32,8,9,12,11,29,8,13
Michael J Rahming,,,,,,0,10,11,9,30,31,28,27,10,23,13
Charles Quann,,,,,,,0,36,34,7,7,6,8,27,5,13
Elaine Tomlin,,,,,,,,0,34,7,5,5,5,29,5,13
Louis Farinella,,,,,,,,,0,5,3,3,3,26,3,13
Mark B Cohen,,,,,,,,,,0,33,29,29,8,23,13
Henry Albert,,,,,,,,,,,0,33,33,7,27,13
Linda A Fields,,,,,,,,,,,,0,33,8,27,13
Melissa Robbins,,,,,,,,,,,,,0,8,28,13
W Gerard Oleksiak,,,,,,,,,,,,,,0,5,13
Bev Hahn,,,,,,,,,,,,,,,0,13
Total,117,89,57,56,51,46,43,42,41,40,39,39,38,34,31,13
,Representative In The General Assembly 172nd District - Democrat,Delegate To The Democratic National Convention 13th District,,,,,,,,,,,,,,16
,Kevin J Boyle,Allyson Y Schwartz,Michael J Rahming,Mark B Cohen,Henry Albert,Bev Hahn,Linda A Fields,Melissa Robbins,Mike Stack,Betsy May Kilkenny,Val Arkoosh,Elaine Tomlin,Louis Farinella,Charles Quann,W Gerard Oleksiak,16
Kevin J Boyle,17,58,45,45,36,34,33,31,34,28,21,19,17,14,11,16
Allyson Y Schwartz,,5,16,18,12,10,11,9,35,26,25,20,20,17,15,16
Michael J Rahming,,,2,48,47,43,43,44,13,9,8,7,8,4,3,16
Mark B Cohen,,,,0,49,46,45,45,16,9,4,8,8,5,3,16
Henry Albert,,,,,0,45,45,43,13,6,4,5,6,3,3,16
Bev Hahn,,,,,,0,45,43,12,9,5,5,5,3,3,16
Linda A Fields,,,,,,,0,44,13,7,4,4,4,3,3,16
Melissa Robbins,,,,,,,,0,13,6,4,5,4,2,2,16
Mike Stack,,,,,,,,,1,22,18,21,20,17,15,16
Betsy May Kilkenny,,,,,,,,,,0,22,21,17,17,13,16
Val Arkoosh,,,,,,,,,,,0,16,15,16,13,16
Elaine Tomlin,,,,,,,,,,,,0,19,18,13,16
