col_1,col_2,division
,State Treasurer - Republican,All
,Otto Voit,All
Otto Voit,161,All
Total,161,All
,State Treasurer - Republican,2
,Otto Voit,2
Otto Voit,1,2
Total,1,2
,State Treasurer - Republican,3
,Otto Voit,3
Otto Voit,1,3
Total,1,3
,State Treasurer - Republican,6
,Otto Voit,6
Otto Voit,1,6
Total,1,6
,State Treasurer - Republican,13
,Otto Voit,13
Otto Voit,1,13
Total,1,13
,State Treasurer - Republican,14
,Otto Voit,14
Otto Voit,8,14
Total,8,14
,State Treasurer - Republican,15
,Otto Voit,15
Otto Voit,1,15
Total,1,15
,State Treasurer - Republican,16
,Otto Voit,16
Otto Voit,1,16
Total,1,16
,State Treasurer - Republican,17
,Otto Voit,17
Otto Voit,7,17
Total,7,17
,State Treasurer - Republican,18
,Otto Voit,18
Otto Voit,5,18
Total,5,18
,State Treasurer - Republican,19
,Otto Voit,19
Otto Voit,2,19
Total,2,19
,State Treasurer - Republican,20
,Otto Voit,20
Otto Voit,6,20
Total,6,20
,State Treasurer - Republican,21
,Otto Voit,21
Otto Voit,7,21
Total,7,21
,State Treasurer - Republican,22
,Otto Voit,22
Otto Voit,3,22
Total,3,22
,State Treasurer - Republican,23
,Otto Voit,23
Otto Voit,31,23
Total,31,23
,State Treasurer - Republican,24
,Otto Voit,24
Otto Voit,8,24
Total,8,24
,State Treasurer - Republican,25
,Otto Voit,25
Otto Voit,16,25
Total,16,25
,State Treasurer - Republican,27
,Otto Voit,27
Otto Voit,1,27
Total,1,27
,State Treasurer - Republican,28
,Otto Voit,28
Otto Voit,1,28
Total,1,28
,State Treasurer - Republican,29
,Otto Voit,29
Otto Voit,5,29
Total,5,29
,State Treasurer - Republican,30
,Otto Voit,30
Otto Voit,5,30
Total,5,30
,State Treasurer - Republican,31
,Otto Voit,31
Otto Voit,12,31
Total,12,31
,State Treasurer - Republican,32
,Otto Voit,32
Otto Voit,1,32
Total,1,32
,State Treasurer - Republican,33
,Otto Voit,33
Otto Voit,4,33
Total,4,33
,State Treasurer - Republican,34
,Otto Voit,34
Otto Voit,19,34
Total,19,34
,State Treasurer - Republican,37
,Otto Voit,37
Otto Voit,2,37
Total,2,37
,State Treasurer - Republican,38
,Otto Voit,38
Otto Voit,1,38
Total,1,38
,State Treasurer - Republican,39
,Otto Voit,39
Otto Voit,3,39
Total,3,39
,State Treasurer - Republican,40
,Otto Voit,40
Otto Voit,3,40
Total,3,40
,State Treasurer - Republican,41
,Otto Voit,41
Otto Voit,5,41
Total,5,41
