col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,division
,Representative In The General Assembly 180th District - Democrat,Delegate To The Democratic National Convention 13th District,,,,,,,,,,,,,,All
,Angel Cruz,Allyson Y Schwartz,Betsy May Kilkenny,Val Arkoosh,Elaine Tomlin,Michael J Rahming,Louis Farinella,Charles Quann,W Gerard Oleksiak,Mark B Cohen,Mike Stack,Henry Albert,Linda A Fields,Melissa Robbins,Bev Hahn,All
Angel Cruz,51,129,90,89,83,61,60,54,53,47,46,39,37,34,32,All
Allyson Y Schwartz,,4,82,85,67,26,56,52,51,24,46,19,16,19,18,All
Betsy May Kilkenny,,,2,77,59,20,51,48,47,15,42,7,8,9,9,All
Val Arkoosh,,,,0,61,25,52,49,51,20,45,13,13,14,15,All
Elaine Tomlin,,,,,2,16,53,51,48,16,44,13,12,12,13,All
Michael J Rahming,,,,,,1,8,8,10,39,6,36,32,29,30,All
Louis Farinella,,,,,,,0,50,48,9,45,8,8,7,6,All
Charles Quann,,,,,,,,1,44,8,42,5,4,4,5,All
W Gerard Oleksiak,,,,,,,,,0,9,43,4,5,7,8,All
Mark B Cohen,,,,,,,,,,0,6,38,34,32,31,All
Mike Stack,,,,,,,,,,,0,3,6,5,5,All
Henry Albert,,,,,,,,,,,,0,35,33,30,All
Linda A Fields,,,,,,,,,,,,,1,32,32,All
Melissa Robbins,,,,,,,,,,,,,,0,31,All
Bev Hahn,,,,,,,,,,,,,,,0,All
Total,251,138,97,94,87,68,62,57,55,52,49,43,42,38,36,All
,Representative In The General Assembly 180th District - Democrat,Delegate To The Democratic National Convention 13th District,,,,,,,,,,,,,,1
,Angel Cruz,Allyson Y Schwartz,Val Arkoosh,Betsy May Kilkenny,Elaine Tomlin,Louis Farinella,Michael J Rahming,Charles Quann,W Gerard Oleksiak,Mike Stack,Mark B Cohen,Linda A Fields,Henry Albert,Bev Hahn,Melissa Robbins,1
Angel Cruz,26,96,69,64,63,45,39,40,40,37,30,23,23,21,20,1
Allyson Y Schwartz,,1,65,61,50,42,16,39,38,37,15,9,10,12,10,1
Val Arkoosh,,,0,60,48,40,17,37,38,36,14,9,9,11,9,1
Betsy May Kilkenny,,,,1,43,39,11,38,36,33,9,2,2,4,2,1
Elaine Tomlin,,,,,2,40,12,39,36,34,11,8,9,10,7,1
Louis Farinella,,,,,,0,5,38,36,35,5,5,4,4,3,1
Michael J Rahming,,,,,,,0,5,6,4,26,20,23,20,19,1
Charles Quann,,,,,,,,0,34,32,6,2,2,4,1,1
W Gerard Oleksiak,,,,,,,,,0,34,5,3,2,6,4,1
Mike Stack,,,,,,,,,,0,5,5,2,5,4,1
Mark B Cohen,,,,,,,,,,,0,20,22,19,19,1
Linda A Fields,,,,,,,,,,,,1,21,19,19,1
Henry Albert,,,,,,,,,,,,,0,19,19,1
Bev Hahn,,,,,,,,,,,,,,0,19,1
Melissa Robbins,,,,,,,,,,,,,,,0,1
Total,168,100,72,68,66,46,43,41,41,39,33,26,25,23,22,1
,Representative In The General Assembly 180th District - Democrat,Delegate To The Democratic National Convention 13th District,,,,,,,,,,,,,,23
,Angel Cruz,Allyson Y Schwartz,Betsy May Kilkenny,Michael J Rahming,Val Arkoosh,Elaine Tomlin,Mark B Cohen,Henry Albert,Charles Quann,Linda A Fields,Louis Farinella,Melissa Robbins,W Gerard Oleksiak,Bev Hahn,Mike Stack,23
Angel Cruz,25,33,26,22,20,20,17,16,14,14,15,14,13,11,9,23
Allyson Y Schwartz,,3,21,10,20,17,9,9,13,7,14,9,13,6,9,23
Betsy May Kilkenny,,,1,9,17,16,6,5,10,6,12,7,11,5,9,23
Michael J Rahming,,,,1,8,4,13,13,3,12,3,10,4,10,2,23
Val Arkoosh,,,,,0,13,6,4,12,4,12,5,13,4,9,23
Elaine Tomlin,,,,,,0,5,4,12,4,13,5,12,3,10,23
Mark B Cohen,,,,,,,0,16,2,14,4,13,4,12,1,23
Henry Albert,,,,,,,,0,3,14,4,14,2,11,1,23
Charles Quann,,,,,,,,,1,2,12,3,10,1,10,23
Linda A Fields,,,,,,,,,,0,3,13,2,13,1,23
Louis Farinella,,,,,,,,,,,0,4,12,2,10,23
Melissa Robbins,,,,,,,,,,,,0,3,12,1,23
W Gerard Oleksiak,,,,,,,,,,,,,0,2,9,23
Bev Hahn,,,,,,,,,,,,,,0,0,23
Mike Stack,,,,,,,,,,,,,,,0,23
Total,83,38,29,25,22,21,19,18,16,16,16,16,14,13,10,23
