col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,division
,Senator In The General Assembly 3rd District - Democrat,Delegate To The Democratic National Convention 13th District,,,,,,,,,,,,,,All
,Sharif Street,Allyson Y Schwartz,Elaine Tomlin,Betsy May Kilkenny,Michael J Rahming,Val Arkoosh,Mark B Cohen,Charles Quann,Mike Stack,Louis Farinella,W Gerard Oleksiak,Henry Albert,Linda A Fields,Melissa Robbins,Bev Hahn,All
Sharif Street,235,"1,580","1,269","1,037","1,015",960,821,781,712,648,596,596,591,542,427,All
Allyson Y Schwartz,,75,844,993,509,970,437,779,715,686,615,244,282,258,189,All
Elaine Tomlin,,,17,716,290,687,328,712,665,632,593,176,206,187,125,All
Betsy May Kilkenny,,,,15,383,884,298,691,622,633,572,186,182,161,100,All
Michael J Rahming,,,,,38,392,620,270,229,215,163,501,480,452,406,All
Val Arkoosh,,,,,,11,268,665,590,626,561,152,166,148,104,All
Mark B Cohen,,,,,,,17,284,268,225,179,545,528,497,433,All
Charles Quann,,,,,,,,5,623,636,583,154,188,158,101,All
Mike Stack,,,,,,,,,3,569,569,145,194,177,118,All
Louis Farinella,,,,,,,,,,1,542,115,120,98,65,All
W Gerard Oleksiak,,,,,,,,,,,0,89,118,104,69,All
Henry Albert,,,,,,,,,,,,3,487,451,410,All
Linda A Fields,,,,,,,,,,,,,0,482,438,All
Melissa Robbins,,,,,,,,,,,,,,2,425,All
Bev Hahn,,,,,,,,,,,,,,,1,All
Total,"3,160","1,823","1,390","1,186","1,139","1,098",933,877,815,743,677,670,664,612,491,All
,Senator In The General Assembly 3rd District - Democrat,Delegate To The Democratic National Convention 13th District,,,,,,,,,,,,,,3
,Sharif Street,Allyson Y Schwartz,Michael J Rahming,Mark B Cohen,Betsy May Kilkenny,Elaine Tomlin,Val Arkoosh,Charles Quann,Henry Albert,Linda A Fields,Mike Stack,Melissa Robbins,Louis Farinella,W Gerard Oleksiak,Bev Hahn,3
Sharif Street,11,86,64,60,53,56,47,36,33,32,30,26,22,21,20,3
Allyson Y Schwartz,,4,32,35,51,34,45,33,13,15,30,15,23,21,8,3
Michael J Rahming,,,1,48,28,17,23,16,31,29,12,23,10,9,21,3
Mark B Cohen,,,,3,26,23,20,22,36,34,18,27,15,13,22,3
Betsy May Kilkenny,,,,,0,32,47,30,10,10,28,9,21,21,4,3
Elaine Tomlin,,,,,,0,28,27,9,12,26,11,19,16,6,3
Val Arkoosh,,,,,,,0,28,6,7,23,8,18,19,3,3
Charles Quann,,,,,,,,0,10,9,25,10,21,18,3,3
Henry Albert,,,,,,,,,0,26,4,19,5,6,18,3
Linda A Fields,,,,,,,,,,0,8,23,5,4,21,3
Mike Stack,,,,,,,,,,,1,8,16,18,3,3
Melissa Robbins,,,,,,,,,,,,0,6,4,16,3
Louis Farinella,,,,,,,,,,,,,0,11,3,3
W Gerard Oleksiak,,,,,,,,,,,,,,0,4,3
Bev Hahn,,,,,,,,,,,,,,,0,3
Total,165,97,70,69,60,58,52,37,36,35,33,28,24,23,22,3
