col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,division
,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,,,,,,,,United States Senator - Democrat,,,,All
,Cindy Bass,Malcolm Kenyatta,Katherine J Gilmore,Jerry T Jordan,Ken Washington,Vincent Hughes,Mary Jo Daley,Mark Aronchick,Blondell Reynolds Brown,Nicole Allen White,Michelle W Singer,Yasmeen Kaboud,Joe Foster,Heather A Steinmiller,Lou Agre,Sherrie Cohen,Ariana Flores Gordon,Carol Rose Fleischman,Gwen Snyder,Hamdi Soysal,William Leopold,Margaret Lenzi,Waleed Shahid,Tonya Diane Bah,Katie Mcginty,Joe Sestak,John Fetterman,Joseph J Vodvarka,All
Cindy Bass,"1,965","62,370","61,752","59,374","52,056","50,120","52,032","49,605","48,897","48,374","47,865","13,967","45,454","45,956","13,786","10,294","9,681","8,605","8,422","7,622","7,674","7,565","6,919","6,889","41,816","19,721","9,912","9,460",All
Malcolm Kenyatta,,475,"59,069","58,553","49,891","48,315","49,312","48,354","46,781","46,116","46,125","13,866","44,448","44,553","13,168","9,989","9,202","8,214","8,229","7,894","7,941","7,579","7,164","6,912","36,409","16,871","7,646","5,502",All
Katherine J Gilmore,,,422,"56,607","48,241","46,295","49,271","47,368","45,147","45,552","45,812","12,436","43,610","44,311","11,138","8,454","7,728","7,091","6,872","6,430","6,278","6,267","5,517","5,458","35,356","15,808","7,244","5,454",All
Jerry T Jordan,,,,196,"47,588","45,612","47,521","46,889","44,221","44,069","44,320","12,200","43,091","43,221","12,291","8,629","7,824","7,147","7,054","6,769","6,791","6,419","5,889","5,735","33,651","15,408","6,694","4,963",All
Ken Washington,,,,,75,"47,612","48,182","47,152","46,043","46,942","46,342","8,002","45,069","45,064","7,927","7,580","7,063","6,086","6,379","5,578","6,104","5,933","5,336","5,242","32,740","14,581","4,787","2,589",All
Vincent Hughes,,,,,,111,"45,465","44,544","48,189","46,016","44,976","6,973","44,829","43,643","6,664","6,819","5,830","5,133","5,704","4,640","5,932","6,138","5,318","4,928","32,452","14,268","4,405","2,126",All
Mary Jo Daley,,,,,,,50,"48,317","44,243","45,284","45,424","7,127","43,313","44,204","6,591","6,867","5,859","5,288","5,317","4,981","4,554","4,705","3,924","3,985","31,877","14,184","4,707","2,662",All
Mark Aronchick,,,,,,,,44,"43,358","43,747","44,429","7,079","42,805","43,317","6,849","7,109","6,186","5,335","5,478","5,091","5,010","4,873","4,203","4,044","30,659","13,714","4,500","2,493",All
Blondell Reynolds Brown,,,,,,,,,81,"44,945","44,078","5,859","43,197","42,983","5,375","5,915","4,780","4,104","4,697","3,766","4,806","5,175","4,305","4,045","31,491","13,506","4,059","1,959",All
Nicole Allen White,,,,,,,,,,49,"44,921","6,279","44,045","43,720","5,776","5,961","5,498","4,611","5,155","4,109","5,147","5,846","4,980","4,506","30,334","13,136","4,350","2,279",All
