col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,division
,President Of The United States - Republican,,,,,,Delegate To The Republican National Convention 2nd District,,,,All
,Donald J Trump,John R Kasich,Ted Cruz,Marco Rubio,Ben Carson,Jeb Bush,Elizabeth Havey,Calvin Tucker,Aaron Cohen,Aldridk Gessa,All
Donald J Trump,38,0,0,0,0,0,51,56,55,17,All
John R Kasich,,23,0,0,0,0,53,44,30,25,All
Ted Cruz,,,9,0,0,0,29,26,31,23,All
Marco Rubio,,,,2,0,0,1,2,3,1,All
Ben Carson,,,,,0,0,1,1,1,1,All
Jeb Bush,,,,,,0,0,0,0,0,All
Elizabeth Havey,,,,,,,0,69,66,46,All
Calvin Tucker,,,,,,,,0,58,31,All
Aaron Cohen,,,,,,,,,1,29,All
Aldridk Gessa,,,,,,,,,,0,All
Total,142,96,67,6,2,0,137,130,123,68,All
,Delegate To The Republican National Convention 2nd District,,,,President Of The United States - Republican,,,,,,5
,Calvin Tucker,Elizabeth Havey,Aaron Cohen,Aldridk Gessa,Donald J Trump,Ben Carson,Jeb Bush,John R Kasich,Marco Rubio,Ted Cruz,5
Calvin Tucker,0,1,0,0,1,0,0,0,0,0,5
Elizabeth Havey,,0,0,0,1,0,0,0,0,0,5
Aaron Cohen,,,0,0,0,0,0,0,0,0,5
Aldridk Gessa,,,,0,0,0,0,0,0,0,5
Donald J Trump,,,,,0,0,0,0,0,0,5
Ben Carson,,,,,,0,0,0,0,0,5
Jeb Bush,,,,,,,0,0,0,0,5
John R Kasich,,,,,,,,0,0,0,5
Marco Rubio,,,,,,,,,0,0,5
Ted Cruz,,,,,,,,,,0,5
Total,1,1,0,0,1,0,0,0,0,0,5
,Delegate To The Republican National Convention 2nd District,,,,President Of The United States - Republican,,,,,,7
,Aaron Cohen,Aldridk Gessa,Calvin Tucker,Elizabeth Havey,Ted Cruz,Ben Carson,Marco Rubio,Donald J Trump,Jeb Bush,John R Kasich,7
Aaron Cohen,0,1,1,0,2,0,0,0,0,0,7
Aldridk Gessa,,0,2,0,1,0,1,0,0,0,7
Calvin Tucker,,,0,0,1,0,1,0,0,0,7
Elizabeth Havey,,,,0,0,1,0,0,0,0,7
Ted Cruz,,,,,0,0,0,0,0,0,7
Ben Carson,,,,,,0,0,0,0,0,7
Marco Rubio,,,,,,,0,0,0,0,7
Donald J Trump,,,,,,,,0,0,0,7
Jeb Bush,,,,,,,,,0,0,7
John R Kasich,,,,,,,,,,0,7
Total,2,2,2,1,2,1,1,0,0,0,7
,President Of The United States - Republican,,,,,,Delegate To The Republican National Convention 2nd District,,,,9
,Donald J Trump,John R Kasich,Ted Cruz,Ben Carson,Jeb Bush,Marco Rubio,Aaron Cohen,Calvin Tucker,Elizabeth Havey,Aldridk Gessa,9
Donald J Trump,4,0,0,0,0,0,3,3,1,1,9
John R Kasich,,3,0,0,0,0,1,1,2,0,9
Ted Cruz,,,0,0,0,0,2,2,2,1,9
Ben Carson,,,,0,0,0,0,0,0,0,9
Jeb Bush,,,,,0,0,0,0,0,0,9
Marco Rubio,,,,,,0,0,0,0,0,9
Aaron Cohen,,,,,,,0,2,3,1,9
Calvin Tucker,,,,,,,,0,2,2,9
Elizabeth Havey,,,,,,,,,0,1,9
Aldridk Gessa,,,,,,,,,,0,9
Total,9,5,4,0,0,0,6,6,5,2,9
,Delegate To The Republican National Convention 2nd District,,,,President Of The United States - Republican,,,,,,10
,Aaron Cohen,Aldridk Gessa,Calvin Tucker,Elizabeth Havey,Donald J Trump,Ben Carson,John R Kasich,Jeb Bush,Marco Rubio,Ted Cruz,10
Aaron Cohen,0,2,2,2,2,1,1,0,0,0,10
Aldridk Gessa,,0,1,1,1,1,0,0,0,0,10
Calvin Tucker,,,0,1,0,1,1,0,0,0,10
Elizabeth Havey,,,,0,1,0,1,0,0,0,10
Donald J Trump,,,,,0,0,0,0,0,0,10
Ben Carson,,,,,,0,0,0,0,0,10
John R Kasich,,,,,,,0,0,0,0,10
Jeb Bush,,,,,,,,0,0,0,10
Marco Rubio,,,,,,,,,0,0,10
Ted Cruz,,,,,,,,,,0,10
Total,4,2,2,2,2,1,1,0,0,0,10
,Delegate To The Republican National Convention 2nd District,,,,President Of The United States - Republican,,,,,,11
,Elizabeth Havey,Aaron Cohen,Calvin Tucker,Aldridk Gessa,John R Kasich,Donald J Trump,Ted Cruz,Ben Carson,Jeb Bush,Marco Rubio,11
Elizabeth Havey,0,15,13,6,9,8,4,0,0,0,11
Aaron Cohen,,0,9,4,5,9,5,0,0,0,11
Calvin Tucker,,,0,3,5,9,3,0,0,0,11
Aldridk Gessa,,,,0,5,1,3,0,0,0,11
John R Kasich,,,,,1,0,0,0,0,0,11
Donald J Trump,,,,,,0,0,0,0,0,11
Ted Cruz,,,,,,,1,0,0,0,11
Ben Carson,,,,,,,,0,0,0,11
