col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,division
,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,,,,,,,,Representative In The General Assembly 190th District - Democrat,,,,,,All
,Cindy Bass,Malcolm Kenyatta,Katherine J Gilmore,Jerry T Jordan,Vincent Hughes,Yasmeen Kaboud,Ken Washington,Mary Jo Daley,Blondell Reynolds Brown,Nicole Allen White,Mark Aronchick,Michelle W Singer,Lou Agre,Joe Foster,Heather A Steinmiller,Sherrie Cohen,Ariana Flores Gordon,Carol Rose Fleischman,Hamdi Soysal,Gwen Snyder,William Leopold,Margaret Lenzi,Tonya Diane Bah,Waleed Shahid,Vanessa L Brown,Wanda Logan,Movita Johnson Harrell,Darryl Thomas,Ray Bailey,Ted Smith,All
Cindy Bass,26,"1,149","1,125","1,055",852,274,873,884,833,811,838,805,240,728,747,189,174,144,140,144,130,130,120,109,627,536,137,117,130,12,All
Malcolm Kenyatta,,12,"1,084","1,054",837,273,837,839,812,789,818,769,243,727,730,202,175,153,150,148,155,145,136,130,573,389,112,102,94,11,All
Katherine J Gilmore,,,4,"1,013",791,251,806,835,773,771,799,771,207,706,728,172,157,134,123,125,124,129,110,98,544,366,104,87,88,11,All
Jerry T Jordan,,,,2,762,229,770,789,740,721,778,721,215,682,695,163,145,129,125,118,124,113,113,98,508,318,95,91,75,13,All
Vincent Hughes,,,,,5,158,797,758,851,776,727,745,129,725,718,145,121,107,101,112,121,123,102,103,523,239,92,85,41,9,All
Yasmeen Kaboud,,,,,,14,162,134,123,133,138,117,700,121,86,602,597,583,582,564,552,533,542,525,210,375,141,106,85,23,All
Ken Washington,,,,,,,2,799,773,787,764,777,130,716,732,153,134,103,110,110,109,112,98,90,488,243,92,75,44,10,All
Mary Jo Daley,,,,,,,,0,747,753,811,749,104,687,718,132,105,91,93,88,81,92,74,62,486,232,91,73,46,7,All
Blondell Reynolds Brown,,,,,,,,,0,766,712,751,88,706,712,113,94,77,70,89,85,98,78,78,491,219,83,72,39,8,All
Nicole Allen White,,,,,,,,,,0,726,762,105,714,718,121,109,82,87,93,98,116,89,100,463,213,78,66,47,8,All
Mark Aronchick,,,,,,,,,,,0,738,114,687,705,134,108,91,93,92,88,90,74,73,463,220,80,69,36,10,All
Michelle W Singer,,,,,,,,,,,,0,91,703,732,121,92,80,74,98,90,105,82,77,458,216,66,67,38,8,All
Lou Agre,,,,,,,,,,,,,12,97,51,578,565,548,558,527,536,508,525,506,183,279,115,83,76,18,All
Joe Foster,,,,,,,,,,,,,,0,667,109,89,74,76,87,97,101,86,92,417,191,70,63,33,10,All
Heather A Steinmiller,,,,,,,,,,,,,,,0,78,50,43,45,55,59,70,52,45,424,181,69,60,34,5,All
Sherrie Cohen,,,,,,,,,,,,,,,,0,579,581,587,541,556,536,542,511,191,224,118,79,38,19,All
Ariana Flores Gordon,,,,,,,,,,,,,,,,,1,565,558,527,523,510,513,500,166,223,119,83,47,20,All
Carol Rose Fleischman,,,,,,,,,,,,,,,,,,0,568,527,527,503,520,495,160,212,104,83,41,17,All
Hamdi Soysal,,,,,,,,,,,,,,,,,,,0,519,528,504,514,495,160,194,105,74,38,17,All
Gwen Snyder,,,,,,,,,,,,,,,,,,,,1,517,507,521,493,161,200,97,74,34,17,All
William Leopold,,,,,,,,,,,,,,,,,,,,,0,522,530,508,163,187,101,72,40,16,All
Margaret Lenzi,,,,,,,,,,,,,,,,,,,,,,0,507,497,158,183,101,72,36,17,All
Tonya Diane Bah,,,,,,,,,,,,,,,,,,,,,,,1,503,153,182,103,70,34,17,All
Waleed Shahid,,,,,,,,,,,,,,,,,,,,,,,,1,143,185,102,70,38,16,All
Vanessa L Brown,,,,,,,,,,,,,,,,,,,,,,,,,144,0,0,0,0,0,All
Wanda Logan,,,,,,,,,,,,,,,,,,,,,,,,,,79,0,0,0,0,All
Movita Johnson Harrell,,,,,,,,,,,,,,,,,,,,,,,,,,,38,0,0,0,All
Darryl Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,0,0,All
Ray Bailey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,0,All
Ted Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,All
Total,"1,682","1,384","1,288","1,182","1,041","1,028",994,978,961,917,915,892,834,821,812,728,722,671,648,641,633,623,616,608,"1,107","1,028",337,294,269,37,All
,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,,,,,,,,Representative In The General Assembly 190th District - Democrat,,,,,,4
