col_1,col_2,col_3,col_4,division
,Attorney General - Democrat,,,All
,Josh Shapiro,Stephen A Zappala Jr,John Morganelli,All
Josh Shapiro,"4,522",0,0,All
Stephen A Zappala Jr,,"4,097",0,All
John Morganelli,,,967,All
Total,"4,522","4,097",967,All
,Attorney General - Democrat,,,1
,Stephen A Zappala Jr,Josh Shapiro,John Morganelli,1
Stephen A Zappala Jr,91,0,0,1
Josh Shapiro,,54,0,1
John Morganelli,,,15,1
Total,91,54,15,1
,Attorney General - Democrat,,,2
,Stephen A Zappala Jr,Josh Shapiro,John Morganelli,2
Stephen A Zappala Jr,97,0,0,2
Josh Shapiro,,90,0,2
John Morganelli,,,17,2
Total,97,90,17,2
,Attorney General - Democrat,,,3
,Josh Shapiro,Stephen A Zappala Jr,John Morganelli,3
Josh Shapiro,76,0,0,3
Stephen A Zappala Jr,,58,0,3
John Morganelli,,,40,3
Total,76,58,40,3
,Attorney General - Democrat,,,4
,Stephen A Zappala Jr,Josh Shapiro,John Morganelli,4
Stephen A Zappala Jr,85,0,0,4
Josh Shapiro,,44,0,4
John Morganelli,,,17,4
Total,85,44,17,4
,Attorney General - Democrat,,,5
,Stephen A Zappala Jr,Josh Shapiro,John Morganelli,5
Stephen A Zappala Jr,67,0,0,5
Josh Shapiro,,50,0,5
John Morganelli,,,13,5
Total,67,50,13,5
,Attorney General - Democrat,,,6
,Stephen A Zappala Jr,Josh Shapiro,John Morganelli,6
Stephen A Zappala Jr,117,0,0,6
Josh Shapiro,,91,0,6
John Morganelli,,,28,6
Total,117,91,28,6
,Attorney General - Democrat,,,7
,Josh Shapiro,Stephen A Zappala Jr,John Morganelli,7
Josh Shapiro,103,0,0,7
Stephen A Zappala Jr,,93,0,7
John Morganelli,,,27,7
Total,103,93,27,7
,Attorney General - Democrat,,,8
,Josh Shapiro,Stephen A Zappala Jr,John Morganelli,8
Josh Shapiro,129,0,0,8
Stephen A Zappala Jr,,109,0,8
John Morganelli,,,29,8
Total,129,109,29,8
,Attorney General - Democrat,,,9
,Stephen A Zappala Jr,Josh Shapiro,John Morganelli,9
Stephen A Zappala Jr,83,0,0,9
Josh Shapiro,,61,0,9
John Morganelli,,,12,9
Total,83,61,12,9
,Attorney General - Democrat,,,10
,Stephen A Zappala Jr,Josh Shapiro,John Morganelli,10
Stephen A Zappala Jr,113,0,0,10
Josh Shapiro,,109,0,10
John Morganelli,,,27,10
Total,113,109,27,10
,Attorney General - Democrat,,,11
,Stephen A Zappala Jr,Josh Shapiro,John Morganelli,11
Stephen A Zappala Jr,115,0,0,11
Josh Shapiro,,114,0,11
John Morganelli,,,37,11
Total,115,114,37,11
,Attorney General - Democrat,,,12
,Stephen A Zappala Jr,Josh Shapiro,John Morganelli,12
Stephen A Zappala Jr,178,0,0,12
Josh Shapiro,,121,0,12
John Morganelli,,,36,12
Total,178,121,36,12
,Attorney General - Democrat,,,13
,Josh Shapiro,Stephen A Zappala Jr,John Morganelli,13
Josh Shapiro,134,0,0,13
Stephen A Zappala Jr,,74,0,13
John Morganelli,,,27,13
Total,134,74,27,13
,Attorney General - Democrat,,,14
,Josh Shapiro,Stephen A Zappala Jr,John Morganelli,14
Josh Shapiro,151,0,0,14
Stephen A Zappala Jr,,121,0,14
John Morganelli,,,34,14
Total,151,121,34,14
,Attorney General - Democrat,,,15
,Stephen A Zappala Jr,Josh Shapiro,John Morganelli,15
Stephen A Zappala Jr,139,0,0,15
Josh Shapiro,,111,0,15
John Morganelli,,,11,15
Total,139,111,11,15
,Attorney General - Democrat,,,16
,Josh Shapiro,Stephen A Zappala Jr,John Morganelli,16
Josh Shapiro,68,0,0,16
Stephen A Zappala Jr,,56,0,16
John Morganelli,,,24,16
Total,68,56,24,16
,Attorney General - Democrat,,,17
,Josh Shapiro,Stephen A Zappala Jr,John Morganelli,17
Josh Shapiro,109,0,0,17
Stephen A Zappala Jr,,76,0,17
John Morganelli,,,34,17
Total,109,76,34,17
,Attorney General - Democrat,,,18
,Josh Shapiro,Stephen A Zappala Jr,John Morganelli,18
Josh Shapiro,136,0,0,18
Stephen A Zappala Jr,,99,0,18
John Morganelli,,,17,18
Total,136,99,17,18
,Attorney General - Democrat,,,19
,Josh Shapiro,Stephen A Zappala Jr,John Morganelli,19
Josh Shapiro,177,0,0,19
Stephen A Zappala Jr,,138,0,19
John Morganelli,,,40,19
Total,177,138,40,19
,Attorney General - Democrat,,,20
,Josh Shapiro,Stephen A Zappala Jr,John Morganelli,20
Josh Shapiro,135,0,0,20
Stephen A Zappala Jr,,96,0,20
John Morganelli,,,19,20
Total,135,96,19,20
,Attorney General - Democrat,,,21
,Josh Shapiro,Stephen A Zappala Jr,John Morganelli,21
Josh Shapiro,159,0,0,21
Stephen A Zappala Jr,,126,0,21
John Morganelli,,,34,21
Total,159,126,34,21
,Attorney General - Democrat,,,22
,Josh Shapiro,Stephen A Zappala Jr,John Morganelli,22
Josh Shapiro,109,0,0,22
Stephen A Zappala Jr,,90,0,22
John Morganelli,,,23,22
Total,109,90,23,22
,Attorney General - Democrat,,,23
,Josh Shapiro,Stephen A Zappala Jr,John Morganelli,23
Josh Shapiro,162,0,0,23
Stephen A Zappala Jr,,71,0,23
John Morganelli,,,17,23
Total,162,71,17,23
,Attorney General - Democrat,,,24
,Josh Shapiro,Stephen A Zappala Jr,John Morganelli,24
Josh Shapiro,157,0,0,24
Stephen A Zappala Jr,,135,0,24
John Morganelli,,,27,24
Total,157,135,27,24
,Attorney General - Democrat,,,25
,Josh Shapiro,Stephen A Zappala Jr,John Morganelli,25
Josh Shapiro,128,0,0,25
Stephen A Zappala Jr,,82,0,25
John Morganelli,,,15,25
Total,128,82,15,25
,Attorney General - Democrat,,,26
,Josh Shapiro,Stephen A Zappala Jr,John Morganelli,26
Josh Shapiro,58,0,0,26
Stephen A Zappala Jr,,49,0,26
John Morganelli,,,20,26
Total,58,49,20,26
,Attorney General - Democrat,,,27
,Josh Shapiro,Stephen A Zappala Jr,John Morganelli,27
Josh Shapiro,113,0,0,27
Stephen A Zappala Jr,,108,0,27
John Morganelli,,,19,27
Total,113,108,19,27
,Attorney General - Democrat,,,28
,Josh Shapiro,Stephen A Zappala Jr,John Morganelli,28
Josh Shapiro,122,0,0,28
Stephen A Zappala Jr,,87,0,28
John Morganelli,,,35,28
Total,122,87,35,28
,Attorney General - Democrat,,,29
,Josh Shapiro,Stephen A Zappala Jr,John Morganelli,29
Josh Shapiro,153,0,0,29
Stephen A Zappala Jr,,77,0,29
John Morganelli,,,27,29
Total,153,77,27,29
,Attorney General - Democrat,,,30
,Josh Shapiro,Stephen A Zappala Jr,John Morganelli,30
Josh Shapiro,130,0,0,30
Stephen A Zappala Jr,,116,0,30
John Morganelli,,,17,30
Total,130,116,17,30
,Attorney General - Democrat,,,31
,Josh Shapiro,Stephen A Zappala Jr,John Morganelli,31
Josh Shapiro,124,0,0,31
Stephen A Zappala Jr,,121,0,31
John Morganelli,,,26,31
Total,124,121,26,31
,Attorney General - Democrat,,,32
,Josh Shapiro,Stephen A Zappala Jr,John Morganelli,32
Josh Shapiro,98,0,0,32
