col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,division
,President Of The United States - Republican,,,,,,Delegate To The Republican National Convention 13th District,,,,,,,All
,Donald J Trump,Ted Cruz,John R Kasich,Marco Rubio,Jeb Bush,Ben Carson,Gilbert Cox,Tom Ellis,Michael J Mcmonagle,Lauren E Casper,Shannon Oscar,Alan Apt,Pam Levy,All
Donald J Trump,"3,564",0,0,0,0,0,"4,117","4,086","2,778","3,678","2,251","1,655","1,688",All
Ted Cruz,,"1,064",0,0,0,0,763,369,"1,032",379,"1,129",835,617,All
John R Kasich,,,913,0,0,0,500,539,946,481,823,485,669,All
Marco Rubio,,,,87,0,0,50,26,36,38,73,60,33,All
Jeb Bush,,,,,35,0,25,16,22,19,37,31,28,All
Ben Carson,,,,,,37,16,15,28,23,31,15,32,All
Gilbert Cox,,,,,,,10,"2,879",845,"2,833","1,376","1,155",577,All
Tom Ellis,,,,,,,,8,"1,416","2,947",509,376,677,All
Michael J Mcmonagle,,,,,,,,,13,"1,054","1,022",490,"1,042",All
Lauren E Casper,,,,,,,,,,8,776,285,554,All
Shannon Oscar,,,,,,,,,,,8,"1,813","1,412",All
Alan Apt,,,,,,,,,,,,8,880,All
Pam Levy,,,,,,,,,,,,,8,All
Total,"12,256","3,560","2,904",242,120,113,"5,528","5,100","4,878","4,667","4,394","3,121","3,107",All
