col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,division
,Senator In The General Assembly 7th District - Democrat,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,,,,,,,,All
,Vincent Hughes,Yasmeen Kaboud,Lou Agre,Ariana Flores Gordon,Carol Rose Fleischman,Hamdi Soysal,Sherrie Cohen,Gwen Snyder,Tonya Diane Bah,Margaret Lenzi,Waleed Shahid,William Leopold,Cindy Bass,Malcolm Kenyatta,Katherine J Gilmore,Jerry T Jordan,Mary Jo Daley,Ken Washington,Mark Aronchick,Michelle W Singer,Vincent Hughes,Nicole Allen White,Heather A Steinmiller,Blondell Reynolds Brown,Joe Foster,All
Vincent Hughes,38,375,330,318,309,309,308,307,296,297,295,292,262,261,242,245,227,223,216,212,205,202,195,192,193,All
Yasmeen Kaboud,,9,380,359,351,347,344,340,339,329,337,334,62,76,69,70,56,56,46,50,38,41,30,31,43,All
Lou Agre,,,1,346,343,338,336,329,328,322,324,328,51,64,50,62,43,44,40,39,31,31,22,22,34,All
Ariana Flores Gordon,,,,1,351,344,346,340,334,326,330,330,46,61,49,56,45,43,37,37,25,32,20,21,30,All
Carol Rose Fleischman,,,,,0,339,344,335,326,322,318,321,41,53,46,50,40,38,33,35,22,29,20,18,30,All
Hamdi Soysal,,,,,,0,335,328,326,320,327,328,46,60,49,55,42,43,38,39,28,33,21,23,34,All
Sherrie Cohen,,,,,,,1,329,327,323,320,318,41,56,44,51,42,36,33,35,27,32,20,21,30,All
Gwen Snyder,,,,,,,,0,329,328,322,322,39,52,42,46,38,37,37,38,27,35,19,22,30,All
Tonya Diane Bah,,,,,,,,,0,323,321,321,33,46,36,43,33,34,32,35,26,32,20,21,28,All
Margaret Lenzi,,,,,,,,,,0,322,319,32,48,38,42,32,30,29,36,25,35,20,26,30,All
Waleed Shahid,,,,,,,,,,,0,328,29,47,36,45,30,33,27,32,24,31,15,23,29,All
William Leopold,,,,,,,,,,,,0,33,51,40,46,32,33,30,31,26,28,15,21,28,All
Cindy Bass,,,,,,,,,,,,,5,240,247,237,239,226,219,210,210,205,206,200,194,All
Malcolm Kenyatta,,,,,,,,,,,,,,2,239,251,227,221,221,206,207,197,202,200,191,All
Katherine J Gilmore,,,,,,,,,,,,,,,1,236,233,220,214,208,204,203,202,198,194,All
Jerry T Jordan,,,,,,,,,,,,,,,,0,223,218,220,203,201,193,198,192,189,All
Mary Jo Daley,,,,,,,,,,,,,,,,,1,223,222,209,209,207,203,197,198,All
Ken Washington,,,,,,,,,,,,,,,,,,0,213,208,212,201,203,197,200,All
Mark Aronchick,,,,,,,,,,,,,,,,,,,1,199,197,193,198,191,187,All
Michelle W Singer,,,,,,,,,,,,,,,,,,,,0,194,196,200,187,187,All
Vincent Hughes,,,,,,,,,,,,,,,,,,,,,0,200,197,200,197,All
Nicole Allen White,,,,,,,,,,,,,,,,,,,,,,0,192,195,190,All
Heather A Steinmiller,,,,,,,,,,,,,,,,,,,,,,,1,192,186,All
Blondell Reynolds Brown,,,,,,,,,,,,,,,,,,,,,,,,0,184,All
Joe Foster,,,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,659,457,401,383,370,369,369,368,358,357,353,350,298,292,275,272,259,248,242,235,230,228,219,217,216,All
,Senator In The General Assembly 7th District - Democrat,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,,,,,,,,3
,Vincent Hughes,Yasmeen Kaboud,Lou Agre,Carol Rose Fleischman,Ariana Flores Gordon,Hamdi Soysal,William Leopold,Margaret Lenzi,Sherrie Cohen,Gwen Snyder,Tonya Diane Bah,Waleed Shahid,Cindy Bass,Katherine J Gilmore,Mary Jo Daley,Michelle W Singer,Jerry T Jordan,Malcolm Kenyatta,Ken Washington,Heather A Steinmiller,Joe Foster,Mark Aronchick,Blondell Reynolds Brown,Nicole Allen White,Vincent Hughes,3
Vincent Hughes,4,64,56,55,52,52,53,54,52,51,48,50,48,47,46,48,46,46,43,42,41,40,39,37,38,3
Yasmeen Kaboud,,0,65,62,62,62,61,57,58,57,58,58,13,14,13,13,12,11,12,9,12,9,6,9,8,3
Lou Agre,,,0,60,61,62,60,56,57,56,57,57,11,12,11,11,10,9,10,7,10,7,4,7,6,3
Carol Rose Fleischman,,,,0,59,59,57,54,58,55,55,54,9,11,10,11,10,8,8,7,9,7,3,6,4,3
Ariana Flores Gordon,,,,,0,60,59,56,58,55,57,57,6,8,7,8,7,5,5,4,6,4,1,5,1,3
Hamdi Soysal,,,,,,0,59,55,57,56,56,56,8,9,8,8,7,6,7,4,7,5,2,5,3,3
William Leopold,,,,,,,0,56,55,56,56,57,8,8,8,7,7,6,7,3,8,6,3,5,4,3
Margaret Lenzi,,,,,,,,0,55,56,54,55,6,8,6,9,8,7,6,5,6,5,5,6,4,3
Sherrie Cohen,,,,,,,,,0,55,55,54,6,8,7,9,7,6,6,5,7,4,3,6,2,3
Gwen Snyder,,,,,,,,,,0,54,54,7,8,6,8,6,6,6,3,6,6,4,6,4,3
Tonya Diane Bah,,,,,,,,,,,0,54,4,6,6,6,4,2,5,2,7,4,1,5,2,3
Waleed Shahid,,,,,,,,,,,,0,5,6,5,6,5,4,5,2,6,2,2,5,2,3
Cindy Bass,,,,,,,,,,,,,0,47,47,44,44,46,43,42,39,42,40,38,41,3
Katherine J Gilmore,,,,,,,,,,,,,,1,45,44,43,44,41,43,38,41,37,38,39,3
