col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,division
,Auditor General - Democrat,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,,,,,,,,All
,Eugene A Depasquale,Cindy Bass,Malcolm Kenyatta,Katherine J Gilmore,Jerry T Jordan,Ken Washington,Vincent Hughes,Mary Jo Daley,Blondell Reynolds Brown,Mark Aronchick,Nicole Allen White,Michelle W Singer,Heather A Steinmiller,Joe Foster,Yasmeen Kaboud,Lou Agre,Ariana Flores Gordon,Sherrie Cohen,Carol Rose Fleischman,Gwen Snyder,Hamdi Soysal,Waleed Shahid,William Leopold,Tonya Diane Bah,Margaret Lenzi,All
Eugene A Depasquale,184,"2,241","1,715","1,623","1,549","1,290","1,272","1,271","1,225","1,208","1,185","1,151","1,107","1,087",994,882,671,646,622,599,589,580,569,571,551,All
Cindy Bass,,287,"1,923","1,836","1,777","1,450","1,432","1,440","1,396","1,365","1,343","1,300","1,261","1,236",501,483,301,302,271,257,236,223,241,225,218,All
Malcolm Kenyatta,,,31,"1,741","1,724","1,350","1,333","1,344","1,290","1,297","1,247","1,232","1,201","1,179",477,431,268,276,231,230,218,203,219,198,191,All
Katherine J Gilmore,,,,28,"1,650","1,295","1,245","1,320","1,211","1,273","1,211","1,214","1,189","1,155",410,369,212,218,198,190,178,158,170,155,157,All
Jerry T Jordan,,,,,15,"1,268","1,217","1,277","1,181","1,239","1,177","1,162","1,148","1,120",410,390,208,214,191,185,179,162,178,150,155,All
Ken Washington,,,,,,8,"1,288","1,321","1,253","1,281","1,300","1,255","1,232","1,213",223,200,184,208,165,163,144,142,160,145,139,All
Vincent Hughes,,,,,,,3,"1,255","1,346","1,207","1,272","1,212","1,185","1,198",193,164,166,178,146,145,117,154,155,128,143,All
Mary Jo Daley,,,,,,,,5,"1,215","1,324","1,233","1,228","1,203","1,169",211,191,173,193,163,151,151,129,130,128,124,All
Blondell Reynolds Brown,,,,,,,,,6,"1,177","1,232","1,199","1,168","1,173",180,144,140,177,126,141,103,137,143,120,132,All
Mark Aronchick,,,,,,,,,,1,"1,195","1,192","1,180","1,143",214,187,167,187,147,134,146,126,138,110,114,All
Nicole Allen White,,,,,,,,,,,5,"1,216","1,202","1,204",164,141,145,151,118,126,98,134,134,115,134,All
Michelle W Singer,,,,,,,,,,,,2,"1,195","1,154",153,133,115,128,106,114,88,114,113,95,109,All
Heather A Steinmiller,,,,,,,,,,,,,0,"1,138",140,119,106,122,86,94,85,104,113,97,100,All
Joe Foster,,,,,,,,,,,,,,0,127,114,105,117,93,110,82,123,116,102,112,All
Yasmeen Kaboud,,,,,,,,,,,,,,,46,853,654,610,603,583,589,538,551,540,518,All
Lou Agre,,,,,,,,,,,,,,,,26,639,598,606,576,590,528,565,536,514,All
Ariana Flores Gordon,,,,,,,,,,,,,,,,,4,622,632,589,609,539,562,547,528,All
Sherrie Cohen,,,,,,,,,,,,,,,,,,4,604,558,590,517,545,521,523,All
Carol Rose Fleischman,,,,,,,,,,,,,,,,,,,3,548,587,508,535,524,508,All
Gwen Snyder,,,,,,,,,,,,,,,,,,,,3,536,528,535,529,512,All
Hamdi Soysal,,,,,,,,,,,,,,,,,,,,,1,511,522,502,487,All
Waleed Shahid,,,,,,,,,,,,,,,,,,,,,,0,524,511,514,All
William Leopold,,,,,,,,,,,,,,,,,,,,,,,1,518,520,All
Tonya Diane Bah,,,,,,,,,,,,,,,,,,,,,,,,1,496,All
Margaret Lenzi,,,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,"3,354","3,027","2,162","2,027","1,927","1,582","1,562","1,556","1,527","1,470","1,452","1,402","1,346","1,328","1,240","1,089",828,802,757,719,710,689,688,672,659,All
,Auditor General - Democrat,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,,,,,,,,1
,Eugene A Depasquale,Cindy Bass,Malcolm Kenyatta,Jerry T Jordan,Katherine J Gilmore,Ken Washington,Vincent Hughes,Blondell Reynolds Brown,Mary Jo Daley,Mark Aronchick,Joe Foster,Nicole Allen White,Heather A Steinmiller,Michelle W Singer,Yasmeen Kaboud,Lou Agre,Ariana Flores Gordon,Gwen Snyder,Sherrie Cohen,Waleed Shahid,Margaret Lenzi,Hamdi Soysal,William Leopold,Tonya Diane Bah,Carol Rose Fleischman,1
Eugene A Depasquale,4,116,93,85,85,76,71,69,69,65,64,63,62,62,49,42,37,36,31,34,34,34,30,30,30,1
Cindy Bass,,6,111,104,102,85,87,81,85,79,77,75,76,75,28,27,20,19,19,16,15,14,14,15,17,1
Malcolm Kenyatta,,,1,102,99,85,82,77,83,78,77,76,73,74,27,21,14,15,13,11,11,11,14,11,12,1
Jerry T Jordan,,,,1,92,79,75,72,77,70,69,68,69,68,26,21,15,14,12,10,10,11,11,12,12,1
Katherine J Gilmore,,,,,2,76,75,73,76,69,69,70,65,69,20,15,13,10,10,7,10,8,9,7,11,1
Ken Washington,,,,,,1,79,76,79,74,73,75,72,74,16,11,12,10,9,6,9,8,10,6,9,1
Vincent Hughes,,,,,,,0,84,76,67,75,74,73,73,14,7,7,9,7,8,6,6,6,5,7,1
Blondell Reynolds Brown,,,,,,,,0,71,63,73,71,68,69,14,7,8,9,6,8,8,6,7,6,8,1
Mary Jo Daley,,,,,,,,,1,74,71,73,70,71,12,7,9,6,6,6,7,4,5,4,7,1
Mark Aronchick,,,,,,,,,,0,65,63,65,67,15,9,9,10,11,6,8,6,9,6,7,1
Joe Foster,,,,,,,,,,,0,70,68,69,9,5,5,7,7,6,5,3,7,4,5,1
Nicole Allen White,,,,,,,,,,,,0,69,69,11,8,10,8,8,8,7,5,7,6,7,1
Heather A Steinmiller,,,,,,,,,,,,,0,69,10,6,7,7,7,6,7,5,5,4,6,1
Michelle W Singer,,,,,,,,,,,,,,0,9,5,7,5,4,5,6,3,5,3,4,1
Yasmeen Kaboud,,,,,,,,,,,,,,,1,51,42,41,37,37,36,38,38,36,33,1
Lou Agre,,,,,,,,,,,,,,,,1,39,41,36,35,34,37,36,34,31,1
Ariana Flores Gordon,,,,,,,,,,,,,,,,,1,40,35,36,36,36,35,37,33,1
Gwen Snyder,,,,,,,,,,,,,,,,,,0,39,40,36,38,38,38,34,1
Sherrie Cohen,,,,,,,,,,,,,,,,,,,0,35,33,33,35,33,33,1
Waleed Shahid,,,,,,,,,,,,,,,,,,,,0,35,34,35,36,31,1
Margaret Lenzi,,,,,,,,,,,,,,,,,,,,,0,33,36,33,33,1
Hamdi Soysal,,,,,,,,,,,,,,,,,,,,,,0,32,33,32,1
William Leopold,,,,,,,,,,,,,,,,,,,,,,,0,33,31,1
Tonya Diane Bah,,,,,,,,,,,,,,,,,,,,,,,,0,33,1
Carol Rose Fleischman,,,,,,,,,,,,,,,,,,,,,,,,,0,1
Total,161,152,123,111,110,96,93,90,90,83,82,82,81,81,68,62,51,48,45,45,44,42,42,41,40,1
