col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,division
,Representative In The General Assembly 198th District - Democrat,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,,,,,,,,All
,Rosita C Youngblood,Cindy Bass,Malcolm Kenyatta,Katherine J Gilmore,Jerry T Jordan,Ken Washington,Vincent Hughes,Mary Jo Daley,Blondell Reynolds Brown,Mark Aronchick,Nicole Allen White,Michelle W Singer,Yasmeen Kaboud,Joe Foster,Heather A Steinmiller,Lou Agre,Ariana Flores Gordon,Sherrie Cohen,Carol Rose Fleischman,Hamdi Soysal,Gwen Snyder,Tonya Diane Bah,Waleed Shahid,William Leopold,Margaret Lenzi,All
Rosita C Youngblood,"1,335","7,978","5,882","5,599","5,252","4,503","4,315","4,320","4,165","4,078","4,057","3,867","3,730","3,751","3,692","3,252","2,630","2,581","2,379","2,261","2,290","2,221","2,196","2,181","2,136",All
Cindy Bass,,266,"5,830","5,664","5,387","4,618","4,423","4,507","4,330","4,252","4,221","4,053","1,521","3,860","3,898","1,479","1,035","1,039",876,782,831,742,706,742,731,All
Malcolm Kenyatta,,,46,"5,354","5,262","4,300","4,156","4,213","3,983","4,086","3,927","3,877","1,439","3,715","3,736","1,340",881,944,779,724,745,670,654,697,664,All
Katherine J Gilmore,,,,37,"5,076","4,104","3,911","4,160","3,823","3,999","3,817","3,805","1,271","3,635","3,701","1,135",712,756,655,599,610,514,487,534,512,All
Jerry T Jordan,,,,,20,"4,034","3,839","4,006","3,699","3,920","3,715","3,669","1,246","3,559","3,588","1,203",689,734,631,597,587,494,499,540,517,All
Ken Washington,,,,,,14,"4,068","4,167","3,932","4,034","4,082","3,915",747,"3,803","3,838",660,686,707,570,499,548,500,467,514,510,All
Vincent Hughes,,,,,,,23,"3,884","4,138","3,773","3,946","3,788",613,"3,760","3,669",525,520,612,469,390,471,459,469,507,506,All
Mary Jo Daley,,,,,,,,14,"3,726","4,137","3,864","3,816",669,"3,643","3,708",593,561,663,526,499,482,416,390,401,417,All
Blondell Reynolds Brown,,,,,,,,,10,"3,658","3,822","3,708",512,"3,623","3,612",419,412,543,373,316,384,375,366,415,420,All
Mark Aronchick,,,,,,,,,,7,"3,724","3,715",648,"3,581","3,640",587,559,644,490,467,456,376,377,422,396,All
Nicole Allen White,,,,,,,,,,,5,"3,790",526,"3,748","3,699",466,510,526,397,347,417,414,445,436,488,All
Michelle W Singer,,,,,,,,,,,,2,473,"3,599","3,686",401,368,446,336,301,368,319,328,372,378,All
Yasmeen Kaboud,,,,,,,,,,,,,65,488,410,"2,964","2,427","2,315","2,251","2,231","2,180","2,101","2,094","2,066","1,965",All
Joe Foster,,,,,,,,,,,,,,2,"3,512",438,397,468,354,331,393,384,433,435,448,All
Heather A Steinmiller,,,,,,,,,,,,,,,0,338,305,390,271,254,272,289,283,312,337,All
Lou Agre,,,,,,,,,,,,,,,,45,"2,356","2,284","2,248","2,206","2,144","2,067","1,994","2,078","1,954",All
Ariana Flores Gordon,,,,,,,,,,,,,,,,,11,"2,370","2,341","2,285","2,208","2,113","2,066","2,090","1,998",All
Sherrie Cohen,,,,,,,,,,,,,,,,,,8,"2,276","2,250","2,152","2,078","2,012","2,100","2,013",All
Carol Rose Fleischman,,,,,,,,,,,,,,,,,,,8,"2,214","2,088","2,046","1,936","2,006","1,921",All
Hamdi Soysal,,,,,,,,,,,,,,,,,,,,1,"2,049","1,992","1,955","2,001","1,890",All
Gwen Snyder,,,,,,,,,,,,,,,,,,,,,4,"2,028","1,993","2,029","1,944",All
Tonya Diane Bah,,,,,,,,,,,,,,,,,,,,,,4,"1,985","2,027","1,948",All
Waleed Shahid,,,,,,,,,,,,,,,,,,,,,,,2,"2,007","1,963",All
William Leopold,,,,,,,,,,,,,,,,,,,,,,,,4,"2,000",All
Margaret Lenzi,,,,,,,,,,,,,,,,,,,,,,,,,1,All
Total,"13,046","9,061","6,647","6,313","5,913","5,110","4,922","4,898","4,721","4,633","4,602","4,384","4,253","4,231","4,207","3,727","3,036","2,992","2,756","2,631","2,625","2,559","2,538","2,517","2,475",All
