col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,division
,Delegate To The Democratic National Convention 1st District,,,,,,,,,,,,,,,,Representative In The General Assembly 182nd District - Democrat,,,,All
,Thaddeus Kirkland,Anne Wakabayashi,Blake Rutherford,Jennifer Lentz,Maria Quinones Sanchez,Leanne Krueger Braneky,Cathy Brady,Ryan N Boyer,Angel Cruz,Ted Kirsch,H Douglass Brown,Amanda Mcillmurray,Peter Cutty,Kat Richter,Katherine Hunter Snyder,Jacob Adeniran,Brian Sims,Ben Waxman,Lou Lanni,Marni Snyder,All
Thaddeus Kirkland,12,"1,118","1,142","1,061","1,057","1,054","1,016","1,029",985,976,207,217,210,171,161,131,597,380,167,126,All
Anne Wakabayashi,,1,"1,060","1,074","1,050","1,049","1,003","1,011",967,957,190,216,186,172,168,134,568,329,115,128,All
Blake Rutherford,,,2,"1,025",987,986,988,"1,003",950,938,171,171,169,134,131,104,545,332,125,116,All
Jennifer Lentz,,,,1,"1,013","1,008",996,980,970,954,192,231,197,182,177,143,553,318,105,122,All
Maria Quinones Sanchez,,,,,1,"1,017",980,940,980,957,164,181,159,158,168,132,550,311,109,119,All
Leanne Krueger Braneky,,,,,,0,984,945,955,945,146,174,150,143,137,120,533,310,101,109,All
Cathy Brady,,,,,,,0,936,945,918,131,152,121,111,121,89,526,298,92,103,All
Ryan N Boyer,,,,,,,,0,906,912,153,161,154,134,126,101,523,291,102,104,All
Angel Cruz,,,,,,,,,0,931,123,145,129,132,132,109,516,277,92,112,All
Ted Kirsch,,,,,,,,,,0,107,123,108,110,119,102,504,272,90,105,All
H Douglass Brown,,,,,,,,,,,18,856,874,797,791,766,342,301,149,114,All
Amanda Mcillmurray,,,,,,,,,,,,4,833,819,807,785,336,299,119,115,All
Peter Cutty,,,,,,,,,,,,,5,780,760,753,323,283,131,111,All
Kat Richter,,,,,,,,,,,,,,2,782,756,319,250,108,107,All
Katherine Hunter Snyder,,,,,,,,,,,,,,,2,762,317,257,97,111,All
Jacob Adeniran,,,,,,,,,,,,,,,,1,300,245,95,95,All
Brian Sims,,,,,,,,,,,,,,,,,63,0,0,0,All
Ben Waxman,,,,,,,,,,,,,,,,,,47,0,0,All
Lou Lanni,,,,,,,,,,,,,,,,,,,21,0,All
Marni Snyder,,,,,,,,,,,,,,,,,,,,8,All
Total,"1,388","1,242","1,219","1,189","1,182","1,140","1,099","1,098","1,075","1,049","1,041",976,962,884,883,827,976,720,328,247,All
,Delegate To The Democratic National Convention 1st District,,,,,,,,,,,,,,,,Representative In The General Assembly 182nd District - Democrat,,,,6
,Thaddeus Kirkland,Anne Wakabayashi,Jennifer Lentz,Blake Rutherford,Maria Quinones Sanchez,Leanne Krueger Braneky,Cathy Brady,Angel Cruz,Ted Kirsch,Ryan N Boyer,H Douglass Brown,Amanda Mcillmurray,Peter Cutty,Katherine Hunter Snyder,Kat Richter,Jacob Adeniran,Brian Sims,Ben Waxman,Lou Lanni,Marni Snyder,6
Thaddeus Kirkland,1,179,171,178,172,174,165,154,156,145,30,38,32,25,25,19,92,51,21,23,6
Anne Wakabayashi,,0,169,168,168,169,161,156,152,141,33,37,33,27,27,19,88,46,17,22,6
Jennifer Lentz,,,0,165,159,163,158,155,152,141,28,39,32,25,28,18,90,41,17,22,6
Blake Rutherford,,,,0,156,159,159,150,148,144,23,29,26,15,17,13,84,45,20,19,6
Maria Quinones Sanchez,,,,,0,167,155,153,154,134,22,29,24,26,24,18,86,40,18,23,6
