col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,division
,Representative In The General Assembly 191st District - Democrat,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,,,,,,,,All
,Joanna Mcclinton,Cindy Bass,Malcolm Kenyatta,Katherine J Gilmore,Jerry T Jordan,Vincent Hughes,Ken Washington,Yasmeen Kaboud,Blondell Reynolds Brown,Mark Aronchick,Mary Jo Daley,Nicole Allen White,Lou Agre,Michelle W Singer,Joe Foster,Heather A Steinmiller,Ariana Flores Gordon,Sherrie Cohen,Carol Rose Fleischman,Waleed Shahid,William Leopold,Gwen Snyder,Margaret Lenzi,Hamdi Soysal,Tonya Diane Bah,All
Joanna Mcclinton,38,253,198,186,179,175,161,151,150,147,147,149,144,140,130,118,108,96,97,95,92,86,86,81,86,All
Cindy Bass,,10,174,174,169,144,157,48,136,141,143,142,59,134,120,119,37,32,30,29,27,23,23,13,19,All
Malcolm Kenyatta,,,2,170,161,133,138,52,129,130,128,130,44,127,116,111,33,33,27,26,28,25,27,21,23,All
Katherine J Gilmore,,,,0,159,133,137,44,128,130,132,128,37,126,115,115,26,24,16,18,22,13,23,12,17,All
Jerry T Jordan,,,,,2,127,132,49,123,125,123,122,45,118,114,110,30,33,23,25,28,22,26,17,20,All
Vincent Hughes,,,,,,3,139,25,146,126,127,128,26,130,119,118,26,27,20,23,25,20,22,12,21,All
Ken Washington,,,,,,,0,23,135,139,141,143,33,138,122,118,33,26,28,27,24,23,23,11,21,All
Yasmeen Kaboud,,,,,,,,8,20,20,17,22,115,15,19,12,87,83,77,78,82,73,71,78,73,All
Blondell Reynolds Brown,,,,,,,,,0,122,125,129,21,124,118,113,20,22,16,20,22,15,21,7,18,All
Mark Aronchick,,,,,,,,,,0,134,128,30,126,115,115,27,25,24,21,18,17,19,13,14,All
Mary Jo Daley,,,,,,,,,,,0,128,18,121,117,117,20,22,16,14,15,11,15,9,10,All
Nicole Allen White,,,,,,,,,,,,0,30,131,121,114,31,23,27,26,24,22,23,11,17,All
Lou Agre,,,,,,,,,,,,,2,23,20,14,88,79,83,74,78,74,71,74,70,All
Michelle W Singer,,,,,,,,,,,,,,0,112,113,25,19,20,23,18,20,19,7,12,All
Joe Foster,,,,,,,,,,,,,,,0,105,20,17,17,21,19,16,18,8,13,All
Heather A Steinmiller,,,,,,,,,,,,,,,,0,11,14,9,11,14,9,15,5,9,All
Ariana Flores Gordon,,,,,,,,,,,,,,,,,0,81,89,78,77,79,69,79,69,All
Sherrie Cohen,,,,,,,,,,,,,,,,,,0,75,74,77,70,73,79,70,All
Carol Rose Fleischman,,,,,,,,,,,,,,,,,,,0,75,71,78,64,76,69,All
Waleed Shahid,,,,,,,,,,,,,,,,,,,,0,73,70,67,68,67,All
William Leopold,,,,,,,,,,,,,,,,,,,,,0,68,75,69,75,All
Gwen Snyder,,,,,,,,,,,,,,,,,,,,,,0,64,71,68,All
Margaret Lenzi,,,,,,,,,,,,,,,,,,,,,,,0,68,69,All
Hamdi Soysal,,,,,,,,,,,,,,,,,,,,,,,,0,70,All
Tonya Diane Bah,,,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,481,282,221,204,195,193,173,167,162,160,159,159,156,152,137,127,116,106,105,100,98,94,91,90,90,All
,Representative In The General Assembly 191st District - Democrat,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,,,,,,,,7
,Joanna Mcclinton,Cindy Bass,Malcolm Kenyatta,Jerry T Jordan,Katherine J Gilmore,Vincent Hughes,Ken Washington,Blondell Reynolds Brown,Michelle W Singer,Nicole Allen White,Mark Aronchick,Yasmeen Kaboud,Joe Foster,Mary Jo Daley,Lou Agre,Heather A Steinmiller,Ariana Flores Gordon,Carol Rose Fleischman,Sherrie Cohen,William Leopold,Margaret Lenzi,Gwen Snyder,Waleed Shahid,Tonya Diane Bah,Hamdi Soysal,7
Joanna Mcclinton,9,100,81,78,77,75,69,67,66,66,61,59,60,58,57,55,49,43,42,40,39,38,38,35,32,7
Cindy Bass,,5,70,69,70,63,66,60,61,60,58,19,54,57,24,54,19,14,17,14,13,12,12,8,5,7
Malcolm Kenyatta,,,0,66,66,58,58,56,56,58,56,22,52,50,19,49,15,11,17,15,15,12,13,11,8,7
Jerry T Jordan,,,,0,66,58,58,55,56,53,53,22,52,50,21,49,15,11,18,16,16,11,12,11,7,7
Katherine J Gilmore,,,,,0,59,58,57,59,56,55,18,51,53,18,52,15,8,13,13,14,7,7,7,5,7
Vincent Hughes,,,,,,0,62,65,60,57,51,11,52,53,14,53,14,11,16,14,13,9,10,10,5,7
Ken Washington,,,,,,,0,57,62,61,56,13,54,55,17,53,18,14,12,12,13,12,11,8,6,7
Blondell Reynolds Brown,,,,,,,,0,56,57,51,10,53,52,13,53,12,9,13,12,11,7,7,7,3,7
Michelle W Singer,,,,,,,,,0,61,57,8,53,53,13,52,15,11,11,11,12,10,11,5,4,7
Nicole Allen White,,,,,,,,,,0,55,10,55,52,14,51,15,12,11,12,12,11,11,6,4,7
Mark Aronchick,,,,,,,,,,,0,8,50,54,13,51,12,9,11,9,11,8,7,5,6,7
Yasmeen Kaboud,,,,,,,,,,,,2,11,6,47,5,38,30,32,34,31,31,31,29,29,7
Joe Foster,,,,,,,,,,,,,0,51,12,48,11,9,11,10,11,10,9,6,5,7
Mary Jo Daley,,,,,,,,,,,,,,0,8,52,9,6,9,6,7,4,1,1,4,7
Lou Agre,,,,,,,,,,,,,,,1,8,39,36,30,32,29,31,31,30,28,7
Heather A Steinmiller,,,,,,,,,,,,,,,,0,8,5,7,8,9,3,2,5,2,7
Ariana Flores Gordon,,,,,,,,,,,,,,,,,0,38,34,33,30,34,34,29,31,7
Carol Rose Fleischman,,,,,,,,,,,,,,,,,,0,31,29,28,35,33,31,31,7
Sherrie Cohen,,,,,,,,,,,,,,,,,,,0,32,32,30,31,28,29,7
William Leopold,,,,,,,,,,,,,,,,,,,,0,31,29,31,31,27,7
Margaret Lenzi,,,,,,,,,,,,,,,,,,,,,0,28,30,29,28,7
Gwen Snyder,,,,,,,,,,,,,,,,,,,,,,0,32,31,28,7
Waleed Shahid,,,,,,,,,,,,,,,,,,,,,,,0,29,28,7
Tonya Diane Bah,,,,,,,,,,,,,,,,,,,,,,,,0,29,7
Hamdi Soysal,,,,,,,,,,,,,,,,,,,,,,,,,0,7
Total,171,110,87,81,80,78,73,69,69,68,64,62,61,60,59,56,51,46,45,43,41,40,40,36,35,7
,Representative In The General Assembly 191st District - Democrat,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,,,,,,,,19
,Joanna Mcclinton,Cindy Bass,Vincent Hughes,Malcolm Kenyatta,Katherine J Gilmore,Ken Washington,Mary Jo Daley,Blondell Reynolds Brown,Jerry T Jordan,Nicole Allen White,Mark Aronchick,Lou Agre,Michelle W Singer,Joe Foster,Yasmeen Kaboud,Heather A Steinmiller,Ariana Flores Gordon,Waleed Shahid,Carol Rose Fleischman,Sherrie Cohen,William Leopold,Tonya Diane Bah,Gwen Snyder,Margaret Lenzi,Hamdi Soysal,19
Joanna Mcclinton,18,80,59,55,48,51,48,47,47,48,44,43,43,41,37,35,27,28,24,23,25,23,21,23,19,19
Cindy Bass,,2,44,51,50,53,47,44,51,48,46,24,43,38,12,37,9,10,8,6,8,4,6,7,1,19
Vincent Hughes,,,1,41,40,47,44,49,40,41,44,8,43,40,6,37,7,7,4,6,7,5,7,7,3,19
Malcolm Kenyatta,,,,2,50,42,43,40,46,40,38,12,40,34,12,36,6,6,4,5,6,3,6,7,3,19
Katherine J Gilmore,,,,,0,42,42,39,45,40,39,11,40,35,11,36,4,5,2,3,6,3,4,7,2,19
Ken Washington,,,,,,0,49,46,42,50,48,10,47,40,3,39,8,10,7,5,7,3,5,6,0,19
Mary Jo Daley,,,,,,,0,44,42,45,44,5,42,38,3,38,7,7,4,5,6,2,4,6,1,19
Blondell Reynolds Brown,,,,,,,,0,39,44,41,5,40,37,4,36,5,6,3,5,6,4,4,7,2,19
Jerry T Jordan,,,,,,,,,1,39,38,12,36,35,11,35,6,8,4,5,7,2,5,7,2,19
Nicole Allen White,,,,,,,,,,0,44,12,45,39,6,38,11,11,9,7,9,5,8,9,3,19
Mark Aronchick,,,,,,,,,,,0,9,44,37,3,38,8,9,7,5,4,1,5,5,1,19
Lou Agre,,,,,,,,,,,,0,8,6,31,4,22,22,22,21,21,21,20,19,19,19
Michelle W Singer,,,,,,,,,,,,,0,36,3,38,7,9,7,5,5,2,6,5,1,19
Joe Foster,,,,,,,,,,,,,,0,4,33,7,8,5,3,8,3,5,6,2,19
Yasmeen Kaboud,,,,,,,,,,,,,,,3,3,20,20,19,22,22,22,18,19,21,19
Heather A Steinmiller,,,,,,,,,,,,,,,,0,2,5,2,3,4,0,4,5,1,19
Ariana Flores Gordon,,,,,,,,,,,,,,,,,0,23,24,19,20,19,20,18,19,19
