col_1,col_2,col_3,col_4,col_5,col_6,col_7,division
,President Of The United States - Republican,,,,,,All
,Donald J Trump,John R Kasich,Ted Cruz,Marco Rubio,Ben Carson,Jeb Bush,All
Donald J Trump,142,0,0,0,0,0,All
John R Kasich,,97,0,0,0,0,All
Ted Cruz,,,67,0,0,0,All
Marco Rubio,,,,6,0,0,All
Ben Carson,,,,,2,0,All
Jeb Bush,,,,,,0,All
Total,142,97,67,6,2,0,All
,President Of The United States - Republican,,,,,,3
,John R Kasich,Ben Carson,Donald J Trump,Jeb Bush,Marco Rubio,Ted Cruz,3
John R Kasich,1,0,0,0,0,0,3
Ben Carson,,0,0,0,0,0,3
Donald J Trump,,,0,0,0,0,3
Jeb Bush,,,,0,0,0,3
Marco Rubio,,,,,0,0,3
Ted Cruz,,,,,,0,3
Total,1,0,0,0,0,0,3
,President Of The United States - Republican,,,,,,5
,Donald J Trump,Ben Carson,Jeb Bush,John R Kasich,Marco Rubio,Ted Cruz,5
Donald J Trump,1,0,0,0,0,0,5
Ben Carson,,0,0,0,0,0,5
Jeb Bush,,,0,0,0,0,5
John R Kasich,,,,0,0,0,5
Marco Rubio,,,,,0,0,5
Ted Cruz,,,,,,0,5
Total,1,0,0,0,0,0,5
,President Of The United States - Republican,,,,,,7
,Ted Cruz,Ben Carson,Marco Rubio,Donald J Trump,Jeb Bush,John R Kasich,7
Ted Cruz,2,0,0,0,0,0,7
Ben Carson,,1,0,0,0,0,7
Marco Rubio,,,1,0,0,0,7
Donald J Trump,,,,0,0,0,7
Jeb Bush,,,,,0,0,7
John R Kasich,,,,,,0,7
Total,2,1,1,0,0,0,7
,President Of The United States - Republican,,,,,,9
,Donald J Trump,John R Kasich,Ted Cruz,Ben Carson,Jeb Bush,Marco Rubio,9
Donald J Trump,9,0,0,0,0,0,9
John R Kasich,,5,0,0,0,0,9
Ted Cruz,,,4,0,0,0,9
Ben Carson,,,,0,0,0,9
Jeb Bush,,,,,0,0,9
Marco Rubio,,,,,,0,9
Total,9,5,4,0,0,0,9
,President Of The United States - Republican,,,,,,10
,Donald J Trump,Ben Carson,John R Kasich,Jeb Bush,Marco Rubio,Ted Cruz,10
Donald J Trump,2,0,0,0,0,0,10
Ben Carson,,1,0,0,0,0,10
John R Kasich,,,1,0,0,0,10
Jeb Bush,,,,0,0,0,10
Marco Rubio,,,,,0,0,10
Ted Cruz,,,,,,0,10
Total,2,1,1,0,0,0,10
,President Of The United States - Republican,,,,,,11
,John R Kasich,Donald J Trump,Ted Cruz,Ben Carson,Jeb Bush,Marco Rubio,11
John R Kasich,13,0,0,0,0,0,11
Donald J Trump,,11,0,0,0,0,11
Ted Cruz,,,9,0,0,0,11
Ben Carson,,,,0,0,0,11
Jeb Bush,,,,,0,0,11
Marco Rubio,,,,,,0,11
Total,13,11,9,0,0,0,11
,President Of The United States - Republican,,,,,,12
,Donald J Trump,Ted Cruz,John R Kasich,Marco Rubio,Ben Carson,Jeb Bush,12
Donald J Trump,11,0,0,0,0,0,12
Ted Cruz,,6,0,0,0,0,12
John R Kasich,,,2,0,0,0,12
Marco Rubio,,,,1,0,0,12
Ben Carson,,,,,0,0,12
Jeb Bush,,,,,,0,12
Total,11,6,2,1,0,0,12
,President Of The United States - Republican,,,,,,13
,Donald J Trump,John R Kasich,Ted Cruz,Marco Rubio,Ben Carson,Jeb Bush,13
Donald J Trump,22,0,0,0,0,0,13
John R Kasich,,15,0,0,0,0,13
Ted Cruz,,,8,0,0,0,13
Marco Rubio,,,,2,0,0,13
Ben Carson,,,,,0,0,13
Jeb Bush,,,,,,0,13
Total,22,15,8,2,0,0,13
,President Of The United States - Republican,,,,,,14
,Donald J Trump,John R Kasich,Ted Cruz,Ben Carson,Jeb Bush,Marco Rubio,14
Donald J Trump,14,0,0,0,0,0,14
John R Kasich,,14,0,0,0,0,14
Ted Cruz,,,6,0,0,0,14
Ben Carson,,,,0,0,0,14
Jeb Bush,,,,,0,0,14
Marco Rubio,,,,,,0,14
Total,14,14,6,0,0,0,14
,President Of The United States - Republican,,,,,,15
,John R Kasich,Donald J Trump,Ted Cruz,Ben Carson,Jeb Bush,Marco Rubio,15
John R Kasich,9,0,0,0,0,0,15
Donald J Trump,,7,0,0,0,0,15
Ted Cruz,,,4,0,0,0,15
Ben Carson,,,,0,0,0,15
Jeb Bush,,,,,0,0,15
Marco Rubio,,,,,,0,15
Total,9,7,4,0,0,0,15
,President Of The United States - Republican,,,,,,16
,Donald J Trump,John R Kasich,Ted Cruz,Marco Rubio,Ben Carson,Jeb Bush,16
Donald J Trump,19,0,0,0,0,0,16
John R Kasich,,9,0,0,0,0,16
Ted Cruz,,,9,0,0,0,16
Marco Rubio,,,,1,0,0,16
Ben Carson,,,,,0,0,16
Jeb Bush,,,,,,0,16
Total,19,9,9,1,0,0,16
,President Of The United States - Republican,,,,,,17
