col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,division
,Attorney General - Democrat,,,Delegate To The Democratic National Convention 1st District,,,,,,,,,,,,,,,,All
,Josh Shapiro,Stephen A Zappala Jr,John Morganelli,Thaddeus Kirkland,Blake Rutherford,H Douglass Brown,Anne Wakabayashi,Maria Quinones Sanchez,Jennifer Lentz,Peter Cutty,Leanne Krueger Braneky,Ryan N Boyer,Cathy Brady,Angel Cruz,Ted Kirsch,Amanda Mcillmurray,Kat Richter,Katherine Hunter Snyder,Jacob Adeniran,All
Josh Shapiro,60,0,0,169,123,117,104,108,101,85,95,99,100,100,92,75,69,65,61,All
Stephen A Zappala Jr,,39,0,82,64,62,44,40,48,40,46,43,42,39,38,37,37,31,31,All
John Morganelli,,,9,54,32,33,25,24,20,36,27,20,21,17,14,21,17,18,16,All
Thaddeus Kirkland,,,,5,203,52,159,153,152,46,149,149,145,142,135,33,25,24,23,All
Blake Rutherford,,,,,2,42,140,138,143,36,134,145,137,132,127,20,18,15,14,All
H Douglass Brown,,,,,,6,24,25,33,148,29,28,29,25,18,127,119,112,109,All
Anne Wakabayashi,,,,,,,1,150,148,22,150,145,142,138,130,24,20,23,17,All
Maria Quinones Sanchez,,,,,,,,1,140,21,145,134,139,144,139,20,22,27,22,All
Jennifer Lentz,,,,,,,,,0,29,139,151,147,140,134,33,29,28,23,All
Peter Cutty,,,,,,,,,,1,27,23,22,21,17,108,104,98,99,All
Leanne Krueger Braneky,,,,,,,,,,,0,136,139,134,128,30,27,27,24,All
Ryan N Boyer,,,,,,,,,,,,1,140,137,128,25,24,24,19,All
Cathy Brady,,,,,,,,,,,,,1,135,131,25,24,26,18,All
Angel Cruz,,,,,,,,,,,,,,0,131,20,18,24,19,All
Ted Kirsch,,,,,,,,,,,,,,,0,15,15,19,16,All
Amanda Mcillmurray,,,,,,,,,,,,,,,,0,122,107,106,All
Kat Richter,,,,,,,,,,,,,,,,,0,105,105,All
Katherine Hunter Snyder,,,,,,,,,,,,,,,,,,0,101,All
Jacob Adeniran,,,,,,,,,,,,,,,,,,,0,All
Total,362,191,91,326,237,234,183,183,179,176,173,173,171,163,151,144,133,125,119,All
,Attorney General - Democrat,,,Delegate To The Democratic National Convention 1st District,,,,,,,,,,,,,,,,3
,Josh Shapiro,Stephen A Zappala Jr,John Morganelli,Thaddeus Kirkland,H Douglass Brown,Blake Rutherford,Peter Cutty,Maria Quinones Sanchez,Cathy Brady,Jennifer Lentz,Angel Cruz,Ted Kirsch,Ryan N Boyer,Anne Wakabayashi,Amanda Mcillmurray,Leanne Krueger Braneky,Katherine Hunter Snyder,Kat Richter,Jacob Adeniran,3
Josh Shapiro,15,0,0,36,25,26,18,25,23,24,21,22,21,22,11,20,12,9,10,3
Stephen A Zappala Jr,,3,0,14,14,9,6,3,6,5,4,4,3,1,8,4,7,8,5,3
John Morganelli,,,2,10,6,4,8,3,2,1,2,0,1,1,4,0,3,4,4,3
Thaddeus Kirkland,,,,1,15,35,15,28,25,26,23,23,20,23,7,22,5,6,5,3
H Douglass Brown,,,,,1,12,27,7,9,7,7,7,7,4,23,6,22,21,17,3
Blake Rutherford,,,,,,0,10,22,23,22,22,21,21,21,3,20,2,4,2,3
Peter Cutty,,,,,,,1,7,6,6,6,6,5,4,16,4,18,16,15,3
Maria Quinones Sanchez,,,,,,,,1,23,22,24,25,19,23,5,20,8,6,7,3
Cathy Brady,,,,,,,,,1,23,22,22,22,22,7,20,7,8,5,3
Jennifer Lentz,,,,,,,,,,0,21,23,23,22,8,20,6,7,6,3
Angel Cruz,,,,,,,,,,,0,21,20,21,5,21,7,6,6,3
Ted Kirsch,,,,,,,,,,,,0,20,22,5,21,7,6,7,3
Ryan N Boyer,,,,,,,,,,,,,0,20,6,17,6,6,4,3
Anne Wakabayashi,,,,,,,,,,,,,,0,3,19,4,3,3,3
Amanda Mcillmurray,,,,,,,,,,,,,,,0,6,19,20,16,3
Leanne Krueger Braneky,,,,,,,,,,,,,,,,0,4,6,5,3
Katherine Hunter Snyder,,,,,,,,,,,,,,,,,0,18,17,3
Kat Richter,,,,,,,,,,,,,,,,,,0,16,3
Jacob Adeniran,,,,,,,,,,,,,,,,,,,0,3
Total,76,29,18,63,48,41,35,34,33,32,28,28,27,26,25,25,24,22,20,3
,Delegate To The Democratic National Convention 1st District,,,,,,,,,,,,,,,,Attorney General - Democrat,,,14
,Thaddeus Kirkland,Blake Rutherford,H Douglass Brown,Leanne Krueger Braneky,Anne Wakabayashi,Jennifer Lentz,Ryan N Boyer,Cathy Brady,Peter Cutty,Maria Quinones Sanchez,Angel Cruz,Ted Kirsch,Amanda Mcillmurray,Kat Richter,Jacob Adeniran,Katherine Hunter Snyder,Josh Shapiro,Stephen A Zappala Jr,John Morganelli,14
Thaddeus Kirkland,0,24,10,19,19,17,19,19,9,17,16,15,7,5,4,4,13,12,7,14
Blake Rutherford,,1,8,15,15,17,16,16,6,16,14,14,3,1,2,2,8,7,4,14
H Douglass Brown,,,1,8,5,5,6,6,15,3,3,1,13,10,10,9,10,6,5,14
Leanne Krueger Braneky,,,,0,18,17,17,17,10,15,15,14,8,6,6,5,10,6,5,14
Anne Wakabayashi,,,,,0,18,18,16,5,17,16,14,5,3,3,2,8,5,5,14
Jennifer Lentz,,,,,,0,17,17,5,17,15,15,5,3,2,1,9,6,3,14
Ryan N Boyer,,,,,,,0,15,5,14,14,12,7,5,3,3,9,5,4,14
Cathy Brady,,,,,,,,0,5,16,15,14,5,3,3,2,9,4,4,14
