col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,division
,Representative In The General Assembly 185th District - Democrat,Delegate To The Democratic National Convention 1st District,,,,,,,,,,,,,,,,All
,Maria P Donatucci,Thaddeus Kirkland,Blake Rutherford,Anne Wakabayashi,Maria Quinones Sanchez,Cathy Brady,Ryan N Boyer,Jennifer Lentz,Leanne Krueger Braneky,H Douglass Brown,Angel Cruz,Ted Kirsch,Peter Cutty,Amanda Mcillmurray,Kat Richter,Katherine Hunter Snyder,Jacob Adeniran,All
Maria P Donatucci,909,"3,952","3,110","2,645","2,560","2,545","2,480","2,507","2,459","2,347","2,356","2,258","1,973","1,679","1,458","1,404","1,276",All
Thaddeus Kirkland,,124,"3,171","2,763","2,592","2,556","2,578","2,512","2,596",679,"2,364","2,312",679,486,355,317,264,All
Blake Rutherford,,,32,"2,524","2,353","2,409","2,472","2,415","2,373",574,"2,248","2,170",571,414,302,252,225,All
Anne Wakabayashi,,,,8,"2,512","2,457","2,486","2,500","2,555",436,"2,290","2,213",435,422,310,265,238,All
Maria Quinones Sanchez,,,,,8,"2,402","2,279","2,318","2,479",359,"2,366","2,294",359,375,313,307,262,All
Cathy Brady,,,,,,11,"2,402","2,378","2,410",394,"2,305","2,242",363,392,257,271,201,All
Ryan N Boyer,,,,,,,5,"2,412","2,325",411,"2,235","2,178",399,389,301,251,236,All
Jennifer Lentz,,,,,,,,3,"2,327",473,"2,297","2,195",477,491,352,318,279,All
Leanne Krueger Braneky,,,,,,,,,1,346,"2,261","2,199",357,348,265,235,199,All
H Douglass Brown,,,,,,,,,,54,335,252,"1,923","1,708","1,490","1,452","1,341",All
Angel Cruz,,,,,,,,,,,3,"2,228",323,332,297,276,241,All
Ted Kirsch,,,,,,,,,,,,1,254,251,216,221,193,All
Peter Cutty,,,,,,,,,,,,,11,"1,591","1,413","1,362","1,302",All
Amanda Mcillmurray,,,,,,,,,,,,,,4,"1,489","1,444","1,325",All
Kat Richter,,,,,,,,,,,,,,,4,"1,369","1,303",All
Katherine Hunter Snyder,,,,,,,,,,,,,,,,3,"1,276",All
Jacob Adeniran,,,,,,,,,,,,,,,,,0,All
Total,"7,203","4,540","3,542","3,030","2,936","2,901","2,842","2,832","2,821","2,686","2,664","2,555","2,246","1,934","1,673","1,620","1,471",All
