col_1,col_2,col_3,col_4,division
,Representative In Congress 2nd District - Republican,Attorney General - Republican,,All
,James A Jones,John Rafferty,Joe Peters,All
James A Jones,84,"1,630",396,All
John Rafferty,,285,0,All
Joe Peters,,,54,All
Total,"2,110","1,915",450,All
,Representative In Congress 2nd District - Republican,Attorney General - Republican,,1
,James A Jones,John Rafferty,Joe Peters,1
James A Jones,4,32,10,1
John Rafferty,,2,0,1
Joe Peters,,,1,1
Total,46,34,11,1
,Representative In Congress 2nd District - Republican,Attorney General - Republican,,2
,James A Jones,John Rafferty,Joe Peters,2
James A Jones,2,44,8,2
John Rafferty,,6,0,2
Joe Peters,,,0,2
Total,54,50,8,2
,Representative In Congress 2nd District - Republican,Attorney General - Republican,,3
,James A Jones,John Rafferty,Joe Peters,3
James A Jones,0,6,5,3
John Rafferty,,1,0,3
Joe Peters,,,1,3
Total,11,7,6,3
,Representative In Congress 2nd District - Republican,Attorney General - Republican,,4
,James A Jones,John Rafferty,Joe Peters,4
James A Jones,0,24,6,4
John Rafferty,,2,0,4
Joe Peters,,,1,4
Total,30,26,7,4
,Representative In Congress 2nd District - Republican,Attorney General - Republican,,5
,James A Jones,John Rafferty,Joe Peters,5
James A Jones,3,72,17,5
John Rafferty,,14,0,5
Joe Peters,,,4,5
Total,92,86,21,5
,Representative In Congress 2nd District - Republican,Attorney General - Republican,,6
,James A Jones,John Rafferty,Joe Peters,6
James A Jones,3,31,12,6
John Rafferty,,1,0,6
Joe Peters,,,0,6
Total,46,32,12,6
,Representative In Congress 2nd District - Republican,Attorney General - Republican,,7
,James A Jones,John Rafferty,Joe Peters,7
James A Jones,3,23,8,7
John Rafferty,,3,0,7
Joe Peters,,,1,7
Total,34,26,9,7
,Representative In Congress 2nd District - Republican,Attorney General - Republican,,8
,James A Jones,John Rafferty,Joe Peters,8
James A Jones,1,15,0,8
John Rafferty,,1,0,8
Joe Peters,,,0,8
Total,16,16,0,8
,Representative In Congress 2nd District - Republican,Attorney General - Republican,,9
,James A Jones,John Rafferty,Joe Peters,9
James A Jones,1,49,7,9
John Rafferty,,8,0,9
Joe Peters,,,2,9
Total,57,57,9,9
,Representative In Congress 2nd District - Republican,Attorney General - Republican,,10
,James A Jones,John Rafferty,Joe Peters,10
James A Jones,1,24,6,10
John Rafferty,,2,0,10
Joe Peters,,,0,10
Total,31,26,6,10
,Representative In Congress 2nd District - Republican,Attorney General - Republican,,11
,James A Jones,John Rafferty,Joe Peters,11
James A Jones,0,25,8,11
John Rafferty,,1,0,11
Joe Peters,,,2,11
Total,33,26,10,11
,Representative In Congress 2nd District - Republican,Attorney General - Republican,,12
,James A Jones,John Rafferty,Joe Peters,12
James A Jones,0,22,6,12
John Rafferty,,1,0,12
Joe Peters,,,2,12
Total,28,23,8,12
,Attorney General - Republican,,Representative In Congress 2nd District - Republican,13
,John Rafferty,Joe Peters,James A Jones,13
John Rafferty,8,0,38,13
Joe Peters,,0,2,13
James A Jones,,,0,13
Total,46,2,40,13
,Representative In Congress 2nd District - Republican,Attorney General - Republican,,14
,James A Jones,John Rafferty,Joe Peters,14
James A Jones,0,19,7,14
John Rafferty,,3,0,14
Joe Peters,,,0,14
Total,26,22,7,14
,Attorney General - Republican,,Representative In Congress 2nd District - Republican,15
,John Rafferty,Joe Peters,James A Jones,15
John Rafferty,9,0,34,15
Joe Peters,,0,8,15
James A Jones,,,0,15
Total,43,8,42,15
,Representative In Congress 2nd District - Republican,Attorney General - Republican,,16
,James A Jones,John Rafferty,Joe Peters,16
James A Jones,3,36,6,16
John Rafferty,,4,0,16
Joe Peters,,,1,16
Total,45,40,7,16
,Representative In Congress 2nd District - Republican,Attorney General - Republican,,17
,James A Jones,John Rafferty,Joe Peters,17
James A Jones,2,36,9,17
John Rafferty,,10,0,17
Joe Peters,,,1,17
Total,47,46,10,17
,Representative In Congress 2nd District - Republican,Attorney General - Republican,,18
,James A Jones,John Rafferty,Joe Peters,18
James A Jones,0,21,5,18
John Rafferty,,0,0,18
Joe Peters,,,2,18
Total,26,21,7,18
,Representative In Congress 2nd District - Republican,Attorney General - Republican,,19
,James A Jones,John Rafferty,Joe Peters,19
James A Jones,2,24,9,19
John Rafferty,,3,0,19
Joe Peters,,,0,19
Total,35,27,9,19
,Representative In Congress 2nd District - Republican,Attorney General - Republican,,20
,James A Jones,John Rafferty,Joe Peters,20
James A Jones,1,18,9,20
John Rafferty,,7,0,20
Joe Peters,,,0,20
Total,28,25,9,20
,Representative In Congress 2nd District - Republican,Attorney General - Republican,,21
,James A Jones,John Rafferty,Joe Peters,21
James A Jones,3,41,11,21
John Rafferty,,13,0,21
Joe Peters,,,1,21
Total,55,54,12,21
,Representative In Congress 2nd District - Republican,Attorney General - Republican,,22
,James A Jones,John Rafferty,Joe Peters,22
James A Jones,4,48,6,22
John Rafferty,,4,0,22
Joe Peters,,,1,22
Total,58,52,7,22
,Representative In Congress 2nd District - Republican,Attorney General - Republican,,23
,James A Jones,John Rafferty,Joe Peters,23
James A Jones,2,10,7,23
John Rafferty,,1,0,23
Joe Peters,,,1,23
Total,19,11,8,23
,Representative In Congress 2nd District - Republican,Attorney General - Republican,,24
,James A Jones,John Rafferty,Joe Peters,24
James A Jones,0,15,9,24
John Rafferty,,0,0,24
Joe Peters,,,0,24
Total,24,15,9,24
,Representative In Congress 2nd District - Republican,Attorney General - Republican,,25
,James A Jones,John Rafferty,Joe Peters,25
James A Jones,3,45,14,25
John Rafferty,,2,0,25
Joe Peters,,,3,25
Total,62,47,17,25
,Representative In Congress 2nd District - Republican,Attorney General - Republican,,26
,James A Jones,John Rafferty,Joe Peters,26
James A Jones,2,37,5,26
John Rafferty,,5,0,26
Joe Peters,,,2,26
Total,44,42,7,26
,Attorney General - Republican,,Representative In Congress 2nd District - Republican,27
,John Rafferty,Joe Peters,James A Jones,27
John Rafferty,7,0,31,27
Joe Peters,,0,4,27
James A Jones,,,1,27
Total,38,4,36,27
,Representative In Congress 2nd District - Republican,Attorney General - Republican,,28
