col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,division
,Senator In The General Assembly 3rd District - Democrat,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,,,,,,,,All
,Sharif Street,Yasmeen Kaboud,Lou Agre,Ariana Flores Gordon,Hamdi Soysal,Sherrie Cohen,Carol Rose Fleischman,Margaret Lenzi,Gwen Snyder,Tonya Diane Bah,William Leopold,Waleed Shahid,Malcolm Kenyatta,Cindy Bass,Katherine J Gilmore,Jerry T Jordan,Vincent Hughes,Joe Foster,Ken Washington,Mark Aronchick,Mary Jo Daley,Blondell Reynolds Brown,Nicole Allen White,Michelle W Singer,Heather A Steinmiller,All
Sharif Street,34,209,189,177,172,174,170,167,166,166,165,163,147,145,128,125,100,99,100,99,95,94,97,95,86,All
Yasmeen Kaboud,,6,199,190,189,182,181,177,176,177,180,176,49,36,33,33,20,23,22,25,15,19,18,16,12,All
Lou Agre,,,2,183,185,180,177,170,176,172,174,173,47,30,29,31,16,23,16,24,12,14,17,14,8,All
Ariana Flores Gordon,,,,0,187,180,182,171,175,174,175,174,46,30,30,29,17,23,20,26,15,16,18,18,12,All
Hamdi Soysal,,,,,0,184,183,174,179,179,179,177,41,25,29,27,11,19,17,22,13,11,14,15,9,All
Sherrie Cohen,,,,,,0,177,172,171,175,174,170,44,27,32,30,18,24,20,28,20,13,20,19,13,All
Carol Rose Fleischman,,,,,,,0,167,173,171,172,168,39,26,30,25,14,20,19,24,15,14,17,17,12,All
Margaret Lenzi,,,,,,,,0,168,176,176,173,37,25,25,26,19,27,18,21,11,17,20,17,11,All
Gwen Snyder,,,,,,,,,0,173,171,169,38,26,27,27,14,23,18,23,12,12,17,17,11,All
Tonya Diane Bah,,,,,,,,,,0,177,172,36,23,23,23,11,21,16,20,12,11,16,14,8,All
William Leopold,,,,,,,,,,,0,172,36,23,25,23,14,23,17,20,11,15,16,15,11,All
Waleed Shahid,,,,,,,,,,,,0,36,23,22,23,16,24,13,17,7,15,18,13,8,All
Malcolm Kenyatta,,,,,,,,,,,,,3,121,117,126,100,97,98,102,101,95,92,97,89,All
Cindy Bass,,,,,,,,,,,,,,1,121,119,97,93,97,92,100,97,96,94,90,All
