col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,division
,Representative In The General Assembly 197th District - Democrat,Delegate To The Democratic National Convention 13th District,,,,,,,,,,,,,,All
,Leslie Acosta,Allyson Y Schwartz,Betsy May Kilkenny,Val Arkoosh,Elaine Tomlin,Michael J Rahming,Charles Quann,Louis Farinella,Mike Stack,W Gerard Oleksiak,Mark B Cohen,Henry Albert,Linda A Fields,Melissa Robbins,Bev Hahn,All
Leslie Acosta,165,730,529,521,428,410,364,331,320,296,244,199,180,159,147,All
Allyson Y Schwartz,,22,501,500,386,214,363,340,302,300,129,95,82,81,70,All
Betsy May Kilkenny,,,6,487,365,183,346,333,295,285,102,71,65,58,48,All
Val Arkoosh,,,,4,358,185,345,325,293,287,103,74,62,51,48,All
Elaine Tomlin,,,,,24,110,342,325,309,285,105,78,66,65,54,All
Michael J Rahming,,,,,,11,96,86,66,64,200,180,149,137,132,All
Charles Quann,,,,,,,1,322,286,289,89,65,55,49,38,All
Louis Farinella,,,,,,,,0,275,274,77,52,37,33,23,All
Mike Stack,,,,,,,,,3,278,66,45,53,46,40,All
W Gerard Oleksiak,,,,,,,,,,0,58,42,46,39,37,All
Mark B Cohen,,,,,,,,,,,1,184,149,136,130,All
Henry Albert,,,,,,,,,,,,0,153,137,132,All
Linda A Fields,,,,,,,,,,,,,3,131,130,All
Melissa Robbins,,,,,,,,,,,,,,1,128,All
Bev Hahn,,,,,,,,,,,,,,,0,All
Total,"1,302",815,589,580,497,454,403,371,358,327,269,219,202,175,160,All
