col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,division
,United States Senator - Democrat,,,,Representative In The General Assembly 190th District - Democrat,,,,,,All
,Katie Mcginty,John Fetterman,Joe Sestak,Joseph J Vodvarka,Wanda Logan,Vanessa L Brown,Ray Bailey,Ted Smith,Movita Johnson Harrell,Darryl Thomas,All
Katie Mcginty,10,0,0,0,34,25,10,8,8,5,All
John Fetterman,,9,0,0,21,7,10,8,3,7,All
Joe Sestak,,,8,0,15,15,1,4,9,9,All
Joseph J Vodvarka,,,,2,13,1,3,2,1,0,All
Wanda Logan,,,,,7,0,0,0,0,0,All
Vanessa L Brown,,,,,,3,0,0,0,0,All
Ray Bailey,,,,,,,4,0,0,0,All
Ted Smith,,,,,,,,2,0,0,All
Movita Johnson Harrell,,,,,,,,,2,0,All
Darryl Thomas,,,,,,,,,,0,All
Total,100,65,61,22,90,51,28,24,23,21,All
,United States Senator - Democrat,,,,Representative In The General Assembly 190th District - Democrat,,,,,,9
,Katie Mcginty,John Fetterman,Joe Sestak,Joseph J Vodvarka,Wanda Logan,Vanessa L Brown,Ray Bailey,Ted Smith,Movita Johnson Harrell,Darryl Thomas,9
Katie Mcginty,10,0,0,0,34,25,10,8,8,5,9
John Fetterman,,9,0,0,21,7,10,8,3,7,9
Joe Sestak,,,8,0,15,15,1,4,9,9,9
Joseph J Vodvarka,,,,2,13,1,3,2,1,0,9
Wanda Logan,,,,,7,0,0,0,0,0,9
Vanessa L Brown,,,,,,3,0,0,0,0,9
Ray Bailey,,,,,,,4,0,0,0,9
Ted Smith,,,,,,,,2,0,0,9
Movita Johnson Harrell,,,,,,,,,2,0,9
Darryl Thomas,,,,,,,,,,0,9
Total,100,65,61,22,90,51,28,24,23,21,9
