col_1,col_2,col_3,col_4,division
,Auditor General - Democrat,Representative In The General Assembly 202nd District - Democrat,,All
,Eugene A Depasquale,Jared Solomon,Mark B Cohen,All
Eugene A Depasquale,31,"1,279","1,147",All
Jared Solomon,,587,0,All
Mark B Cohen,,,481,All
Total,"2,457","1,866","1,628",All
,Auditor General - Democrat,Representative In The General Assembly 202nd District - Democrat,,2
,Eugene A Depasquale,Jared Solomon,Mark B Cohen,2
Eugene A Depasquale,2,76,60,2
Jared Solomon,,38,0,2
Mark B Cohen,,,33,2
Total,138,114,93,2
,Auditor General - Democrat,Representative In The General Assembly 202nd District - Democrat,,3
,Eugene A Depasquale,Jared Solomon,Mark B Cohen,3
Eugene A Depasquale,2,83,42,3
Jared Solomon,,33,0,3
Mark B Cohen,,,23,3
Total,127,116,65,3
,Auditor General - Democrat,Representative In The General Assembly 202nd District - Democrat,,4
,Eugene A Depasquale,Mark B Cohen,Jared Solomon,4
Eugene A Depasquale,0,77,69,4
Mark B Cohen,,19,0,4
Jared Solomon,,,25,4
Total,146,96,94,4
,Auditor General - Democrat,Representative In The General Assembly 202nd District - Democrat,,5
,Eugene A Depasquale,Jared Solomon,Mark B Cohen,5
Eugene A Depasquale,2,75,57,5
Jared Solomon,,37,0,5
Mark B Cohen,,,25,5
Total,134,112,82,5
,Auditor General - Democrat,Representative In The General Assembly 202nd District - Democrat,,6
,Eugene A Depasquale,Mark B Cohen,Jared Solomon,6
Eugene A Depasquale,3,55,65,6
Mark B Cohen,,42,0,6
Jared Solomon,,,14,6
Total,123,97,79,6
,Auditor General - Democrat,Representative In The General Assembly 202nd District - Democrat,,7
,Eugene A Depasquale,Mark B Cohen,Jared Solomon,7
Eugene A Depasquale,0,62,51,7
Mark B Cohen,,25,0,7
Jared Solomon,,,20,7
Total,113,87,71,7
,Representative In The General Assembly 202nd District - Democrat,,Auditor General - Democrat,8
,Jared Solomon,Mark B Cohen,Eugene A Depasquale,8
Jared Solomon,27,0,42,8
Mark B Cohen,,16,24,8
Eugene A Depasquale,,,0,8
Total,69,40,66,8
,Auditor General - Democrat,Representative In The General Assembly 202nd District - Democrat,,9
,Eugene A Depasquale,Jared Solomon,Mark B Cohen,9
Eugene A Depasquale,3,46,45,9
Jared Solomon,,27,0,9
Mark B Cohen,,,17,9
Total,94,73,62,9
,Auditor General - Democrat,Representative In The General Assembly 202nd District - Democrat,,10
,Eugene A Depasquale,Jared Solomon,Mark B Cohen,10
Eugene A Depasquale,0,40,34,10
Jared Solomon,,25,0,10
Mark B Cohen,,,12,10
Total,74,65,46,10
,Auditor General - Democrat,Representative In The General Assembly 202nd District - Democrat,,11
,Eugene A Depasquale,Mark B Cohen,Jared Solomon,11
Eugene A Depasquale,1,54,48,11
Mark B Cohen,,19,0,11
Jared Solomon,,,20,11
Total,103,73,68,11
,Auditor General - Democrat,Representative In The General Assembly 202nd District - Democrat,,12
,Eugene A Depasquale,Jared Solomon,Mark B Cohen,12
Eugene A Depasquale,0,65,68,12
Jared Solomon,,33,0,12
Mark B Cohen,,,22,12
Total,133,98,90,12
,Auditor General - Democrat,Representative In The General Assembly 202nd District - Democrat,,13
,Eugene A Depasquale,Jared Solomon,Mark B Cohen,13
Eugene A Depasquale,0,70,65,13
Jared Solomon,,26,0,13
Mark B Cohen,,,15,13
Total,135,96,80,13
,Auditor General - Democrat,Representative In The General Assembly 202nd District - Democrat,,14
,Eugene A Depasquale,Jared Solomon,Mark B Cohen,14
Eugene A Depasquale,3,49,37,14
Jared Solomon,,31,0,14
Mark B Cohen,,,14,14
Total,89,80,51,14
,Auditor General - Democrat,Representative In The General Assembly 202nd District - Democrat,,15
,Eugene A Depasquale,Jared Solomon,Mark B Cohen,15
Eugene A Depasquale,2,77,54,15
Jared Solomon,,24,0,15
Mark B Cohen,,,25,15
Total,133,101,79,15
,Auditor General - Democrat,Representative In The General Assembly 202nd District - Democrat,,16
,Eugene A Depasquale,Jared Solomon,Mark B Cohen,16
Eugene A Depasquale,0,52,55,16
