col_1,col_2,col_3,col_4,col_5,col_6,division
,Auditor General - Democrat,Representative In Congress 2nd District - Democrat,,,,All
,Eugene A Depasquale,Dwight Evans,Dan Muroff,Brian Anthony Gordon,Chaka Fattah,All
Eugene A Depasquale,153,"2,671","1,825","1,462","1,253",All
Dwight Evans,,851,0,0,0,All
Dan Muroff,,,495,0,0,All
Brian Anthony Gordon,,,,376,0,All
Chaka Fattah,,,,,294,All
Total,"7,364","3,522","2,320","1,838","1,547",All
,Auditor General - Democrat,Representative In Congress 2nd District - Democrat,,,,1
,Eugene A Depasquale,Dwight Evans,Dan Muroff,Chaka Fattah,Brian Anthony Gordon,1
Eugene A Depasquale,1,51,35,26,22,1
Dwight Evans,,11,0,0,0,1
Dan Muroff,,,14,0,0,1
Chaka Fattah,,,,3,0,1
Brian Anthony Gordon,,,,,5,1
Total,135,62,49,29,27,1
,Auditor General - Democrat,Representative In Congress 2nd District - Democrat,,,,2
,Eugene A Depasquale,Dan Muroff,Dwight Evans,Brian Anthony Gordon,Chaka Fattah,2
Eugene A Depasquale,2,38,37,34,21,2
Dan Muroff,,9,0,0,0,2
Dwight Evans,,,8,0,0,2
Brian Anthony Gordon,,,,7,0,2
Chaka Fattah,,,,,4,2
Total,132,47,45,41,25,2
,Auditor General - Democrat,Representative In Congress 2nd District - Democrat,,,,3
,Eugene A Depasquale,Dwight Evans,Chaka Fattah,Dan Muroff,Brian Anthony Gordon,3
Eugene A Depasquale,0,65,34,13,15,3
Dwight Evans,,20,0,0,0,3
Chaka Fattah,,,18,0,0,3
Dan Muroff,,,,6,0,3
Brian Anthony Gordon,,,,,1,3
Total,127,85,52,19,16,3
,Auditor General - Democrat,Representative In Congress 2nd District - Democrat,,,,4
,Eugene A Depasquale,Dwight Evans,Brian Anthony Gordon,Chaka Fattah,Dan Muroff,4
Eugene A Depasquale,2,30,17,19,19,4
Dwight Evans,,7,0,0,0,4
Brian Anthony Gordon,,,5,0,0,4
Chaka Fattah,,,,2,0,4
Dan Muroff,,,,,2,4
Total,87,37,22,21,21,4
,Auditor General - Democrat,Representative In Congress 2nd District - Democrat,,,,5
,Eugene A Depasquale,Dwight Evans,Dan Muroff,Brian Anthony Gordon,Chaka Fattah,5
Eugene A Depasquale,5,86,43,51,41,5
Dwight Evans,,32,0,0,0,5
Dan Muroff,,,22,0,0,5
Brian Anthony Gordon,,,,12,0,5
Chaka Fattah,,,,,9,5
Total,226,118,65,63,50,5
,Auditor General - Democrat,Representative In Congress 2nd District - Democrat,,,,6
,Eugene A Depasquale,Dwight Evans,Brian Anthony Gordon,Dan Muroff,Chaka Fattah,6
Eugene A Depasquale,5,34,33,34,21,6
Dwight Evans,,9,0,0,0,6
Brian Anthony Gordon,,,5,0,0,6
Dan Muroff,,,,3,0,6
Chaka Fattah,,,,,5,6
Total,127,43,38,37,26,6
,Auditor General - Democrat,Representative In Congress 2nd District - Democrat,,,,7
,Eugene A Depasquale,Dwight Evans,Dan Muroff,Chaka Fattah,Brian Anthony Gordon,7
Eugene A Depasquale,6,42,35,27,23,7
Dwight Evans,,9,0,0,0,7
Dan Muroff,,,9,0,0,7
Chaka Fattah,,,,4,0,7
Brian Anthony Gordon,,,,,7,7
Total,133,51,44,31,30,7
,Auditor General - Democrat,Representative In Congress 2nd District - Democrat,,,,8
,Eugene A Depasquale,Dwight Evans,Dan Muroff,Chaka Fattah,Brian Anthony Gordon,8
Eugene A Depasquale,0,39,23,26,19,8
Dwight Evans,,10,0,0,0,8
Dan Muroff,,,6,0,0,8
Chaka Fattah,,,,2,0,8
Brian Anthony Gordon,,,,,3,8
Total,107,49,29,28,22,8
,Auditor General - Democrat,Representative In Congress 2nd District - Democrat,,,,9
,Eugene A Depasquale,Dwight Evans,Brian Anthony Gordon,Dan Muroff,Chaka Fattah,9
Eugene A Depasquale,4,50,33,35,25,9
Dwight Evans,,10,0,0,0,9
Brian Anthony Gordon,,,11,0,0,9
Dan Muroff,,,,8,0,9
Chaka Fattah,,,,,6,9
Total,147,60,44,43,31,9
,Auditor General - Democrat,Representative In Congress 2nd District - Democrat,,,,10
,Eugene A Depasquale,Dan Muroff,Dwight Evans,Brian Anthony Gordon,Chaka Fattah,10
Eugene A Depasquale,5,41,33,28,19,10
Dan Muroff,,7,0,0,0,10
Dwight Evans,,,4,0,0,10
Brian Anthony Gordon,,,,2,0,10
Chaka Fattah,,,,,2,10
Total,126,48,37,30,21,10
,Auditor General - Democrat,Representative In Congress 2nd District - Democrat,,,,11
,Eugene A Depasquale,Dwight Evans,Chaka Fattah,Brian Anthony Gordon,Dan Muroff,11
Eugene A Depasquale,1,53,31,28,31,11
Dwight Evans,,20,0,0,0,11
Chaka Fattah,,,12,0,0,11
Brian Anthony Gordon,,,,6,0,11
Dan Muroff,,,,,2,11
Total,144,73,43,34,33,11
,Auditor General - Democrat,Representative In Congress 2nd District - Democrat,,,,12
,Eugene A Depasquale,Dan Muroff,Dwight Evans,Chaka Fattah,Brian Anthony Gordon,12
Eugene A Depasquale,4,59,32,22,16,12
Dan Muroff,,7,0,0,0,12
Dwight Evans,,,16,0,0,12
Chaka Fattah,,,,4,0,12
Brian Anthony Gordon,,,,,2,12
Total,133,66,48,26,18,12
,Auditor General - Democrat,Representative In Congress 2nd District - Democrat,,,,13
,Eugene A Depasquale,Dwight Evans,Dan Muroff,Brian Anthony Gordon,Chaka Fattah,13
Eugene A Depasquale,2,53,32,27,25,13
Dwight Evans,,10,0,0,0,13
Dan Muroff,,,7,0,0,13
Brian Anthony Gordon,,,,4,0,13
Chaka Fattah,,,,,3,13
Total,139,63,39,31,28,13
,Auditor General - Democrat,Representative In Congress 2nd District - Democrat,,,,14
,Eugene A Depasquale,Dwight Evans,Brian Anthony Gordon,Chaka Fattah,Dan Muroff,14
Eugene A Depasquale,3,96,55,42,42,14
Dwight Evans,,31,0,0,0,14
Brian Anthony Gordon,,,6,0,0,14
Chaka Fattah,,,,17,0,14
Dan Muroff,,,,,12,14
Total,238,127,61,59,54,14
,Auditor General - Democrat,Representative In Congress 2nd District - Democrat,,,,15
,Eugene A Depasquale,Dwight Evans,Dan Muroff,Brian Anthony Gordon,Chaka Fattah,15
Eugene A Depasquale,2,63,47,33,22,15
Dwight Evans,,16,0,0,0,15
Dan Muroff,,,9,0,0,15
Brian Anthony Gordon,,,,2,0,15
Chaka Fattah,,,,,1,15
Total,167,79,56,35,23,15
,Auditor General - Democrat,Representative In Congress 2nd District - Democrat,,,,16
,Eugene A Depasquale,Dwight Evans,Dan Muroff,Brian Anthony Gordon,Chaka Fattah,16
Eugene A Depasquale,2,32,29,18,16,16
Dwight Evans,,17,0,0,0,16
Dan Muroff,,,5,0,0,16
Brian Anthony Gordon,,,,4,0,16
Chaka Fattah,,,,,0,16
Total,97,49,34,22,16,16
,Auditor General - Democrat,Representative In Congress 2nd District - Democrat,,,,17
,Eugene A Depasquale,Dwight Evans,Dan Muroff,Brian Anthony Gordon,Chaka Fattah,17
Eugene A Depasquale,2,71,46,41,22,17
Dwight Evans,,13,0,0,0,17
Dan Muroff,,,13,0,0,17
Brian Anthony Gordon,,,,10,0,17
Chaka Fattah,,,,,4,17
Total,182,84,59,51,26,17
,Auditor General - Democrat,Representative In Congress 2nd District - Democrat,,,,18
,Eugene A Depasquale,Dwight Evans,Dan Muroff,Brian Anthony Gordon,Chaka Fattah,18
Eugene A Depasquale,1,48,43,32,15,18
Dwight Evans,,12,0,0,0,18
Dan Muroff,,,5,0,0,18
Brian Anthony Gordon,,,,5,0,18
Chaka Fattah,,,,,8,18
Total,139,60,48,37,23,18
,Auditor General - Democrat,Representative In Congress 2nd District - Democrat,,,,19
,Eugene A Depasquale,Dan Muroff,Dwight Evans,Brian Anthony Gordon,Chaka Fattah,19
Eugene A Depasquale,3,53,38,27,15,19
Dan Muroff,,11,0,0,0,19
Dwight Evans,,,10,0,0,19
Brian Anthony Gordon,,,,9,0,19
Chaka Fattah,,,,,1,19
Total,136,64,48,36,16,19
,Auditor General - Democrat,Representative In Congress 2nd District - Democrat,,,,20
,Eugene A Depasquale,Dan Muroff,Dwight Evans,Brian Anthony Gordon,Chaka Fattah,20
Eugene A Depasquale,2,70,33,23,15,20
Dan Muroff,,8,0,0,0,20
Dwight Evans,,,9,0,0,20
Brian Anthony Gordon,,,,5,0,20
Chaka Fattah,,,,,4,20
Total,143,78,42,28,19,20
,Auditor General - Democrat,Representative In Congress 2nd District - Democrat,,,,21
,Eugene A Depasquale,Dwight Evans,Dan Muroff,Brian Anthony Gordon,Chaka Fattah,21
Eugene A Depasquale,1,35,30,33,24,21
Dwight Evans,,17,0,0,0,21
Dan Muroff,,,8,0,0,21
Brian Anthony Gordon,,,,2,0,21
Chaka Fattah,,,,,3,21
Total,123,52,38,35,27,21
,Auditor General - Democrat,Representative In Congress 2nd District - Democrat,,,,22
,Eugene A Depasquale,Dwight Evans,Brian Anthony Gordon,Chaka Fattah,Dan Muroff,22
Eugene A Depasquale,5,64,51,40,41,22
Dwight Evans,,23,0,0,0,22
Brian Anthony Gordon,,,19,0,0,22
Chaka Fattah,,,,13,0,22
Dan Muroff,,,,,7,22
Total,201,87,70,53,48,22
,Auditor General - Democrat,Representative In Congress 2nd District - Democrat,,,,23
,Eugene A Depasquale,Dwight Evans,Chaka Fattah,Dan Muroff,Brian Anthony Gordon,23
Eugene A Depasquale,14,89,57,54,30,23
Dwight Evans,,28,0,0,0,23
Chaka Fattah,,,13,0,0,23
Dan Muroff,,,,14,0,23
Brian Anthony Gordon,,,,,7,23
Total,244,117,70,68,37,23
,Auditor General - Democrat,Representative In Congress 2nd District - Democrat,,,,24
,Eugene A Depasquale,Dwight Evans,Dan Muroff,Chaka Fattah,Brian Anthony Gordon,24
Eugene A Depasquale,4,168,73,74,39,24
Dwight Evans,,59,0,0,0,24
Dan Muroff,,,32,0,0,24
Chaka Fattah,,,,28,0,24
Brian Anthony Gordon,,,,,9,24
Total,358,227,105,102,48,24
,Auditor General - Democrat,Representative In Congress 2nd District - Democrat,,,,25
,Eugene A Depasquale,Dwight Evans,Dan Muroff,Brian Anthony Gordon,Chaka Fattah,25
Eugene A Depasquale,2,64,38,30,23,25
Dwight Evans,,17,0,0,0,25
Dan Muroff,,,14,0,0,25
Brian Anthony Gordon,,,,8,0,25
Chaka Fattah,,,,,3,25
Total,157,81,52,38,26,25
,Auditor General - Democrat,Representative In Congress 2nd District - Democrat,,,,26
,Eugene A Depasquale,Dwight Evans,Brian Anthony Gordon,Chaka Fattah,Dan Muroff,26
Eugene A Depasquale,7,56,29,20,13,26
Dwight Evans,,24,0,0,0,26
Brian Anthony Gordon,,,5,0,0,26
Chaka Fattah,,,,5,0,26
Dan Muroff,,,,,11,26
Total,125,80,34,25,24,26
,Auditor General - Democrat,Representative In Congress 2nd District - Democrat,,,,27
,Eugene A Depasquale,Dwight Evans,Dan Muroff,Chaka Fattah,Brian Anthony Gordon,27
Eugene A Depasquale,4,49,46,28,23,27
Dwight Evans,,15,0,0,0,27
Dan Muroff,,,14,0,0,27
Chaka Fattah,,,,5,0,27
Brian Anthony Gordon,,,,,3,27
Total,150,64,60,33,26,27
,Auditor General - Democrat,Representative In Congress 2nd District - Democrat,,,,28
,Eugene A Depasquale,Dwight Evans,Dan Muroff,Brian Anthony Gordon,Chaka Fattah,28
Eugene A Depasquale,3,65,37,35,11,28
Dwight Evans,,19,0,0,0,28
Dan Muroff,,,18,0,0,28
Brian Anthony Gordon,,,,15,0,28
Chaka Fattah,,,,,1,28
Total,151,84,55,50,12,28
,Auditor General - Democrat,Representative In Congress 2nd District - Democrat,,,,29
,Eugene A Depasquale,Dwight Evans,Brian Anthony Gordon,Dan Muroff,Chaka Fattah,29
Eugene A Depasquale,3,80,58,46,33,29
Dwight Evans,,26,0,0,0,29
Brian Anthony Gordon,,,17,0,0,29
Dan Muroff,,,,6,0,29
Chaka Fattah,,,,,7,29
Total,220,106,75,52,40,29
,Auditor General - Democrat,Representative In Congress 2nd District - Democrat,,,,30
,Eugene A Depasquale,Dwight Evans,Brian Anthony Gordon,Chaka Fattah,Dan Muroff,30
Eugene A Depasquale,3,87,51,45,40,30
Dwight Evans,,22,0,0,0,30
Brian Anthony Gordon,,,17,0,0,30
Chaka Fattah,,,,11,0,30
Dan Muroff,,,,,16,30
Total,226,109,68,56,56,30
,Auditor General - Democrat,Representative In Congress 2nd District - Democrat,,,,31
,Eugene A Depasquale,Dwight Evans,Brian Anthony Gordon,Dan Muroff,Chaka Fattah,31
Eugene A Depasquale,6,58,30,30,13,31
Dwight Evans,,21,0,0,0,31
Brian Anthony Gordon,,,13,0,0,31
Dan Muroff,,,,13,0,31
Chaka Fattah,,,,,5,31
Total,137,79,43,43,18,31
,Auditor General - Democrat,Representative In Congress 2nd District - Democrat,,,,32
,Eugene A Depasquale,Dwight Evans,Dan Muroff,Brian Anthony Gordon,Chaka Fattah,32
Eugene A Depasquale,3,43,19,24,25,32
Dwight Evans,,21,0,0,0,32
Dan Muroff,,,14,0,0,32
Brian Anthony Gordon,,,,8,0,32
Chaka Fattah,,,,,7,32
Total,114,64,33,32,32,32
,Auditor General - Democrat,Representative In Congress 2nd District - Democrat,,,,33
,Eugene A Depasquale,Dwight Evans,Dan Muroff,Brian Anthony Gordon,Chaka Fattah,33
Eugene A Depasquale,8,109,63,36,41,33
Dwight Evans,,45,0,0,0,33
Dan Muroff,,,17,0,0,33
Brian Anthony Gordon,,,,24,0,33
Chaka Fattah,,,,,9,33
Total,257,154,80,60,50,33
,Auditor General - Democrat,Representative In Congress 2nd District - Democrat,,,,34
,Eugene A Depasquale,Dwight Evans,Dan Muroff,Brian Anthony Gordon,Chaka Fattah,34
Eugene A Depasquale,3,122,49,50,44,34
Dwight Evans,,36,0,0,0,34
Dan Muroff,,,15,0,0,34
Brian Anthony Gordon,,,,11,0,34
Chaka Fattah,,,,,15,34
Total,268,158,64,61,59,34
,Auditor General - Democrat,Representative In Congress 2nd District - Democrat,,,,35
,Eugene A Depasquale,Dwight Evans,Dan Muroff,Brian Anthony Gordon,Chaka Fattah,35
Eugene A Depasquale,4,64,55,43,32,35
Dwight Evans,,18,0,0,0,35
Dan Muroff,,,9,0,0,35
Brian Anthony Gordon,,,,15,0,35
Chaka Fattah,,,,,6,35
Total,198,82,64,58,38,35
,Auditor General - Democrat,Representative In Congress 2nd District - Democrat,,,,36
,Eugene A Depasquale,Dwight Evans,Brian Anthony Gordon,Chaka Fattah,Dan Muroff,36
Eugene A Depasquale,3,35,25,21,19,36
Dwight Evans,,6,0,0,0,36
Brian Anthony Gordon,,,11,0,0,36
Chaka Fattah,,,,1,0,36
Dan Muroff,,,,,2,36
Total,103,41,36,22,21,36
,Auditor General - Democrat,Representative In Congress 2nd District - Democrat,,,,37
,Eugene A Depasquale,Dwight Evans,Brian Anthony Gordon,Dan Muroff,Chaka Fattah,37
Eugene A Depasquale,5,47,34,29,18,37
Dwight Evans,,14,0,0,0,37
Brian Anthony Gordon,,,9,0,0,37
Dan Muroff,,,,7,0,37
Chaka Fattah,,,,,4,37
Total,133,61,43,36,22,37
,Auditor General - Democrat,Representative In Congress 2nd District - Democrat,,,,38
,Eugene A Depasquale,Dwight Evans,Dan Muroff,Brian Anthony Gordon,Chaka Fattah,38
Eugene A Depasquale,0,52,48,28,24,38
