col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,division
,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,,,,,,,,Representative In The General Assembly 192nd District - Democrat,,,,,All
,Cindy Bass,Malcolm Kenyatta,Katherine J Gilmore,Jerry T Jordan,Vincent Hughes,Ken Washington,Blondell Reynolds Brown,Mary Jo Daley,Mark Aronchick,Nicole Allen White,Michelle W Singer,Joe Foster,Heather A Steinmiller,Yasmeen Kaboud,Lou Agre,Ariana Flores Gordon,Sherrie Cohen,Carol Rose Fleischman,Hamdi Soysal,Gwen Snyder,William Leopold,Waleed Shahid,Tonya Diane Bah,Margaret Lenzi,Morgan Cephas,Steven Jones,Edwin Santana,Lynwood W Savage,Jess Johnson,All
Cindy Bass,21,"1,497","1,444","1,411","1,206","1,220","1,164","1,203","1,155","1,093","1,071","1,014","1,012",317,349,226,242,198,177,185,176,163,152,157,844,761,162,167,99,All
Malcolm Kenyatta,,8,"1,414","1,406","1,195","1,201","1,140","1,173","1,139","1,065","1,052","1,001",997,344,357,258,270,218,223,208,216,201,187,190,764,606,155,151,90,All
Katherine J Gilmore,,,3,"1,323","1,105","1,115","1,076","1,127","1,088","1,007","1,014",950,965,287,283,197,205,176,168,162,156,139,136,128,720,570,132,143,72,All
Jerry T Jordan,,,,2,"1,086","1,124","1,059","1,109","1,091",997,"1,005",959,975,296,317,209,224,176,165,173,159,149,143,140,676,553,126,146,68,All
Vincent Hughes,,,,,9,"1,139","1,211","1,047","1,028","1,061","1,030","1,007",986,216,221,186,197,155,136,161,184,174,160,162,641,455,127,138,50,All
Ken Washington,,,,,,1,"1,111","1,117","1,098","1,096","1,060","1,009","1,019",209,225,189,198,160,142,159,151,143,128,142,596,444,120,131,56,All
Blondell Reynolds Brown,,,,,,,3,"1,027","1,016","1,047","1,026","1,002",981,171,176,141,160,111,101,123,142,130,115,122,596,428,112,137,49,All
Mary Jo Daley,,,,,,,,0,"1,127","1,006","1,022",956,986,166,176,142,157,113,111,119,97,84,87,96,557,426,120,132,49,All
Mark Aronchick,,,,,,,,,0,985,"1,018",960,975,175,192,158,171,127,122,133,122,107,92,101,535,398,111,128,56,All
Nicole Allen White,,,,,,,,,,0,"1,004",979,970,143,148,132,138,107,87,114,116,127,113,132,531,382,104,121,53,All
Michelle W Singer,,,,,,,,,,,0,961,999,127,149,118,133,97,80,108,114,110,88,114,491,385,110,114,52,All
Joe Foster,,,,,,,,,,,,1,938,133,144,113,122,89,84,109,120,125,97,117,471,373,98,112,42,All
Heather A Steinmiller,,,,,,,,,,,,,0,94,106,75,90,64,56,68,82,79,71,81,470,353,97,110,42,All
Yasmeen Kaboud,,,,,,,,,,,,,,8,677,589,547,543,533,504,482,471,469,445,423,291,127,63,72,All
Lou Agre,,,,,,,,,,,,,,,3,569,536,545,517,499,490,468,469,449,435,275,107,62,59,All
Ariana Flores Gordon,,,,,,,,,,,,,,,,1,550,556,525,510,480,477,478,445,279,200,111,56,60,All
Sherrie Cohen,,,,,,,,,,,,,,,,,1,529,527,494,479,453,457,446,280,187,104,50,54,All
Carol Rose Fleischman,,,,,,,,,,,,,,,,,,1,518,479,466,445,461,436,258,179,99,52,49,All
Hamdi Soysal,,,,,,,,,,,,,,,,,,,0,465,466,432,443,429,237,163,100,51,44,All
Gwen Snyder,,,,,,,,,,,,,,,,,,,,0,460,451,452,430,256,159,91,42,44,All
William Leopold,,,,,,,,,,,,,,,,,,,,,0,453,459,454,238,159,100,42,42,All
Waleed Shahid,,,,,,,,,,,,,,,,,,,,,,2,447,441,233,162,95,48,41,All
Tonya Diane Bah,,,,,,,,,,,,,,,,,,,,,,,1,432,232,147,92,44,41,All
Margaret Lenzi,,,,,,,,,,,,,,,,,,,,,,,,0,214,149,94,43,43,All
Morgan Cephas,,,,,,,,,,,,,,,,,,,,,,,,,230,0,0,0,0,All
Steven Jones,,,,,,,,,,,,,,,,,,,,,,,,,,190,0,0,0,All
Edwin Santana,,,,,,,,,,,,,,,,,,,,,,,,,,,48,0,0,All
Lynwood W Savage,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,0,All
Jess Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,All
Total,"2,131","1,843","1,700","1,626","1,475","1,398","1,381","1,335","1,277","1,236","1,198","1,131","1,114","1,018",973,736,701,666,619,616,604,599,580,565,"1,735","1,341",374,285,232,All
,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,,,,,,,,Representative In The General Assembly 192nd District - Democrat,,,,,5
