col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,division
,Representative In The General Assembly 203rd District - Democrat,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,,,,,,,,All
,Isabella Fitzgerald,Cindy Bass,Malcolm Kenyatta,Katherine J Gilmore,Jerry T Jordan,Ken Washington,Vincent Hughes,Mary Jo Daley,Blondell Reynolds Brown,Mark Aronchick,Nicole Allen White,Michelle W Singer,Joe Foster,Heather A Steinmiller,Yasmeen Kaboud,Lou Agre,Sherrie Cohen,Ariana Flores Gordon,Carol Rose Fleischman,Gwen Snyder,William Leopold,Hamdi Soysal,Tonya Diane Bah,Waleed Shahid,Margaret Lenzi,All
Isabella Fitzgerald,571,"4,882","4,074","3,942","3,770","3,515","3,208","3,220","3,131","3,052","3,053","3,005","2,923","2,855","1,859","1,794","1,366","1,369","1,249","1,192","1,190","1,171","1,173","1,157","1,116",All
Cindy Bass,,130,"4,033","3,963","3,822","3,357","3,231","3,292","3,173","3,086","3,078","3,055","2,944","2,936",712,690,528,472,426,405,412,368,363,359,365,All
Malcolm Kenyatta,,,34,"3,814","3,752","3,216","3,099","3,121","3,046","3,004","2,972","2,966","2,862","2,857",716,678,519,463,405,405,429,385,363,364,362,All
Katherine J Gilmore,,,,28,"3,665","3,111","2,980","3,108","2,935","2,961","2,920","2,943","2,825","2,834",647,575,439,371,355,339,346,314,289,274,291,All
Jerry T Jordan,,,,,13,"3,061","2,923","3,022","2,876","2,923","2,849","2,866","2,787","2,779",620,651,442,390,342,340,354,322,310,283,299,All
Ken Washington,,,,,,8,"3,105","3,046","3,037","2,945","3,058","3,031","2,933","2,943",441,555,439,382,329,332,365,285,311,300,308,All
Vincent Hughes,,,,,,,9,"2,886","3,150","2,801","3,003","2,910","2,907","2,812",361,342,371,296,255,288,310,224,261,287,302,All
Mary Jo Daley,,,,,,,,8,"2,843","3,041","2,857","2,865","2,767","2,803",376,331,357,269,260,263,252,227,208,198,213,All
Blondell Reynolds Brown,,,,,,,,,11,"2,751","2,958","2,884","2,854","2,796",310,285,334,248,222,240,273,188,234,237,241,All
Mark Aronchick,,,,,,,,,,9,"2,740","2,790","2,704","2,712",350,340,361,287,227,241,257,220,209,199,229,All
Nicole Allen White,,,,,,,,,,,2,"2,909","2,877","2,817",335,304,311,268,215,253,275,187,236,244,264,All
Michelle W Singer,,,,,,,,,,,,0,"2,818","2,874",308,268,284,227,194,251,267,170,191,210,220,All
Joe Foster,,,,,,,,,,,,,2,"2,738",308,292,301,257,220,247,280,185,227,268,267,All
Heather A Steinmiller,,,,,,,,,,,,,,0,237,219,240,169,156,182,189,123,175,156,179,All
Yasmeen Kaboud,,,,,,,,,,,,,,,48,"1,411","1,165","1,184","1,124","1,062","1,034","1,099","1,062","1,026",973,All
Lou Agre,,,,,,,,,,,,,,,,18,"1,124","1,140","1,091","1,010","1,017","1,077","1,039",968,951,All
Sherrie Cohen,,,,,,,,,,,,,,,,,5,"1,154","1,125","1,059","1,067","1,131","1,063","1,012","1,007",All
Ariana Flores Gordon,,,,,,,,,,,,,,,,,,10,"1,123","1,050","1,029","1,111","1,025","1,012",962,All
Carol Rose Fleischman,,,,,,,,,,,,,,,,,,,4,"1,013","1,002","1,079","1,017",957,946,All
Gwen Snyder,,,,,,,,,,,,,,,,,,,,1,"1,014","1,004","1,002",977,951,All
William Leopold,,,,,,,,,,,,,,,,,,,,,0,"1,002","1,015",990,988,All
Hamdi Soysal,,,,,,,,,,,,,,,,,,,,,,3,"1,002",963,931,All
Tonya Diane Bah,,,,,,,,,,,,,,,,,,,,,,,1,988,968,All
Waleed Shahid,,,,,,,,,,,,,,,,,,,,,,,,4,976,All
Margaret Lenzi,,,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,"7,656","5,495","4,528","4,363","4,156","3,866","3,573","3,554","3,498","3,357","3,343","3,299","3,194","3,129","2,100","1,982","1,530","1,529","1,395","1,325","1,318","1,310","1,304","1,288","1,244",All
