col_1,col_2,col_3,col_4,col_5,col_6,division
,Representative In Congress 1st District - Democrat,Representative In The General Assembly 182nd District - Democrat,,,,All
,Robert A Brady,Brian Sims,Ben Waxman,Lou Lanni,Marni Snyder,All
Robert A Brady,193,851,647,303,230,All
Brian Sims,,125,0,0,0,All
Ben Waxman,,,73,0,0,All
Lou Lanni,,,,25,0,All
Marni Snyder,,,,,17,All
Total,"2,224",976,720,328,247,All
,Representative In Congress 1st District - Democrat,Representative In The General Assembly 182nd District - Democrat,,,,6
,Robert A Brady,Brian Sims,Ben Waxman,Lou Lanni,Marni Snyder,6
Robert A Brady,28,128,80,40,37,6
Brian Sims,,20,0,0,0,6
Ben Waxman,,,16,0,0,6
Lou Lanni,,,,5,0,6
Marni Snyder,,,,,5,6
Total,313,148,96,45,42,6
,Representative In Congress 1st District - Democrat,Representative In The General Assembly 182nd District - Democrat,,,,7
,Robert A Brady,Brian Sims,Ben Waxman,Lou Lanni,Marni Snyder,7
Robert A Brady,26,117,61,31,32,7
Brian Sims,,23,0,0,0,7
Ben Waxman,,,2,0,0,7
Lou Lanni,,,,1,0,7
Marni Snyder,,,,,0,7
Total,267,140,63,32,32,7
,Representative In Congress 1st District - Democrat,Representative In The General Assembly 182nd District - Democrat,,,,8
,Robert A Brady,Brian Sims,Ben Waxman,Marni Snyder,Lou Lanni,8
Robert A Brady,20,133,107,46,39,8
Brian Sims,,17,0,0,0,8
Ben Waxman,,,12,0,0,8
Marni Snyder,,,,5,0,8
Lou Lanni,,,,,3,8
Total,345,150,119,51,42,8
,Representative In Congress 1st District - Democrat,Representative In The General Assembly 182nd District - Democrat,,,,9
,Robert A Brady,Brian Sims,Ben Waxman,Lou Lanni,Marni Snyder,9
Robert A Brady,28,122,92,44,30,9
Brian Sims,,18,0,0,0,9
Ben Waxman,,,14,0,0,9
Lou Lanni,,,,2,0,9
Marni Snyder,,,,,1,9
Total,316,140,106,46,31,9
,Representative In Congress 1st District - Democrat,Representative In The General Assembly 182nd District - Democrat,,,,11
,Robert A Brady,Brian Sims,Ben Waxman,Lou Lanni,Marni Snyder,11
Robert A Brady,28,96,84,50,20,11
Brian Sims,,22,0,0,0,11
Ben Waxman,,,9,0,0,11
Lou Lanni,,,,6,0,11
Marni Snyder,,,,,2,11
Total,278,118,93,56,22,11
,Representative In Congress 1st District - Democrat,Representative In The General Assembly 182nd District - Democrat,,,,14
,Robert A Brady,Brian Sims,Ben Waxman,Lou Lanni,Marni Snyder,14
Robert A Brady,18,84,81,23,18,14
Brian Sims,,7,0,0,0,14
Ben Waxman,,,4,0,0,14
Lou Lanni,,,,0,0,14
Marni Snyder,,,,,0,14
Total,224,91,85,23,18,14
,Representative In Congress 1st District - Democrat,Representative In The General Assembly 182nd District - Democrat,,,,22
,Robert A Brady,Brian Sims,Ben Waxman,Lou Lanni,Marni Snyder,22
Robert A Brady,26,78,55,38,18,22
Brian Sims,,12,0,0,0,22
Ben Waxman,,,13,0,0,22
Lou Lanni,,,,5,0,22
Marni Snyder,,,,,2,22
Total,215,90,68,43,20,22
,Representative In Congress 1st District - Democrat,Representative In The General Assembly 182nd District - Democrat,,,,28
,Robert A Brady,Brian Sims,Ben Waxman,Lou Lanni,Marni Snyder,28
Robert A Brady,11,68,69,29,17,28
Brian Sims,,5,0,0,0,28
Ben Waxman,,,2,0,0,28
Lou Lanni,,,,3,0,28
Marni Snyder,,,,,1,28
Total,194,73,71,32,18,28
,Representative In Congress 1st District - Democrat,Representative In The General Assembly 182nd District - Democrat,,,,29
,Robert A Brady,Brian Sims,Ben Waxman,Marni Snyder,Lou Lanni,29
Robert A Brady,8,25,18,12,9,29
Brian Sims,,1,0,0,0,29
Ben Waxman,,,1,0,0,29
Marni Snyder,,,,1,0,29
Lou Lanni,,,,,0,29
Total,72,26,19,13,9,29
