col_1,col_2,division
,Auditor General - Republican,All
,John Brown,All
John Brown,177,All
Total,177,All
,Auditor General - Republican,1
,John Brown,1
John Brown,4,1
Total,4,1
,Auditor General - Republican,2
,John Brown,2
John Brown,9,2
Total,9,2
,Auditor General - Republican,3
,John Brown,3
John Brown,2,3
Total,2,3
,Auditor General - Republican,4
,John Brown,4
John Brown,3,4
Total,3,4
,Auditor General - Republican,5
,John Brown,5
John Brown,7,5
Total,7,5
,Auditor General - Republican,6
,John Brown,6
John Brown,3,6
Total,3,6
,Auditor General - Republican,7
,John Brown,7
John Brown,7,7
Total,7,7
,Auditor General - Republican,9
,John Brown,9
John Brown,7,9
Total,7,9
,Auditor General - Republican,10
,John Brown,10
John Brown,2,10
Total,2,10
,Auditor General - Republican,11
,John Brown,11
John Brown,5,11
Total,5,11
,Auditor General - Republican,12
,John Brown,12
John Brown,2,12
Total,2,12
,Auditor General - Republican,13
,John Brown,13
John Brown,1,13
Total,1,13
,Auditor General - Republican,14
,John Brown,14
John Brown,12,14
Total,12,14
,Auditor General - Republican,15
,John Brown,15
John Brown,3,15
Total,3,15
,Auditor General - Republican,16
,John Brown,16
John Brown,2,16
Total,2,16
,Auditor General - Republican,17
,John Brown,17
John Brown,1,17
Total,1,17
,Auditor General - Republican,18
,John Brown,18
John Brown,1,18
Total,1,18
,Auditor General - Republican,19
,John Brown,19
John Brown,1,19
Total,1,19
,Auditor General - Republican,20
,John Brown,20
John Brown,2,20
Total,2,20
,Auditor General - Republican,22
,John Brown,22
John Brown,1,22
Total,1,22
,Auditor General - Republican,23
,John Brown,23
John Brown,1,23
Total,1,23
,Auditor General - Republican,24
,John Brown,24
John Brown,2,24
Total,2,24
,Auditor General - Republican,25
,John Brown,25
John Brown,8,25
Total,8,25
,Auditor General - Republican,26
,John Brown,26
John Brown,2,26
Total,2,26
,Auditor General - Republican,27
,John Brown,27
John Brown,10,27
Total,10,27
,Auditor General - Republican,28
,John Brown,28
John Brown,4,28
Total,4,28
,Auditor General - Republican,29
,John Brown,29
John Brown,7,29
Total,7,29
,Auditor General - Republican,30
,John Brown,30
John Brown,1,30
Total,1,30
,Auditor General - Republican,31
,John Brown,31
John Brown,7,31
Total,7,31
,Auditor General - Republican,32
,John Brown,32
John Brown,2,32
Total,2,32
,Auditor General - Republican,33
,John Brown,33
John Brown,10,33
Total,10,33
,Auditor General - Republican,34
,John Brown,34
John Brown,11,34
Total,11,34
,Auditor General - Republican,35
,John Brown,35
John Brown,10,35
Total,10,35
,Auditor General - Republican,36
,John Brown,36
John Brown,7,36
Total,7,36
,Auditor General - Republican,37
,John Brown,37
John Brown,11,37
Total,11,37
,Auditor General - Republican,38
,John Brown,38
John Brown,1,38
Total,1,38
,Auditor General - Republican,39
,John Brown,39
John Brown,6,39
Total,6,39
,Auditor General - Republican,40
,John Brown,40
John Brown,1,40
Total,1,40
,Auditor General - Republican,41
,John Brown,41
John Brown,1,41
Total,1,41
