col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,division
,Representative In The General Assembly 194th District - Democrat,,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,,,,,,,,All
,Pam Delissio,Sean Stevens,Cindy Bass,Malcolm Kenyatta,Katherine J Gilmore,Jerry T Jordan,Yasmeen Kaboud,Ken Washington,Mary Jo Daley,Vincent Hughes,Michelle W Singer,Mark Aronchick,Nicole Allen White,Lou Agre,Heather A Steinmiller,Joe Foster,Blondell Reynolds Brown,Ariana Flores Gordon,Sherrie Cohen,Carol Rose Fleischman,Hamdi Soysal,William Leopold,Gwen Snyder,Margaret Lenzi,Waleed Shahid,Tonya Diane Bah,All
Pam Delissio,79,0,577,467,462,446,367,414,409,404,398,393,395,343,376,367,374,313,301,284,280,279,285,277,274,257,All
Sean Stevens,,111,336,292,287,265,281,241,239,244,228,224,226,263,208,216,208,234,231,236,229,224,212,212,197,207,All
Cindy Bass,,,20,699,705,668,165,607,615,589,579,585,586,148,565,550,553,119,120,109,97,98,103,90,80,75,All
Malcolm Kenyatta,,,,1,661,663,158,592,578,579,556,581,555,145,547,538,550,109,119,107,100,99,96,93,81,73,All
Katherine J Gilmore,,,,,2,642,157,588,599,564,571,573,566,131,550,542,526,103,116,99,96,95,97,87,75,65,All
Jerry T Jordan,,,,,,1,137,568,563,561,540,565,535,133,533,528,523,90,103,89,91,88,87,79,66,57,All
Yasmeen Kaboud,,,,,,,6,113,105,99,89,94,96,551,69,86,66,504,483,483,486,464,471,447,453,454,All
Ken Washington,,,,,,,,2,573,578,565,572,576,101,549,568,549,88,97,83,79,85,80,77,65,57,All
Mary Jo Daley,,,,,,,,,1,549,552,574,552,91,534,527,513,86,95,69,76,75,75,67,57,49,All
Vincent Hughes,,,,,,,,,,2,557,555,554,90,543,551,561,76,85,67,70,84,65,75,59,60,All
Michelle W Singer,,,,,,,,,,,0,542,560,83,550,531,537,70,79,63,63,77,68,77,62,52,All
Mark Aronchick,,,,,,,,,,,,2,533,89,534,534,521,81,91,71,75,72,69,61,48,41,All
Nicole Allen White,,,,,,,,,,,,,0,85,544,546,539,81,88,74,66,81,82,89,66,63,All
Lou Agre,,,,,,,,,,,,,,0,59,74,65,494,483,476,486,460,456,447,443,448,All
Heather A Steinmiller,,,,,,,,,,,,,,,1,529,524,51,63,52,43,48,41,61,41,44,All
Joe Foster,,,,,,,,,,,,,,,,0,520,66,68,56,52,72,68,68,63,45,All
Blondell Reynolds Brown,,,,,,,,,,,,,,,,,0,52,67,52,45,60,44,56,41,41,All
Ariana Flores Gordon,,,,,,,,,,,,,,,,,,2,492,485,492,467,478,454,460,455,All
Sherrie Cohen,,,,,,,,,,,,,,,,,,,0,478,486,466,458,449,440,448,All
Carol Rose Fleischman,,,,,,,,,,,,,,,,,,,,1,474,449,449,445,429,446,All
Hamdi Soysal,,,,,,,,,,,,,,,,,,,,,1,465,457,443,441,449,All
William Leopold,,,,,,,,,,,,,,,,,,,,,,0,446,460,447,448,All
Gwen Snyder,,,,,,,,,,,,,,,,,,,,,,,1,444,437,437,All
Margaret Lenzi,,,,,,,,,,,,,,,,,,,,,,,,1,438,441,All
Waleed Shahid,,,,,,,,,,,,,,,,,,,,,,,,,0,429,All
Tonya Diane Bah,,,,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,"1,022",771,973,799,787,741,701,685,682,679,651,650,650,647,613,610,608,590,569,554,544,534,533,525,506,500,All
,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,,,,,,,,Representative In The General Assembly 194th District - Democrat,,1
