col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,division
,Representative In The General Assembly 186th District - Democrat,,Delegate To The Democratic National Convention 2nd District,,,,,,,,,,,,,,,,,,,,,,,,All
,Jordan A Harris,L Warren Bullard,Cindy Bass,Malcolm Kenyatta,Katherine J Gilmore,Jerry T Jordan,Yasmeen Kaboud,Mary Jo Daley,Ken Washington,Mark Aronchick,Vincent Hughes,Nicole Allen White,Lou Agre,Blondell Reynolds Brown,Michelle W Singer,Joe Foster,Heather A Steinmiller,Sherrie Cohen,Ariana Flores Gordon,Carol Rose Fleischman,Gwen Snyder,Hamdi Soysal,William Leopold,Margaret Lenzi,Waleed Shahid,Tonya Diane Bah,All
Jordan A Harris,"1,167",0,"6,998","6,164","5,926","5,623","4,677","4,647","4,639","4,511","4,413","4,392","4,198","4,347","4,262","4,156","4,096","3,608","3,592","3,420","3,357","3,281","3,263","3,196","3,197","3,152",All
L Warren Bullard,,19,37,30,25,23,35,18,17,15,17,19,29,18,16,17,17,25,23,20,22,19,19,18,20,23,All
Cindy Bass,,,207,"5,794","5,858","5,619","1,347","4,803","4,697","4,602","4,433","4,490","1,256","4,365","4,385","4,195","4,323",901,835,745,736,661,668,637,580,574,All
Malcolm Kenyatta,,,,67,"5,635","5,618","1,423","4,600","4,577","4,522","4,368","4,320","1,288","4,286","4,252","4,174","4,201",933,873,781,799,757,753,727,689,651,All
Katherine J Gilmore,,,,,45,"5,441","1,314","4,632","4,469","4,456","4,242","4,318","1,130","4,152","4,264","4,082","4,208",840,774,709,700,658,631,644,572,547,All
Jerry T Jordan,,,,,,23,"1,290","4,451","4,400","4,418","4,168","4,162","1,219","4,077","4,117","4,039","4,086",858,794,730,725,690,699,647,603,593,All
Yasmeen Kaboud,,,,,,,97,705,749,715,599,626,"4,094",561,555,601,469,"3,572","3,663","3,523","3,418","3,466","3,330","3,236","3,305","3,288",All
Mary Jo Daley,,,,,,,,9,"4,462","4,530","4,198","4,270",597,"4,125","4,241","4,082","4,201",667,569,511,538,482,456,451,379,380,All
Ken Washington,,,,,,,,,6,"4,400","4,322","4,347",648,"4,198","4,280","4,176","4,206",683,617,536,593,524,547,516,467,460,All
Mark Aronchick,,,,,,,,,,6,"4,125","4,141",642,"4,039","4,163","4,021","4,100",718,606,539,574,515,517,493,427,411,All
Vincent Hughes,,,,,,,,,,,4,"4,242",498,"4,301","4,103","4,117","4,050",567,467,411,474,392,487,496,430,375,All
Nicole Allen White,,,,,,,,,,,,4,507,"4,190","4,189","4,137","4,151",568,515,447,521,416,495,562,484,421,All
Lou Agre,,,,,,,,,,,,,63,449,446,504,367,"3,533","3,560","3,484","3,350","3,419","3,334","3,203","3,221","3,269",All
Blondell Reynolds Brown,,,,,,,,,,,,,,11,"4,060","3,985","4,016",527,430,365,433,365,428,495,416,370,All
Michelle W Singer,,,,,,,,,,,,,,,2,"4,019","4,162",523,435,394,465,345,419,457,382,347,All
Joe Foster,,,,,,,,,,,,,,,,1,"3,961",537,473,415,468,410,502,520,491,383,All
Heather A Steinmiller,,,,,,,,,,,,,,,,,4,445,337,294,345,283,339,381,277,283,All
Sherrie Cohen,,,,,,,,,,,,,,,,,,8,"3,595","3,539","3,418","3,489","3,381","3,268","3,227","3,280",All
Ariana Flores Gordon,,,,,,,,,,,,,,,,,,,13,"3,564","3,442","3,466","3,357","3,233","3,257","3,294",All
Carol Rose Fleischman,,,,,,,,,,,,,,,,,,,,6,"3,354","3,438","3,290","3,173","3,204","3,253",All
Gwen Snyder,,,,,,,,,,,,,,,,,,,,,7,"3,280","3,278","3,199","3,190","3,235",All
Hamdi Soysal,,,,,,,,,,,,,,,,,,,,,,1,"3,261","3,135","3,151","3,199",All
William Leopold,,,,,,,,,,,,,,,,,,,,,,,0,"3,247","3,245","3,224",All
Margaret Lenzi,,,,,,,,,,,,,,,,,,,,,,,,2,"3,201","3,157",All
Waleed Shahid,,,,,,,,,,,,,,,,,,,,,,,,,3,"3,158",All
Tonya Diane Bah,,,,,,,,,,,,,,,,,,,,,,,,,,2,All
Total,"13,296",105,"7,974","6,951","6,668","6,296","5,433","5,223","5,187","5,060","4,940","4,929","4,907","4,879","4,777","4,633","4,615","4,218","4,200","4,017","3,915","3,839","3,801","3,745","3,732","3,691",All
