col_1,col_2,col_3,col_4,col_5,col_6,division
,Attorney General,,United States Senator,,,All
,Josh Shapiro,John Rafferty,Pat Toomey,Katie Mcginty,Edward T Clifford Iii,All
Josh Shapiro,218,0,"1,913","8,179",159,All
John Rafferty,,147,"7,767",702,145,All
Pat Toomey,,,436,0,0,All
Katie Mcginty,,,,325,0,All
Edward T Clifford Iii,,,,,45,All
Total,"10,469","8,761","10,116","9,206",349,All
,Attorney General,,United States Senator,,,1
,Josh Shapiro,John Rafferty,Katie Mcginty,Pat Toomey,Edward T Clifford Iii,1
Josh Shapiro,12,0,312,66,4,1
John Rafferty,,13,17,177,14,1
Katie Mcginty,,,17,0,0,1
Pat Toomey,,,,12,0,1
Edward T Clifford Iii,,,,,3,1
Total,394,221,346,255,21,1
,United States Senator,,,Attorney General,,2
,Pat Toomey,Katie Mcginty,Edward T Clifford Iii,John Rafferty,Josh Shapiro,2
Pat Toomey,2,0,0,135,20,2
Katie Mcginty,,2,0,8,110,2
Edward T Clifford Iii,,,1,5,0,2
John Rafferty,,,,2,0,2
Josh Shapiro,,,,,2,2
Total,157,120,6,150,132,2
,United States Senator,,,Attorney General,,3
,Pat Toomey,Katie Mcginty,Edward T Clifford Iii,John Rafferty,Josh Shapiro,3
Pat Toomey,16,0,0,138,37,3
Katie Mcginty,,4,0,12,106,3
Edward T Clifford Iii,,,1,0,3,3
John Rafferty,,,,6,0,3
Josh Shapiro,,,,,5,3
Total,191,122,4,156,151,3
,Attorney General,,United States Senator,,,4
,Josh Shapiro,John Rafferty,Pat Toomey,Katie Mcginty,Edward T Clifford Iii,4
Josh Shapiro,2,0,25,134,0,4
John Rafferty,,2,129,12,5,4
Pat Toomey,,,7,0,0,4
Katie Mcginty,,,,3,0,4
Edward T Clifford Iii,,,,,2,4
Total,161,148,161,149,7,4
,Attorney General,,United States Senator,,,5
,Josh Shapiro,John Rafferty,Katie Mcginty,Pat Toomey,Edward T Clifford Iii,5
Josh Shapiro,4,0,168,32,5,5
John Rafferty,,1,7,131,0,5
Katie Mcginty,,,11,0,0,5
Pat Toomey,,,,3,0,5
Edward T Clifford Iii,,,,,0,5
Total,209,139,186,166,5,5
,United States Senator,,,Attorney General,,6
,Pat Toomey,Katie Mcginty,Edward T Clifford Iii,Josh Shapiro,John Rafferty,6
Pat Toomey,7,0,0,76,143,6
Katie Mcginty,,2,0,131,8,6
Edward T Clifford Iii,,,1,0,0,6
Josh Shapiro,,,,2,0,6
John Rafferty,,,,,7,6
Total,226,141,1,209,158,6
,United States Senator,,,Attorney General,,7
,Pat Toomey,Katie Mcginty,Edward T Clifford Iii,John Rafferty,Josh Shapiro,7
Pat Toomey,10,0,0,140,35,7
Katie Mcginty,,9,0,12,107,7
Edward T Clifford Iii,,,0,2,4,7
John Rafferty,,,,2,0,7
Josh Shapiro,,,,,1,7
Total,185,128,6,156,147,7
,Attorney General,,United States Senator,,,8
,Josh Shapiro,John Rafferty,Katie Mcginty,Pat Toomey,Edward T Clifford Iii,8
Josh Shapiro,5,0,526,77,10,8
John Rafferty,,6,18,279,3,8
Katie Mcginty,,,11,0,0,8
Pat Toomey,,,,16,0,8
Edward T Clifford Iii,,,,,1,8
Total,618,306,555,372,14,8
,United States Senator,,,Attorney General,,9
,Pat Toomey,Katie Mcginty,Edward T Clifford Iii,John Rafferty,Josh Shapiro,9
Pat Toomey,12,0,0,181,40,9
Katie Mcginty,,7,0,24,121,9
Edward T Clifford Iii,,,0,2,2,9
John Rafferty,,,,2,0,9
Josh Shapiro,,,,,3,9
Total,233,152,4,209,166,9
,Attorney General,,United States Senator,,,10
,Josh Shapiro,John Rafferty,Pat Toomey,Katie Mcginty,Edward T Clifford Iii,10
Josh Shapiro,5,0,42,166,2,10
John Rafferty,,1,155,11,3,10
Pat Toomey,,,8,0,0,10
Katie Mcginty,,,,7,0,10
Edward T Clifford Iii,,,,,1,10
Total,215,170,205,184,6,10
,United States Senator,,,Attorney General,,11
,Pat Toomey,Katie Mcginty,Edward T Clifford Iii,John Rafferty,Josh Shapiro,11
Pat Toomey,9,0,0,193,32,11
Katie Mcginty,,6,0,17,144,11
Edward T Clifford Iii,,,0,8,5,11
John Rafferty,,,,2,0,11
Josh Shapiro,,,,,6,11
Total,234,167,13,220,187,11
,Attorney General,,United States Senator,,,12
,Josh Shapiro,John Rafferty,Katie Mcginty,Pat Toomey,Edward T Clifford Iii,12
Josh Shapiro,2,0,208,29,3,12
John Rafferty,,1,15,125,5,12
Katie Mcginty,,,9,0,0,12
Pat Toomey,,,,10,0,12
Edward T Clifford Iii,,,,,3,12
Total,242,146,232,164,11,12
,Attorney General,,United States Senator,,,13
,Josh Shapiro,John Rafferty,Katie Mcginty,Pat Toomey,Edward T Clifford Iii,13
Josh Shapiro,2,0,127,40,0,13
John Rafferty,,2,15,98,1,13
Katie Mcginty,,,8,0,0,13
Pat Toomey,,,,6,0,13
Edward T Clifford Iii,,,,,1,13
Total,169,116,150,144,2,13
,United States Senator,,,Attorney General,,14
,Pat Toomey,Katie Mcginty,Edward T Clifford Iii,John Rafferty,Josh Shapiro,14
Pat Toomey,19,0,0,167,48,14
Katie Mcginty,,4,0,31,148,14
Edward T Clifford Iii,,,0,4,4,14
John Rafferty,,,,5,0,14
Josh Shapiro,,,,,5,14
Total,234,183,8,207,205,14
,Attorney General,,United States Senator,,,15
,Josh Shapiro,John Rafferty,Katie Mcginty,Pat Toomey,Edward T Clifford Iii,15
Josh Shapiro,5,0,240,34,3,15
John Rafferty,,2,12,186,6,15
Katie Mcginty,,,4,0,0,15
Pat Toomey,,,,12,0,15
Edward T Clifford Iii,,,,,0,15
Total,282,206,256,232,9,15
,United States Senator,,,Attorney General,,16
,Pat Toomey,Katie Mcginty,Edward T Clifford Iii,Josh Shapiro,John Rafferty,16
Pat Toomey,7,0,0,29,121,16
Katie Mcginty,,4,0,105,5,16
Edward T Clifford Iii,,,1,1,2,16
Josh Shapiro,,,,6,0,16
John Rafferty,,,,,0,16
Total,157,114,4,141,128,16
,United States Senator,,,Attorney General,,17
,Pat Toomey,Katie Mcginty,Edward T Clifford Iii,John Rafferty,Josh Shapiro,17
Pat Toomey,7,0,0,166,21,17
Katie Mcginty,,3,0,21,124,17
Edward T Clifford Iii,,,1,2,1,17
John Rafferty,,,,3,0,17
Josh Shapiro,,,,,5,17
Total,194,148,4,192,151,17
,Attorney General,,United States Senator,,,18
,Josh Shapiro,John Rafferty,Pat Toomey,Katie Mcginty,Edward T Clifford Iii,18
Josh Shapiro,6,0,37,178,4,18
John Rafferty,,6,164,17,0,18
Pat Toomey,,,11,0,0,18
Katie Mcginty,,,,14,0,18
Edward T Clifford Iii,,,,,4,18
Total,225,187,212,209,8,18
,Attorney General,,United States Senator,,,19
,Josh Shapiro,John Rafferty,Katie Mcginty,Pat Toomey,Edward T Clifford Iii,19
Josh Shapiro,2,0,185,35,7,19
John Rafferty,,5,11,140,4,19
Katie Mcginty,,,6,0,0,19
Pat Toomey,,,,4,0,19
Edward T Clifford Iii,,,,,2,19
Total,229,160,202,179,13,19
,Attorney General,,United States Senator,,,20
,Josh Shapiro,John Rafferty,Katie Mcginty,Pat Toomey,Edward T Clifford Iii,20
Josh Shapiro,8,0,175,44,5,20
John Rafferty,,4,13,140,8,20
Katie Mcginty,,,7,0,0,20
Pat Toomey,,,,7,0,20
Edward T Clifford Iii,,,,,4,20
Total,232,165,195,191,17,20
,Attorney General,,United States Senator,,,21
,Josh Shapiro,John Rafferty,Katie Mcginty,Pat Toomey,Edward T Clifford Iii,21
Josh Shapiro,6,0,306,59,4,21
John Rafferty,,3,19,233,7,21
Katie Mcginty,,,11,0,0,21
Pat Toomey,,,,17,0,21
Edward T Clifford Iii,,,,,2,21
Total,375,262,336,309,13,21
,Attorney General,,United States Senator,,,22
,Josh Shapiro,John Rafferty,Katie Mcginty,Pat Toomey,Edward T Clifford Iii,22
Josh Shapiro,6,0,309,62,4,22
John Rafferty,,5,20,232,5,22
Katie Mcginty,,,10,0,0,22
Pat Toomey,,,,8,0,22
Edward T Clifford Iii,,,,,1,22
Total,381,262,339,302,10,22
,Attorney General,,United States Senator,,,23
,Josh Shapiro,John Rafferty,Katie Mcginty,Pat Toomey,Edward T Clifford Iii,23
Josh Shapiro,7,0,215,49,5,23
John Rafferty,,4,14,163,2,23
Katie Mcginty,,,10,0,0,23
Pat Toomey,,,,13,0,23
Edward T Clifford Iii,,,,,0,23
Total,276,183,239,225,7,23
,United States Senator,,,Attorney General,,24
,Pat Toomey,Katie Mcginty,Edward T Clifford Iii,Josh Shapiro,John Rafferty,24
Pat Toomey,7,0,0,40,165,24
Katie Mcginty,,9,0,155,19,24
Edward T Clifford Iii,,,0,0,0,24
Josh Shapiro,,,,4,0,24
John Rafferty,,,,,3,24
Total,212,183,0,199,187,24
,United States Senator,,,Attorney General,,25
,Pat Toomey,Katie Mcginty,Edward T Clifford Iii,John Rafferty,Josh Shapiro,25
Pat Toomey,11,0,0,166,25,25
Katie Mcginty,,9,0,15,93,25
Edward T Clifford Iii,,,1,3,2,25
John Rafferty,,,,1,0,25
Josh Shapiro,,,,,1,25
Total,202,117,6,185,121,25
,Attorney General,,United States Senator,,,26
,Josh Shapiro,John Rafferty,Pat Toomey,Katie Mcginty,Edward T Clifford Iii,26
Josh Shapiro,5,0,44,191,5,26
John Rafferty,,2,187,22,1,26
Pat Toomey,,,12,0,0,26
Katie Mcginty,,,,8,0,26
Edward T Clifford Iii,,,,,1,26
Total,245,212,243,221,7,26
,Attorney General,,United States Senator,,,27
,Josh Shapiro,John Rafferty,Katie Mcginty,Pat Toomey,Edward T Clifford Iii,27
Josh Shapiro,3,0,167,30,1,27
John Rafferty,,2,7,112,2,27
Katie Mcginty,,,6,0,0,27
Pat Toomey,,,,2,0,27
Edward T Clifford Iii,,,,,1,27
Total,201,123,180,144,4,27
,Attorney General,,United States Senator,,,28
,Josh Shapiro,John Rafferty,Pat Toomey,Katie Mcginty,Edward T Clifford Iii,28
Josh Shapiro,3,0,32,177,10,28
John Rafferty,,0,152,14,6,28
Pat Toomey,,,10,0,0,28
Katie Mcginty,,,,1,0,28
Edward T Clifford Iii,,,,,3,28
Total,222,172,194,192,19,28
,United States Senator,,,Attorney General,,29
,Pat Toomey,Katie Mcginty,Edward T Clifford Iii,John Rafferty,Josh Shapiro,29
Pat Toomey,14,0,0,248,61,29
Katie Mcginty,,13,0,15,159,29
Edward T Clifford Iii,,,1,3,4,29
John Rafferty,,,,2,0,29
Josh Shapiro,,,,,5,29
Total,323,187,8,268,229,29
,United States Senator,,,Attorney General,,30
,Pat Toomey,Katie Mcginty,Edward T Clifford Iii,John Rafferty,Josh Shapiro,30
Pat Toomey,13,0,0,194,40,30
Katie Mcginty,,4,0,7,144,30
Edward T Clifford Iii,,,1,3,6,30
John Rafferty,,,,2,0,30
Josh Shapiro,,,,,15,30
Total,247,155,10,206,205,30
,United States Senator,,,Attorney General,,31
,Pat Toomey,Katie Mcginty,Edward T Clifford Iii,John Rafferty,Josh Shapiro,31
Pat Toomey,5,0,0,172,45,31
Katie Mcginty,,5,0,21,142,31
Edward T Clifford Iii,,,1,3,4,31
John Rafferty,,,,3,0,31
Josh Shapiro,,,,,4,31
Total,222,168,8,199,195,31
,Attorney General,,United States Senator,,,32
,Josh Shapiro,John Rafferty,Katie Mcginty,Pat Toomey,Edward T Clifford Iii,32
Josh Shapiro,9,0,199,42,2,32
John Rafferty,,3,16,142,5,32
Katie Mcginty,,,5,0,0,32
Pat Toomey,,,,7,0,32
Edward T Clifford Iii,,,,,0,32
Total,252,166,220,191,7,32
,Attorney General,,United States Senator,,,33
,Josh Shapiro,John Rafferty,Pat Toomey,Katie Mcginty,Edward T Clifford Iii,33
Josh Shapiro,8,0,49,218,4,33
John Rafferty,,5,200,23,1,33
Pat Toomey,,,10,0,0,33
Katie Mcginty,,,,10,0,33
Edward T Clifford Iii,,,,,1,33
Total,279,229,259,251,6,33
,United States Senator,,,Attorney General,,34
,Pat Toomey,Katie Mcginty,Edward T Clifford Iii,John Rafferty,Josh Shapiro,34
Pat Toomey,13,0,0,177,61,34
Katie Mcginty,,7,0,16,112,34
Edward T Clifford Iii,,,1,3,3,34
John Rafferty,,,,1,0,34
Josh Shapiro,,,,,3,34
Total,251,135,7,197,179,34
,United States Senator,,,Attorney General,,35
,Pat Toomey,Katie Mcginty,Edward T Clifford Iii,John Rafferty,Josh Shapiro,35
Pat Toomey,9,0,0,204,32,35
Katie Mcginty,,7,0,19,178,35
Edward T Clifford Iii,,,0,3,6,35
John Rafferty,,,,5,0,35
Josh Shapiro,,,,,2,35
Total,245,204,9,231,218,35
,United States Senator,,,Attorney General,,36
,Pat Toomey,Katie Mcginty,Edward T Clifford Iii,John Rafferty,Josh Shapiro,36
Pat Toomey,10,0,0,267,38,36
Katie Mcginty,,9,0,25,212,36
Edward T Clifford Iii,,,0,0,2,36
John Rafferty,,,,2,0,36
Josh Shapiro,,,,,11,36
Total,315,246,2,294,263,36
,Attorney General,,United States Senator,,,37
,Josh Shapiro,John Rafferty,Katie Mcginty,Pat Toomey,Edward T Clifford Iii,37
Josh Shapiro,2,0,189,12,4,37
John Rafferty,,3,8,108,0,37
Katie Mcginty,,,6,0,0,37
Pat Toomey,,,,4,0,37
Edward T Clifford Iii,,,,,1,37
Total,207,119,203,124,5,37
,Attorney General,,United States Senator,,,38
,Josh Shapiro,John Rafferty,Katie Mcginty,Pat Toomey,Edward T Clifford Iii,38
Josh Shapiro,7,0,195,41,4,38
John Rafferty,,1,22,160,2,38
Katie Mcginty,,,4,0,0,38
Pat Toomey,,,,11,0,38
Edward T Clifford Iii,,,,,0,38
Total,247,185,221,212,6,38
,Attorney General,,United States Senator,,,39
,Josh Shapiro,John Rafferty,Pat Toomey,Katie Mcginty,Edward T Clifford Iii,39
Josh Shapiro,3,0,43,180,4,39
John Rafferty,,4,158,14,0,39
Pat Toomey,,,5,0,0,39
Katie Mcginty,,,,2,0,39
Edward T Clifford Iii,,,,,1,39
Total,230,176,206,196,5,39
,Attorney General,,United States Senator,,,40
,Josh Shapiro,John Rafferty,Pat Toomey,Katie Mcginty,Edward T Clifford Iii,40
Josh Shapiro,2,0,38,120,4,40
John Rafferty,,4,118,15,3,40
Pat Toomey,,,6,0,0,40
Katie Mcginty,,,,3,0,40
Edward T Clifford Iii,,,,,1,40
Total,164,140,162,138,8,40
,Attorney General,,United States Senator,,,41
,Josh Shapiro,John Rafferty,Katie Mcginty,Pat Toomey,Edward T Clifford Iii,41
Josh Shapiro,4,0,321,40,6,41
John Rafferty,,3,9,116,5,41
Katie Mcginty,,,7,0,0,41
Pat Toomey,,,,4,0,41
Edward T Clifford Iii,,,,,0,41
Total,371,133,337,160,11,41
,United States Senator,,,Attorney General,,42
,Pat Toomey,Katie Mcginty,Edward T Clifford Iii,John Rafferty,Josh Shapiro,42
Pat Toomey,12,0,0,178,26,42
Katie Mcginty,,7,0,10,123,42
Edward T Clifford Iii,,,0,1,2,42
John Rafferty,,,,3,0,42
Josh Shapiro,,,,,3,42
Total,216,140,3,192,154,42
,United States Senator,,,Attorney General,,43
,Pat Toomey,Katie Mcginty,Edward T Clifford Iii,John Rafferty,Josh Shapiro,43
Pat Toomey,14,0,0,252,69,43
Katie Mcginty,,11,0,17,198,43
Edward T Clifford Iii,,,0,0,4,43
John Rafferty,,,,5,0,43
Josh Shapiro,,,,,3,43
Total,335,226,4,274,274,43
,United States Senator,,,Attorney General,,44
,Pat Toomey,Katie Mcginty,Edward T Clifford Iii,John Rafferty,Josh Shapiro,44
Pat Toomey,11,0,0,200,58,44
Katie Mcginty,,10,0,13,141,44
Edward T Clifford Iii,,,0,5,6,44
John Rafferty,,,,3,0,44
Josh Shapiro,,,,,6,44
Total,269,164,11,221,211,44
,United States Senator,,,Attorney General,,45
,Pat Toomey,Katie Mcginty,Edward T Clifford Iii,John Rafferty,Josh Shapiro,45
Pat Toomey,9,0,0,150,37,45
Katie Mcginty,,7,0,13,94,45
Edward T Clifford Iii,,,1,4,0,45
John Rafferty,,,,1,0,45
Josh Shapiro,,,,,4,45
Total,196,114,5,168,135,45
,United States Senator,,,Attorney General,,46
,Pat Toomey,Katie Mcginty,Edward T Clifford Iii,John Rafferty,Josh Shapiro,46
Pat Toomey,14,0,0,205,41,46
Katie Mcginty,,6,0,23,126,46
Edward T Clifford Iii,,,1,4,0,46
John Rafferty,,,,5,0,46
Josh Shapiro,,,,,4,46
Total,260,155,5,237,171,46
