col_1,col_2,division
,Representative In Congress 13th District,All
,Brendan F Boyle,All
Brendan F Boyle,"11,266",All
Total,"11,266",All
,Representative In Congress 13th District,1
,Brendan F Boyle,1
Brendan F Boyle,710,1
Total,710,1
,Representative In Congress 13th District,2
,Brendan F Boyle,2
Brendan F Boyle,244,2
Total,244,2
,Representative In Congress 13th District,3
,Brendan F Boyle,3
Brendan F Boyle,243,3
Total,243,3
,Representative In Congress 13th District,4
,Brendan F Boyle,4
Brendan F Boyle,239,4
Total,239,4
,Representative In Congress 13th District,5
,Brendan F Boyle,5
Brendan F Boyle,174,5
Total,174,5
,Representative In Congress 13th District,6
,Brendan F Boyle,6
Brendan F Boyle,336,6
Total,336,6
,Representative In Congress 13th District,7
,Brendan F Boyle,7
Brendan F Boyle,343,7
Total,343,7
,Representative In Congress 13th District,8
,Brendan F Boyle,8
Brendan F Boyle,443,8
Total,443,8
,Representative In Congress 13th District,9
,Brendan F Boyle,9
Brendan F Boyle,274,9
Total,274,9
,Representative In Congress 13th District,10
,Brendan F Boyle,10
Brendan F Boyle,260,10
Total,260,10
,Representative In Congress 13th District,11
,Brendan F Boyle,11
Brendan F Boyle,192,11
Total,192,11
,Representative In Congress 13th District,12
,Brendan F Boyle,12
Brendan F Boyle,269,12
Total,269,12
,Representative In Congress 13th District,13
,Brendan F Boyle,13
Brendan F Boyle,193,13
Total,193,13
,Representative In Congress 13th District,14
,Brendan F Boyle,14
Brendan F Boyle,215,14
Total,215,14
,Representative In Congress 13th District,15
,Brendan F Boyle,15
Brendan F Boyle,198,15
Total,198,15
,Representative In Congress 13th District,16
,Brendan F Boyle,16
Brendan F Boyle,236,16
Total,236,16
,Representative In Congress 13th District,17
,Brendan F Boyle,17
Brendan F Boyle,260,17
Total,260,17
,Representative In Congress 13th District,18
,Brendan F Boyle,18
Brendan F Boyle,204,18
Total,204,18
,Representative In Congress 13th District,19
,Brendan F Boyle,19
Brendan F Boyle,430,19
Total,430,19
,Representative In Congress 13th District,20
,Brendan F Boyle,20
Brendan F Boyle,181,20
Total,181,20
,Representative In Congress 13th District,21
,Brendan F Boyle,21
Brendan F Boyle,256,21
Total,256,21
,Representative In Congress 13th District,22
,Brendan F Boyle,22
Brendan F Boyle,161,22
Total,161,22
,Representative In Congress 13th District,23
,Brendan F Boyle,23
Brendan F Boyle,295,23
Total,295,23
,Representative In Congress 13th District,24
,Brendan F Boyle,24
Brendan F Boyle,249,24
Total,249,24
,Representative In Congress 13th District,25
,Brendan F Boyle,25
Brendan F Boyle,326,25
Total,326,25
,Representative In Congress 13th District,26
,Brendan F Boyle,26
Brendan F Boyle,278,26
Total,278,26
,Representative In Congress 13th District,27
,Brendan F Boyle,27
Brendan F Boyle,221,27
Total,221,27
,Representative In Congress 13th District,28
,Brendan F Boyle,28
Brendan F Boyle,279,28
Total,279,28
,Representative In Congress 13th District,29
,Brendan F Boyle,29
Brendan F Boyle,204,29
Total,204,29
,Representative In Congress 13th District,30
,Brendan F Boyle,30
Brendan F Boyle,415,30
Total,415,30
,Representative In Congress 13th District,31
,Brendan F Boyle,31
Brendan F Boyle,339,31
Total,339,31
,Representative In Congress 13th District,32
,Brendan F Boyle,32
Brendan F Boyle,200,32
Total,200,32
,Representative In Congress 13th District,33
,Brendan F Boyle,33
Brendan F Boyle,237,33
Total,237,33
,Representative In Congress 13th District,34
,Brendan F Boyle,34
Brendan F Boyle,208,34
Total,208,34
,Representative In Congress 13th District,35
,Brendan F Boyle,35
Brendan F Boyle,256,35
Total,256,35
,Representative In Congress 13th District,36
,Brendan F Boyle,36
Brendan F Boyle,212,36
Total,212,36
,Representative In Congress 13th District,37
,Brendan F Boyle,37
Brendan F Boyle,222,37
Total,222,37
,Representative In Congress 13th District,38
,Brendan F Boyle,38
Brendan F Boyle,263,38
Total,263,38
,Representative In Congress 13th District,39
,Brendan F Boyle,39
Brendan F Boyle,319,39
Total,319,39
,Representative In Congress 13th District,40
,Brendan F Boyle,40
Brendan F Boyle,213,40
Total,213,40
,Representative In Congress 13th District,41
,Brendan F Boyle,41
Brendan F Boyle,469,41
Total,469,41
