col_1,col_2,col_3,division
,Representative In The General Assembly 172nd District,,All
,Kevin J Boyle,Jim Pio,All
Kevin J Boyle,"15,287",0,All
Jim Pio,,"8,831",All
Total,"15,287","8,831",All
