col_1,col_2,division
,Representative In The General Assembly 182nd District,All
,Brian Sims,All
Brian Sims,"17,118",All
Total,"17,118",All
,Representative In The General Assembly 182nd District,1
,Brian Sims,1
Brian Sims,499,1
Total,499,1
,Representative In The General Assembly 182nd District,2
,Brian Sims,2
Brian Sims,472,2
Total,472,2
,Representative In The General Assembly 182nd District,3
,Brian Sims,3
Brian Sims,647,3
Total,647,3
,Representative In The General Assembly 182nd District,4
,Brian Sims,4
Brian Sims,803,4
Total,803,4
,Representative In The General Assembly 182nd District,5
,Brian Sims,5
Brian Sims,943,5
Total,943,5
,Representative In The General Assembly 182nd District,6
,Brian Sims,6
Brian Sims,470,6
Total,470,6
,Representative In The General Assembly 182nd District,7
,Brian Sims,7
Brian Sims,539,7
Total,539,7
,Representative In The General Assembly 182nd District,8
,Brian Sims,8
Brian Sims,578,8
Total,578,8
,Representative In The General Assembly 182nd District,9
,Brian Sims,9
Brian Sims,621,9
Total,621,9
,Representative In The General Assembly 182nd District,10
,Brian Sims,10
Brian Sims,591,10
Total,591,10
,Representative In The General Assembly 182nd District,11
,Brian Sims,11
Brian Sims,482,11
Total,482,11
,Representative In The General Assembly 182nd District,12
,Brian Sims,12
Brian Sims,616,12
Total,616,12
,Representative In The General Assembly 182nd District,13
,Brian Sims,13
Brian Sims,377,13
Total,377,13
,Representative In The General Assembly 182nd District,14
,Brian Sims,14
Brian Sims,792,14
Total,792,14
,Representative In The General Assembly 182nd District,15
,Brian Sims,15
Brian Sims,868,15
Total,868,15
,Representative In The General Assembly 182nd District,16
,Brian Sims,16
Brian Sims,392,16
Total,392,16
,Representative In The General Assembly 182nd District,17
,Brian Sims,17
Brian Sims,446,17
Total,446,17
,Representative In The General Assembly 182nd District,18
,Brian Sims,18
Brian Sims,574,18
Total,574,18
,Representative In The General Assembly 182nd District,19
,Brian Sims,19
Brian Sims,509,19
Total,509,19
,Representative In The General Assembly 182nd District,20
,Brian Sims,20
Brian Sims,315,20
Total,315,20
,Representative In The General Assembly 182nd District,21
,Brian Sims,21
Brian Sims,375,21
Total,375,21
,Representative In The General Assembly 182nd District,22
,Brian Sims,22
Brian Sims,193,22
Total,193,22
,Representative In The General Assembly 182nd District,23
,Brian Sims,23
Brian Sims,550,23
Total,550,23
,Representative In The General Assembly 182nd District,24
,Brian Sims,24
Brian Sims,863,24
Total,863,24
,Representative In The General Assembly 182nd District,25
,Brian Sims,25
Brian Sims,547,25
Total,547,25
,Representative In The General Assembly 182nd District,26
,Brian Sims,26
Brian Sims,948,26
Total,948,26
,Representative In The General Assembly 182nd District,27
,Brian Sims,27
Brian Sims,451,27
Total,451,27
,Representative In The General Assembly 182nd District,28
,Brian Sims,28
Brian Sims,478,28
Total,478,28
,Representative In The General Assembly 182nd District,29
,Brian Sims,29
Brian Sims,643,29
Total,643,29
,Representative In The General Assembly 182nd District,30
,Brian Sims,30
Brian Sims,536,30
Total,536,30
