col_1,col_2,col_3,col_4,division
,Representative In Congress 13th District,Senator In The General Assembly 5th District,,All
,Brendan F Boyle,John Sabatina,Ross Feinberg,All
Brendan F Boyle,18,464,66,All
John Sabatina,,22,0,All
Ross Feinberg,,,177,All
Total,548,486,243,All
,Representative In Congress 13th District,Senator In The General Assembly 5th District,,7
,Brendan F Boyle,John Sabatina,Ross Feinberg,7
Brendan F Boyle,9,205,38,7
John Sabatina,,15,0,7
Ross Feinberg,,,86,7
Total,252,220,124,7
,Representative In Congress 13th District,Senator In The General Assembly 5th District,,15
,Brendan F Boyle,John Sabatina,Ross Feinberg,15
Brendan F Boyle,9,259,28,15
John Sabatina,,7,0,15
Ross Feinberg,,,91,15
Total,296,266,119,15
