col_1,col_2,col_3,col_4,col_5,col_6,division
,United States Senator,,,Special Election Representative In Congress 2nd District,,All
,Katie Mcginty,Pat Toomey,Edward T Clifford Iii,Dwight Evans,James Jones,All
Katie Mcginty,824,0,0,"3,578",20,All
Pat Toomey,,66,0,36,119,All
Edward T Clifford Iii,,,16,20,6,All
Dwight Evans,,,,119,0,All
James Jones,,,,,4,All
Total,"4,422",221,42,"3,753",149,All
,United States Senator,,,Special Election Representative In Congress 2nd District,,1
,Katie Mcginty,Pat Toomey,Edward T Clifford Iii,Dwight Evans,James Jones,1
Katie Mcginty,44,0,0,172,3,1
Pat Toomey,,7,0,3,15,1
Edward T Clifford Iii,,,3,4,2,1
Dwight Evans,,,,5,0,1
James Jones,,,,,0,1
Total,219,25,9,184,20,1
,United States Senator,,,Special Election Representative In Congress 2nd District,,2
,Katie Mcginty,Edward T Clifford Iii,Pat Toomey,Dwight Evans,James Jones,2
Katie Mcginty,39,0,0,119,0,2
Edward T Clifford Iii,,1,0,0,0,2
Pat Toomey,,,0,0,0,2
Dwight Evans,,,,7,0,2
James Jones,,,,,0,2
Total,158,1,0,126,0,2
,United States Senator,,,Special Election Representative In Congress 2nd District,,3
,Katie Mcginty,Pat Toomey,Edward T Clifford Iii,Dwight Evans,James Jones,3
Katie Mcginty,66,0,0,357,2,3
Pat Toomey,,9,0,6,20,3
Edward T Clifford Iii,,,5,5,2,3
Dwight Evans,,,,13,0,3
James Jones,,,,,0,3
Total,425,35,12,381,24,3
,United States Senator,,,Special Election Representative In Congress 2nd District,,4
,Katie Mcginty,Pat Toomey,Edward T Clifford Iii,Dwight Evans,James Jones,4
Katie Mcginty,18,0,0,143,0,4
Pat Toomey,,1,0,1,6,4
Edward T Clifford Iii,,,0,0,0,4
Dwight Evans,,,,5,0,4
James Jones,,,,,2,4
Total,161,8,0,149,8,4
,United States Senator,,,Special Election Representative In Congress 2nd District,,5
,Katie Mcginty,Pat Toomey,Edward T Clifford Iii,Dwight Evans,James Jones,5
Katie Mcginty,10,0,0,157,0,5
Pat Toomey,,1,0,1,2,5
Edward T Clifford Iii,,,0,0,0,5
Dwight Evans,,,,2,0,5
James Jones,,,,,0,5
Total,167,4,0,160,2,5
,United States Senator,,,Special Election Representative In Congress 2nd District,,6
,Katie Mcginty,Pat Toomey,Edward T Clifford Iii,Dwight Evans,James Jones,6
Katie Mcginty,25,0,0,138,0,6
Pat Toomey,,1,0,1,2,6
Edward T Clifford Iii,,,0,0,0,6
Dwight Evans,,,,8,0,6
James Jones,,,,,0,6
