col_1,col_2,col_3,col_4,col_5,division
,State Treasurer,,,,All
,Joe Torsella,Otto Voit,Kristin Combs,James Babb,All
Joe Torsella,"3,526",0,0,0,All
Otto Voit,,263,0,0,All
Kristin Combs,,,104,0,All
James Babb,,,,41,All
Total,"3,526",263,104,41,All
,State Treasurer,,,,1
,Joe Torsella,Otto Voit,Kristin Combs,James Babb,1
Joe Torsella,319,0,0,0,1
Otto Voit,,43,0,0,1
Kristin Combs,,,18,0,1
James Babb,,,,6,1
Total,319,43,18,6,1
,State Treasurer,,,,2
,Joe Torsella,Otto Voit,Kristin Combs,James Babb,2
Joe Torsella,248,0,0,0,2
Otto Voit,,16,0,0,2
Kristin Combs,,,10,0,2
James Babb,,,,0,2
Total,248,16,10,0,2
,State Treasurer,,,,3
,Joe Torsella,Otto Voit,Kristin Combs,James Babb,3
Joe Torsella,467,0,0,0,3
Otto Voit,,53,0,0,3
Kristin Combs,,,18,0,3
James Babb,,,,8,3
Total,467,53,18,8,3
,State Treasurer,,,,4
,Joe Torsella,Otto Voit,Kristin Combs,James Babb,4
Joe Torsella,177,0,0,0,4
Otto Voit,,8,0,0,4
Kristin Combs,,,5,0,4
James Babb,,,,1,4
Total,177,8,5,1,4
,State Treasurer,,,,5
,Joe Torsella,Otto Voit,Kristin Combs,James Babb,5
Joe Torsella,261,0,0,0,5
Otto Voit,,16,0,0,5
Kristin Combs,,,8,0,5
James Babb,,,,3,5
Total,261,16,8,3,5
,State Treasurer,,,,6
,Joe Torsella,Otto Voit,Kristin Combs,James Babb,6
Joe Torsella,279,0,0,0,6
Otto Voit,,42,0,0,6
Kristin Combs,,,7,0,6
James Babb,,,,6,6
Total,279,42,7,6,6
,State Treasurer,,,,7
,Joe Torsella,Otto Voit,Kristin Combs,James Babb,7
Joe Torsella,309,0,0,0,7
Otto Voit,,19,0,0,7
Kristin Combs,,,9,0,7
James Babb,,,,4,7
Total,309,19,9,4,7
,State Treasurer,,,,8
,Joe Torsella,Otto Voit,Kristin Combs,James Babb,8
Joe Torsella,178,0,0,0,8
Otto Voit,,9,0,0,8
Kristin Combs,,,4,0,8
James Babb,,,,2,8
Total,178,9,4,2,8
,State Treasurer,,,,9
,Joe Torsella,Otto Voit,Kristin Combs,James Babb,9
Joe Torsella,205,0,0,0,9
Otto Voit,,6,0,0,9
Kristin Combs,,,2,0,9
James Babb,,,,0,9
Total,205,6,2,0,9
,State Treasurer,,,,10
,Joe Torsella,Kristin Combs,Otto Voit,James Babb,10
Joe Torsella,145,0,0,0,10
Kristin Combs,,2,0,0,10
Otto Voit,,,2,0,10
James Babb,,,,0,10
Total,145,2,2,0,10
,State Treasurer,,,,11
,Joe Torsella,Otto Voit,James Babb,Kristin Combs,11
Joe Torsella,200,0,0,0,11
Otto Voit,,2,0,0,11
James Babb,,,0,0,11
Kristin Combs,,,,0,11
Total,200,2,0,0,11
,State Treasurer,,,,12
,Joe Torsella,Otto Voit,Kristin Combs,James Babb,12
Joe Torsella,343,0,0,0,12
Otto Voit,,39,0,0,12
Kristin Combs,,,10,0,12
James Babb,,,,8,12
Total,343,39,10,8,12
,State Treasurer,,,,13
,Joe Torsella,Kristin Combs,Otto Voit,James Babb,13
Joe Torsella,199,0,0,0,13
Kristin Combs,,6,0,0,13
Otto Voit,,,3,0,13
James Babb,,,,1,13
Total,199,6,3,1,13
,State Treasurer,,,,14
,Joe Torsella,Kristin Combs,Otto Voit,James Babb,14
Joe Torsella,196,0,0,0,14
Kristin Combs,,5,0,0,14
Otto Voit,,,5,0,14
James Babb,,,,2,14
Total,196,5,5,2,14
