col_1,col_2,division
,Representative In The General Assembly 203rd District,All
,Isabella Fitzgerald,All
Isabella Fitzgerald,"9,510",All
Total,"9,510",All
,Representative In The General Assembly 203rd District,4
,Isabella Fitzgerald,4
Isabella Fitzgerald,330,4
Total,330,4
,Representative In The General Assembly 203rd District,5
,Isabella Fitzgerald,5
Isabella Fitzgerald,338,5
Total,338,5
,Representative In The General Assembly 203rd District,6
,Isabella Fitzgerald,6
Isabella Fitzgerald,660,6
Total,660,6
,Representative In The General Assembly 203rd District,8
,Isabella Fitzgerald,8
Isabella Fitzgerald,391,8
Total,391,8
,Representative In The General Assembly 203rd District,9
,Isabella Fitzgerald,9
Isabella Fitzgerald,431,9
Total,431,9
,Representative In The General Assembly 203rd District,10
,Isabella Fitzgerald,10
Isabella Fitzgerald,461,10
Total,461,10
,Representative In The General Assembly 203rd District,11
,Isabella Fitzgerald,11
Isabella Fitzgerald,368,11
Total,368,11
,Representative In The General Assembly 203rd District,12
,Isabella Fitzgerald,12
Isabella Fitzgerald,375,12
Total,375,12
,Representative In The General Assembly 203rd District,13
,Isabella Fitzgerald,13
Isabella Fitzgerald,419,13
Total,419,13
,Representative In The General Assembly 203rd District,14
,Isabella Fitzgerald,14
Isabella Fitzgerald,386,14
Total,386,14
,Representative In The General Assembly 203rd District,15
,Isabella Fitzgerald,15
Isabella Fitzgerald,342,15
Total,342,15
,Representative In The General Assembly 203rd District,16
,Isabella Fitzgerald,16
Isabella Fitzgerald,381,16
Total,381,16
,Representative In The General Assembly 203rd District,17
,Isabella Fitzgerald,17
Isabella Fitzgerald,323,17
Total,323,17
,Representative In The General Assembly 203rd District,18
,Isabella Fitzgerald,18
Isabella Fitzgerald,430,18
Total,430,18
,Representative In The General Assembly 203rd District,19
,Isabella Fitzgerald,19
Isabella Fitzgerald,392,19
Total,392,19
,Representative In The General Assembly 203rd District,20
,Isabella Fitzgerald,20
Isabella Fitzgerald,370,20
Total,370,20
,Representative In The General Assembly 203rd District,21
,Isabella Fitzgerald,21
Isabella Fitzgerald,503,21
Total,503,21
,Representative In The General Assembly 203rd District,22
,Isabella Fitzgerald,22
Isabella Fitzgerald,328,22
Total,328,22
,Representative In The General Assembly 203rd District,23
,Isabella Fitzgerald,23
Isabella Fitzgerald,393,23
Total,393,23
,Representative In The General Assembly 203rd District,24
,Isabella Fitzgerald,24
Isabella Fitzgerald,309,24
Total,309,24
,Representative In The General Assembly 203rd District,25
,Isabella Fitzgerald,25
Isabella Fitzgerald,383,25
Total,383,25
,Representative In The General Assembly 203rd District,26
,Isabella Fitzgerald,26
Isabella Fitzgerald,372,26
Total,372,26
,Representative In The General Assembly 203rd District,27
,Isabella Fitzgerald,27
Isabella Fitzgerald,414,27
Total,414,27
,Representative In The General Assembly 203rd District,28
,Isabella Fitzgerald,28
Isabella Fitzgerald,411,28
Total,411,28
