col_1,col_2,col_3,col_4,col_5,col_6,division
,President And Vice President Of The United States,,,,,All
,Hillary Clinton,Donald J Trump,Gary Johnson,Jill Stein,Darrell L Castle,All
Hillary Clinton,"5,806",0,0,0,0,All
Donald J Trump,,"5,391",0,0,0,All
Gary Johnson,,,191,0,0,All
Jill Stein,,,,107,0,All
Darrell L Castle,,,,,26,All
Total,"5,806","5,391",191,107,26,All
,President And Vice President Of The United States,,,,,1
,Donald J Trump,Hillary Clinton,Gary Johnson,Jill Stein,Darrell L Castle,1
Donald J Trump,227,0,0,0,0,1
Hillary Clinton,,206,0,0,0,1
Gary Johnson,,,11,0,0,1
Jill Stein,,,,8,0,1
Darrell L Castle,,,,,2,1
Total,227,206,11,8,2,1
,President And Vice President Of The United States,,,,,2
,Donald J Trump,Hillary Clinton,Gary Johnson,Darrell L Castle,Jill Stein,2
Donald J Trump,247,0,0,0,0,2
Hillary Clinton,,204,0,0,0,2
Gary Johnson,,,3,0,0,2
Darrell L Castle,,,,0,0,2
Jill Stein,,,,,0,2
Total,247,204,3,0,0,2
,President And Vice President Of The United States,,,,,3
,Donald J Trump,Hillary Clinton,Gary Johnson,Jill Stein,Darrell L Castle,3
Donald J Trump,346,0,0,0,0,3
Hillary Clinton,,235,0,0,0,3
Gary Johnson,,,21,0,0,3
Jill Stein,,,,5,0,3
Darrell L Castle,,,,,1,3
Total,346,235,21,5,1,3
,President And Vice President Of The United States,,,,,4
,Hillary Clinton,Donald J Trump,Gary Johnson,Jill Stein,Darrell L Castle,4
Hillary Clinton,285,0,0,0,0,4
Donald J Trump,,260,0,0,0,4
Gary Johnson,,,4,0,0,4
Jill Stein,,,,4,0,4
Darrell L Castle,,,,,1,4
Total,285,260,4,4,1,4
,President And Vice President Of The United States,,,,,5
,Hillary Clinton,Donald J Trump,Gary Johnson,Jill Stein,Darrell L Castle,5
Hillary Clinton,209,0,0,0,0,5
Donald J Trump,,199,0,0,0,5
Gary Johnson,,,10,0,0,5
Jill Stein,,,,5,0,5
Darrell L Castle,,,,,0,5
Total,209,199,10,5,0,5
,President And Vice President Of The United States,,,,,6
,Hillary Clinton,Donald J Trump,Gary Johnson,Jill Stein,Darrell L Castle,6
Hillary Clinton,316,0,0,0,0,6
Donald J Trump,,184,0,0,0,6
Gary Johnson,,,7,0,0,6
Jill Stein,,,,7,0,6
Darrell L Castle,,,,,4,6
Total,316,184,7,7,4,6
,President And Vice President Of The United States,,,,,7
,Hillary Clinton,Donald J Trump,Gary Johnson,Darrell L Castle,Jill Stein,7
Hillary Clinton,140,0,0,0,0,7
Donald J Trump,,51,0,0,0,7
Gary Johnson,,,4,0,0,7
Darrell L Castle,,,,0,0,7
Jill Stein,,,,,0,7
Total,140,51,4,0,0,7
,President And Vice President Of The United States,,,,,8
,Hillary Clinton,Donald J Trump,Gary Johnson,Jill Stein,Darrell L Castle,8
Hillary Clinton,243,0,0,0,0,8
Donald J Trump,,174,0,0,0,8
Gary Johnson,,,11,0,0,8
Jill Stein,,,,5,0,8
Darrell L Castle,,,,,4,8
Total,243,174,11,5,4,8
,President And Vice President Of The United States,,,,,9
,Donald J Trump,Hillary Clinton,Gary Johnson,Jill Stein,Darrell L Castle,9
Donald J Trump,247,0,0,0,0,9
Hillary Clinton,,229,0,0,0,9
Gary Johnson,,,10,0,0,9
Jill Stein,,,,3,0,9
Darrell L Castle,,,,,1,9
Total,247,229,10,3,1,9
,President And Vice President Of The United States,,,,,10
,Donald J Trump,Hillary Clinton,Gary Johnson,Jill Stein,Darrell L Castle,10
Donald J Trump,269,0,0,0,0,10
Hillary Clinton,,244,0,0,0,10
Gary Johnson,,,10,0,0,10
Jill Stein,,,,8,0,10
Darrell L Castle,,,,,1,10
Total,269,244,10,8,1,10
,President And Vice President Of The United States,,,,,11
,Hillary Clinton,Donald J Trump,Jill Stein,Gary Johnson,Darrell L Castle,11
Hillary Clinton,331,0,0,0,0,11
Donald J Trump,,286,0,0,0,11
Jill Stein,,,8,0,0,11
Gary Johnson,,,,7,0,11
Darrell L Castle,,,,,1,11
Total,331,286,8,7,1,11
,President And Vice President Of The United States,,,,,12
,Hillary Clinton,Donald J Trump,Gary Johnson,Jill Stein,Darrell L Castle,12
Hillary Clinton,238,0,0,0,0,12
Donald J Trump,,202,0,0,0,12
Gary Johnson,,,8,0,0,12
Jill Stein,,,,3,0,12
Darrell L Castle,,,,,2,12
Total,238,202,8,3,2,12
,President And Vice President Of The United States,,,,,13
,Hillary Clinton,Donald J Trump,Gary Johnson,Jill Stein,Darrell L Castle,13
Hillary Clinton,325,0,0,0,0,13
Donald J Trump,,233,0,0,0,13
Gary Johnson,,,11,0,0,13
Jill Stein,,,,5,0,13
Darrell L Castle,,,,,1,13
Total,325,233,11,5,1,13
,President And Vice President Of The United States,,,,,14
,Hillary Clinton,Donald J Trump,Gary Johnson,Jill Stein,Darrell L Castle,14
Hillary Clinton,248,0,0,0,0,14
Donald J Trump,,217,0,0,0,14
Gary Johnson,,,11,0,0,14
Jill Stein,,,,2,0,14
Darrell L Castle,,,,,1,14
Total,248,217,11,2,1,14
,President And Vice President Of The United States,,,,,15
,Hillary Clinton,Donald J Trump,Gary Johnson,Jill Stein,Darrell L Castle,15
Hillary Clinton,239,0,0,0,0,15
Donald J Trump,,216,0,0,0,15
Gary Johnson,,,6,0,0,15
Jill Stein,,,,5,0,15
Darrell L Castle,,,,,1,15
Total,239,216,6,5,1,15
,President And Vice President Of The United States,,,,,16
,Donald J Trump,Hillary Clinton,Gary Johnson,Jill Stein,Darrell L Castle,16
Donald J Trump,193,0,0,0,0,16
Hillary Clinton,,165,0,0,0,16
Gary Johnson,,,5,0,0,16
Jill Stein,,,,4,0,16
Darrell L Castle,,,,,1,16
Total,193,165,5,4,1,16
,President And Vice President Of The United States,,,,,17
,Donald J Trump,Hillary Clinton,Jill Stein,Darrell L Castle,Gary Johnson,17
Donald J Trump,230,0,0,0,0,17
Hillary Clinton,,102,0,0,0,17
Jill Stein,,,5,0,0,17
Darrell L Castle,,,,3,0,17
Gary Johnson,,,,,3,17
Total,230,102,5,3,3,17
,President And Vice President Of The United States,,,,,18
,Donald J Trump,Hillary Clinton,Jill Stein,Gary Johnson,Darrell L Castle,18
Donald J Trump,230,0,0,0,0,18
Hillary Clinton,,203,0,0,0,18
Jill Stein,,,5,0,0,18
