col_1,col_2,col_3,col_4,col_5,col_6,col_7,division
,President And Vice President Of The United States,,,,,Representative In The General Assembly 195th District,All
,Hillary Clinton,Donald J Trump,Jill Stein,Gary Johnson,Darrell L Castle,Donna Bullock,All
Hillary Clinton,248,0,0,0,0,"4,348",All
Donald J Trump,,69,0,0,0,71,All
Jill Stein,,,15,0,0,39,All
Gary Johnson,,,,12,0,21,All
Darrell L Castle,,,,,0,2,All
Donna Bullock,,,,,,62,All
Total,"4,596",140,54,33,2,"4,543",All
,Representative In The General Assembly 195th District,President And Vice President Of The United States,,,,,1
,Donna Bullock,Hillary Clinton,Donald J Trump,Gary Johnson,Jill Stein,Darrell L Castle,1
Donna Bullock,2,215,9,4,1,0,1
Hillary Clinton,,10,0,0,0,0,1
Donald J Trump,,,10,0,0,0,1
Gary Johnson,,,,1,0,0,1
Jill Stein,,,,,1,0,1
Darrell L Castle,,,,,,0,1
Total,231,225,19,5,2,0,1
,President And Vice President Of The United States,,,,,Representative In The General Assembly 195th District,2
,Hillary Clinton,Donald J Trump,Gary Johnson,Jill Stein,Darrell L Castle,Donna Bullock,2
Hillary Clinton,10,0,0,0,0,146,2
Donald J Trump,,1,0,0,0,0,2
Gary Johnson,,,0,0,0,1,2
Jill Stein,,,,0,0,1,2
Darrell L Castle,,,,,0,0,2
Donna Bullock,,,,,,6,2
Total,156,1,1,1,0,154,2
,President And Vice President Of The United States,,,,,Representative In The General Assembly 195th District,3
,Hillary Clinton,Donald J Trump,Jill Stein,Gary Johnson,Darrell L Castle,Donna Bullock,3
Hillary Clinton,32,0,0,0,0,417,3
Donald J Trump,,8,0,0,0,9,3
Jill Stein,,,3,0,0,10,3
Gary Johnson,,,,3,0,4,3
Darrell L Castle,,,,,0,0,3
Donna Bullock,,,,,,5,3
Total,449,17,13,7,0,445,3
,President And Vice President Of The United States,,,,,Representative In The General Assembly 195th District,4
,Hillary Clinton,Donald J Trump,Gary Johnson,Darrell L Castle,Jill Stein,Donna Bullock,4
Hillary Clinton,8,0,0,0,0,156,4
Donald J Trump,,6,0,0,0,2,4
Gary Johnson,,,1,0,0,0,4
Darrell L Castle,,,,0,0,0,4
Jill Stein,,,,,0,0,4
Donna Bullock,,,,,,4,4
Total,164,8,1,0,0,162,4
,President And Vice President Of The United States,,,,,Representative In The General Assembly 195th District,5
,Hillary Clinton,Donald J Trump,Darrell L Castle,Gary Johnson,Jill Stein,Donna Bullock,5
Hillary Clinton,12,0,0,0,0,163,5
Donald J Trump,,1,0,0,0,2,5
Darrell L Castle,,,0,0,0,0,5
Gary Johnson,,,,0,0,0,5
Jill Stein,,,,,0,0,5
Donna Bullock,,,,,,2,5
Total,175,3,0,0,0,167,5
,President And Vice President Of The United States,,,,,Representative In The General Assembly 195th District,6
