col_1,col_2,division
,Representative In The General Assembly 181st District,All
,W Curtis Thomas,All
W Curtis Thomas,"2,499",All
Total,"2,499",All
,Representative In The General Assembly 181st District,5
,W Curtis Thomas,5
W Curtis Thomas,210,5
Total,210,5
,Representative In The General Assembly 181st District,6
,W Curtis Thomas,6
W Curtis Thomas,268,6
Total,268,6
,Representative In The General Assembly 181st District,7
,W Curtis Thomas,7
W Curtis Thomas,571,7
Total,571,7
,Representative In The General Assembly 181st District,8
,W Curtis Thomas,8
W Curtis Thomas,326,8
Total,326,8
,Representative In The General Assembly 181st District,9
,W Curtis Thomas,9
W Curtis Thomas,407,9
Total,407,9
,Representative In The General Assembly 181st District,11
,W Curtis Thomas,11
W Curtis Thomas,395,11
Total,395,11
,Representative In The General Assembly 181st District,12
,W Curtis Thomas,12
W Curtis Thomas,322,12
Total,322,12
