col_1,col_2,col_3,col_4,col_5,col_6,col_7,division
,President And Vice President Of The United States,,,,,Representative In The General Assembly 191st District,All
,Hillary Clinton,Donald J Trump,Jill Stein,Gary Johnson,Darrell L Castle,Joanna Mcclinton,All
Hillary Clinton,440,0,0,0,0,"8,561",All
Donald J Trump,,61,0,0,0,45,All
Jill Stein,,,13,0,0,41,All
Gary Johnson,,,,5,0,17,All
Darrell L Castle,,,,,1,6,All
Joanna Mcclinton,,,,,,101,All
Total,"9,001",106,54,22,7,"8,771",All
,President And Vice President Of The United States,,,,,Representative In The General Assembly 191st District,1
,Hillary Clinton,Donald J Trump,Gary Johnson,Jill Stein,Darrell L Castle,Joanna Mcclinton,1
Hillary Clinton,21,0,0,0,0,347,1
Donald J Trump,,2,0,0,0,1,1
Gary Johnson,,,0,0,0,1,1
Jill Stein,,,,1,0,0,1
Darrell L Castle,,,,,0,0,1
Joanna Mcclinton,,,,,,7,1
Total,368,3,1,1,0,356,1
,Representative In The General Assembly 191st District,President And Vice President Of The United States,,,,,2
,Joanna Mcclinton,Hillary Clinton,Donald J Trump,Gary Johnson,Darrell L Castle,Jill Stein,2
Joanna Mcclinton,7,426,1,2,0,0,2
Hillary Clinton,,9,0,0,0,0,2
Donald J Trump,,,6,0,0,0,2
Gary Johnson,,,,0,0,0,2
Darrell L Castle,,,,,0,0,2
Jill Stein,,,,,,0,2
Total,436,435,7,2,0,0,2
,President And Vice President Of The United States,,,,,Representative In The General Assembly 191st District,3
,Hillary Clinton,Donald J Trump,Jill Stein,Darrell L Castle,Gary Johnson,Joanna Mcclinton,3
Hillary Clinton,21,0,0,0,0,445,3
Donald J Trump,,7,0,0,0,0,3
Jill Stein,,,0,0,0,2,3
Darrell L Castle,,,,0,0,0,3
Gary Johnson,,,,,0,0,3
Joanna Mcclinton,,,,,,5,3
Total,466,7,2,0,0,452,3
,President And Vice President Of The United States,,,,,Representative In The General Assembly 191st District,4
,Hillary Clinton,Jill Stein,Donald J Trump,Darrell L Castle,Gary Johnson,Joanna Mcclinton,4
Hillary Clinton,16,0,0,0,0,426,4
Jill Stein,,0,0,0,0,4,4
Donald J Trump,,,2,0,0,1,4
Darrell L Castle,,,,0,0,0,4
Gary Johnson,,,,,0,0,4
Joanna Mcclinton,,,,,,1,4
Total,442,4,3,0,0,432,4
,President And Vice President Of The United States,,,,,Representative In The General Assembly 191st District,5
,Hillary Clinton,Donald J Trump,Jill Stein,Darrell L Castle,Gary Johnson,Joanna Mcclinton,5
Hillary Clinton,15,0,0,0,0,347,5
Donald J Trump,,1,0,0,0,1,5
Jill Stein,,,2,0,0,0,5
Darrell L Castle,,,,0,0,0,5
Gary Johnson,,,,,0,0,5
Joanna Mcclinton,,,,,,2,5
Total,362,2,2,0,0,350,5
,President And Vice President Of The United States,,,,,Representative In The General Assembly 191st District,6
,Hillary Clinton,Gary Johnson,Jill Stein,Darrell L Castle,Donald J Trump,Joanna Mcclinton,6
Hillary Clinton,17,0,0,0,0,369,6
Gary Johnson,,1,0,0,0,3,6
Jill Stein,,,0,0,0,2,6
Darrell L Castle,,,,0,0,0,6
Donald J Trump,,,,,0,0,6
Joanna Mcclinton,,,,,,6,6
Total,386,4,2,0,0,380,6
,President And Vice President Of The United States,,,,,Representative In The General Assembly 191st District,7
,Hillary Clinton,Donald J Trump,Jill Stein,Gary Johnson,Darrell L Castle,Joanna Mcclinton,7
Hillary Clinton,21,0,0,0,0,344,7
Donald J Trump,,6,0,0,0,0,7
Jill Stein,,,0,0,0,2,7
Gary Johnson,,,,0,0,1,7
Darrell L Castle,,,,,0,0,7
Joanna Mcclinton,,,,,,1,7
Total,365,6,2,1,0,348,7
,President And Vice President Of The United States,,,,,Representative In The General Assembly 191st District,8
,Hillary Clinton,Donald J Trump,Jill Stein,Darrell L Castle,Gary Johnson,Joanna Mcclinton,8
Hillary Clinton,18,0,0,0,0,361,8
Donald J Trump,,5,0,0,0,4,8
Jill Stein,,,1,0,0,2,8
Darrell L Castle,,,,0,0,1,8
Gary Johnson,,,,,0,0,8
Joanna Mcclinton,,,,,,6,8
Total,379,9,3,1,0,374,8
,President And Vice President Of The United States,,,,,Representative In The General Assembly 191st District,9
,Hillary Clinton,Donald J Trump,Jill Stein,Gary Johnson,Darrell L Castle,Joanna Mcclinton,9
Hillary Clinton,28,0,0,0,0,414,9
Donald J Trump,,3,0,0,0,6,9
Jill Stein,,,1,0,0,4,9
Gary Johnson,,,,0,0,2,9
Darrell L Castle,,,,,0,1,9
Joanna Mcclinton,,,,,,5,9
Total,442,9,5,2,1,432,9
,President And Vice President Of The United States,,,,,Representative In The General Assembly 191st District,10
,Hillary Clinton,Donald J Trump,Jill Stein,Darrell L Castle,Gary Johnson,Joanna Mcclinton,10
Hillary Clinton,17,0,0,0,0,379,10
Donald J Trump,,1,0,0,0,1,10
Jill Stein,,,0,0,0,2,10
Darrell L Castle,,,,0,0,0,10
Gary Johnson,,,,,0,0,10
Joanna Mcclinton,,,,,,5,10
Total,396,2,2,0,0,387,10
,President And Vice President Of The United States,,,,,Representative In The General Assembly 191st District,11
,Hillary Clinton,Donald J Trump,Jill Stein,Darrell L Castle,Gary Johnson,Joanna Mcclinton,11
Hillary Clinton,28,0,0,0,0,378,11
Donald J Trump,,2,0,0,0,2,11
Jill Stein,,,1,0,0,2,11
Darrell L Castle,,,,1,0,1,11
Gary Johnson,,,,,1,0,11
Joanna Mcclinton,,,,,,7,11
Total,406,4,3,2,1,390,11
,President And Vice President Of The United States,,,,,Representative In The General Assembly 191st District,12
,Hillary Clinton,Donald J Trump,Jill Stein,Gary Johnson,Darrell L Castle,Joanna Mcclinton,12
Hillary Clinton,19,0,0,0,0,374,12
